HEFTmakespan:	HEFTsumcost:	maxTime:	DMtestmakespan:	DMsumcost:	MaxTimeParameter:	
1	15	1.5	24073.83	16049.22	27.46	19831.33	27.45
1	15	2.0	32098.44	16049.22	27.46	19831.33	27.45
1	15	3.0	48147.66	16049.22	27.46	46919.04	27.32
1	15	5.0	80246.10	16049.22	27.46	71679.58	27.26
1	15	7.0	112344.54	16049.22	27.46	87609.56	27.25
1	15	10.0	160492.20	16049.22	27.46	87609.56	27.25
2	15	1.5	24073.83	16049.22	24.20	16049.22	24.20
2	15	2.0	32098.44	16049.22	24.20	16049.22	24.20
2	15	3.0	48147.66	16049.22	24.20	35127.61	22.32
2	15	5.0	80246.10	16049.22	24.20	35127.61	22.32
2	15	7.0	112344.54	16049.22	24.20	35127.61	22.32
2	15	10.0	160492.20	16049.22	24.20	35127.61	22.32
3	15	1.5	24073.83	16049.22	21.03	19831.33	20.93
3	15	2.0	32098.44	16049.22	21.03	19831.33	20.93
3	15	3.0	48147.66	16049.22	21.03	47321.85	19.40
3	15	5.0	80246.10	16049.22	21.03	74732.82	17.51
3	15	7.0	112344.54	16049.22	21.03	102963.31	15.27
3	15	10.0	160492.20	16049.22	21.03	159377.05	10.03
