HEFTmakespan:	HEFTsumcost:	maxTime:	DMtestmakespan:	DMsumcost:	MaxTimeParameter:	
1	5	3.0	160152.63	53384.21	29.87	113808.87	29.70
1	10	3.0	81369.51	27123.17	30.73	72286.68	30.58
1	15	3.0	48147.66	16049.22	27.46	46919.04	27.32
1	20	3.0	37713.87	12571.29	28.82	37497.32	28.70
1	25	3.0	32067.27	10689.09	30.16	32021.92	30.05
1	30	3.0	22079.43	7359.81	25.26	22015.17	25.16
1	35	3.0	19093.02	6364.34	25.34	19040.97	25.26
2	5	3.0	160152.63	53384.21	24.66	53384.21	24.66
2	10	3.0	81369.51	27123.17	25.05	27123.17	25.05
2	15	3.0	48147.66	16049.22	24.20	35127.61	22.32
2	20	3.0	37713.87	12571.29	25.52	29796.09	23.31
2	25	3.0	32067.27	10689.09	25.97	23078.76	24.71
2	30	3.0	22079.43	7359.81	22.62	17535.73	20.47
2	35	3.0	19093.02	6364.34	22.88	14997.77	20.64
3	5	3.0	160152.63	53384.21	22.10	155320.91	16.03
3	10	3.0	81369.51	27123.17	23.31	71999.78	21.38
3	15	3.0	48147.66	16049.22	21.03	47321.85	19.40
3	20	3.0	37713.87	12571.29	22.29	37568.61	20.97
3	25	3.0	32067.27	10689.09	22.73	32055.08	21.35
3	30	3.0	22079.43	7359.81	19.47	21968.64	18.65
3	35	3.0	19093.02	6364.34	19.36	19089.75	18.71
