HEFTmakespan:	HEFTsumcost:	maxTime:	DMtestmakespan:	DMsumcost:	MaxTimeParameter:	
1	5	3.0	8045.97	2681.99	1.49	7637.11	1.49
1	10	3.0	4108.83	1369.61	1.53	3985.63	1.53
1	15	3.0	2453.16	817.72	1.37	2286.60	1.37
1	20	3.0	1923.51	641.17	1.44	1766.83	1.44
1	25	3.0	1644.93	548.31	1.51	1418.46	1.51
1	30	3.0	1141.80	380.60	1.26	1000.52	1.26
1	35	3.0	996.48	332.16	1.26	990.32	1.26
2	5	3.0	8045.97	2681.99	1.23	2681.99	1.23
2	10	3.0	4108.83	1369.61	1.25	1369.61	1.25
2	15	3.0	2453.16	817.72	1.21	1767.65	1.11
2	20	3.0	1923.51	641.17	1.27	1792.10	1.20
2	25	3.0	1644.93	548.31	1.30	1141.89	1.27
2	30	3.0	1141.80	380.60	1.13	968.54	1.08
2	35	3.0	996.48	332.16	1.14	894.01	1.12
3	5	3.0	8045.97	2681.99	1.10	7637.11	1.07
3	10	3.0	4108.83	1369.61	1.16	3630.45	1.15
3	15	3.0	2453.16	817.72	1.05	2286.60	1.04
3	20	3.0	1923.51	641.17	1.11	1766.83	1.10
3	25	3.0	1644.93	548.31	1.14	1437.14	1.13
3	30	3.0	1141.80	380.60	.97	1069.70	.97
3	35	3.0	996.48	332.16	.97	949.33	.96
