HEFTmakespan:	HEFTsumcost:	maxTime:	DMtestmakespan:	DMsumcost:	MaxTimeParameter:	
1	15	1.5	1226.58	817.72	1.37	817.72	1.37
1	15	2.0	1635.44	817.72	1.37	1547.49	1.37
1	15	3.0	2453.16	817.72	1.37	2286.60	1.37
1	15	5.0	4088.60	817.72	1.37	3841.62	1.37
1	15	7.0	5724.04	817.72	1.37	5577.90	1.36
1	15	10.0	8177.20	817.72	1.37	8050.97	1.36
2	15	1.5	1226.58	817.72	1.21	817.72	1.21
2	15	2.0	1635.44	817.72	1.21	1405.13	1.16
2	15	3.0	2453.16	817.72	1.21	1767.65	1.11
2	15	5.0	4088.60	817.72	1.21	1767.65	1.11
2	15	7.0	5724.04	817.72	1.21	1767.65	1.11
2	15	10.0	8177.20	817.72	1.21	1767.65	1.11
3	15	1.5	1226.58	817.72	1.05	817.72	1.05
3	15	2.0	1635.44	817.72	1.05	1547.49	1.04
3	15	3.0	2453.16	817.72	1.05	2286.60	1.04
3	15	5.0	4088.60	817.72	1.05	4022.88	1.02
3	15	7.0	5724.04	817.72	1.05	5396.64	1.01
3	15	10.0	8177.20	817.72	1.05	7981.98	.99
