88	19.87	23.84	32.51	23.84	32.51	17.03	32.51	44.70	23.84	44.70	44.70	19.87	17.03	19.87	23.84
89	45.67	54.81	74.74	54.81	74.74	39.15	74.74	102.76	54.81	102.76	102.76	45.67	39.15	45.67	54.81
90	1816.90	2180.28	2973.11	2180.28	2973.11	1557.34	2973.11	4088.02	2180.28	4088.02	4088.02	1816.90	1557.34	1816.90	2180.28
91	435.94	523.12	713.35	523.12	713.35	373.66	713.35	980.86	523.12	980.86	980.86	435.94	373.66	435.94	523.12
92	1.43	1.72	2.34	1.72	2.34	1.23	2.34	3.22	1.72	3.22	3.22	1.43	1.23	1.43	1.72
93	3.49	4.19	5.72	4.19	5.72	2.99	5.72	7.86	4.19	7.86	7.86	3.49	2.99	3.49	4.19
94	1111.46	1333.76	1818.76	1333.76	1818.76	952.68	1818.76	2500.79	1333.76	2500.79	2500.79	1111.46	952.68	1111.46	1333.76
95	27.50	33.00	45.00	33.00	45.00	23.57	45.00	61.88	33.00	61.88	61.88	27.50	23.57	27.50	33.00
96	3.25	3.90	5.31	3.90	5.31	2.78	5.31	7.31	3.90	7.31	7.31	3.25	2.78	3.25	3.90
97	1.29	1.55	2.12	1.55	2.12	1.11	2.12	2.91	1.55	2.91	2.91	1.29	1.11	1.29	1.55
10	0.73	0.88	1.20	0.88	1.20	0.63	1.20	1.65	0.88	1.65	1.65	0.73	0.63	0.73	0.88
11	1.15	1.38	1.89	1.38	1.89	0.99	1.89	2.60	1.38	2.60	2.60	1.15	0.99	1.15	1.38
12	0.81	0.97	1.32	0.97	1.32	0.69	1.32	1.81	0.97	1.81	1.81	0.81	0.69	0.81	0.97
13	1.51	1.81	2.47	1.81	2.47	1.30	2.47	3.40	1.81	3.40	3.40	1.51	1.30	1.51	1.81
14	1.33	1.59	2.17	1.59	2.17	1.14	2.17	2.98	1.59	2.98	2.98	1.33	1.14	1.33	1.59
15	0.98	1.17	1.60	1.17	1.60	0.84	1.60	2.20	1.17	2.20	2.20	0.98	0.84	0.98	1.17
16	0.87	1.04	1.42	1.04	1.42	0.74	1.42	1.95	1.04	1.95	1.95	0.87	0.74	0.87	1.04
17	1.51	1.81	2.47	1.81	2.47	1.29	2.47	3.40	1.81	3.40	3.40	1.51	1.29	1.51	1.81
18	1.03	1.23	1.68	1.23	1.68	0.88	1.68	2.32	1.23	2.32	2.32	1.03	0.88	1.03	1.23
19	0.75	0.90	1.22	0.90	1.22	0.64	1.22	1.68	0.90	1.68	1.68	0.75	0.64	0.75	0.90
0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1	0.05	0.06	0.08	0.06	0.08	0.04	0.08	0.11	0.06	0.11	0.11	0.05	0.04	0.05	0.06
2	1.06	1.28	1.74	1.28	1.74	0.91	1.74	2.39	1.28	2.39	2.39	1.06	0.91	1.06	1.28
3	1.09	1.31	1.78	1.31	1.78	0.93	1.78	2.45	1.31	2.45	2.45	1.09	0.93	1.09	1.31
4	0.95	1.14	1.56	1.14	1.56	0.81	1.56	2.14	1.14	2.14	2.14	0.95	0.81	0.95	1.14
5	1.28	1.53	2.09	1.53	2.09	1.09	2.09	2.87	1.53	2.87	2.87	1.28	1.09	1.28	1.53
6	0.79	0.94	1.29	0.94	1.29	0.67	1.29	1.77	0.94	1.77	1.77	0.79	0.67	0.79	0.94
7	1.17	1.41	1.92	1.41	1.92	1.00	1.92	2.64	1.41	2.64	2.64	1.17	1.00	1.17	1.41
8	1.02	1.22	1.67	1.22	1.67	0.87	1.67	2.29	1.22	2.29	2.29	1.02	0.87	1.02	1.22
9	0.81	0.98	1.33	0.98	1.33	0.70	1.33	1.83	0.98	1.83	1.83	0.81	0.70	0.81	0.98
20	1.16	1.39	1.90	1.39	1.90	0.99	1.90	2.61	1.39	2.61	2.61	1.16	0.99	1.16	1.39
21	1545.66	1854.80	2529.27	1854.80	2529.27	1324.85	2529.27	3477.74	1854.80	3477.74	3477.74	1545.66	1324.85	1545.66	1854.80
22	32.34	38.80	52.91	38.80	52.91	27.72	52.91	72.76	38.80	72.76	72.76	32.34	27.72	32.34	38.80
23	41.66	49.99	68.16	49.99	68.16	35.70	68.16	93.72	49.99	93.72	93.72	41.66	35.70	41.66	49.99
24	1630.06	1956.07	2667.37	1956.07	2667.37	1397.19	2667.37	3667.63	1956.07	3667.63	3667.63	1630.06	1397.19	1630.06	1956.07
25	378.72	454.46	619.72	454.46	619.72	324.61	619.72	852.11	454.46	852.11	852.11	378.72	324.61	378.72	454.46
26	1.25	1.50	2.05	1.50	2.05	1.07	2.05	2.81	1.50	2.81	2.81	1.25	1.07	1.25	1.50
27	4.97	5.96	8.13	5.96	8.13	4.26	8.13	11.18	5.96	11.18	11.18	4.97	4.26	4.97	5.96
28	1043.61	1252.33	1707.72	1252.33	1707.72	894.52	1707.72	2348.11	1252.33	2348.11	2348.11	1043.61	894.52	1043.61	1252.33
29	27.50	33.00	45.00	33.00	45.00	23.57	45.00	61.88	33.00	61.88	61.88	27.50	23.57	27.50	33.00
30	4.75	5.70	7.77	5.70	7.77	4.07	7.77	10.68	5.70	10.68	10.68	4.75	4.07	4.75	5.70
31	1.04	1.25	1.70	1.25	1.70	0.89	1.70	2.34	1.25	2.34	2.34	1.04	0.89	1.04	1.25
32	0.06	0.07	0.09	0.07	0.09	0.05	0.09	0.13	0.07	0.13	0.13	0.06	0.05	0.06	0.07
33	1.35	1.62	2.21	1.62	2.21	1.16	2.21	3.04	1.62	3.04	3.04	1.35	1.16	1.35	1.62
34	1.08	1.30	1.77	1.30	1.77	0.93	1.77	2.44	1.30	2.44	2.44	1.08	0.93	1.08	1.30
35	0.85	1.02	1.39	1.02	1.39	0.73	1.39	1.91	1.02	1.91	1.91	0.85	0.73	0.85	1.02
