HEFTmakespan:	HEFTsumcost:	maxTime:	MaxTimeParameter:	CFMAXtestmakespan:	CFMAXsumcost:
53384.21	2465561.13	80076.32	1.5	80068.22	2393894.03
53384.21	2465561.13	106768.42	2	106757.5	2400600.6
53384.21	2465561.13	133460.53	2.5	133458.12	2246348.41
53384.21	2465561.13	160152.63	3	160151.34	2135735.45
53384.21	2465561.13	186844.74	3.5	174435.44	2103972.3
53384.21	2465561.13	213536.84	4	174435.44	2103972.3
53384.21	2465561.13	240228.95	4.5	174435.44	2103972.3
53384.21	2465561.13	266921.05	5	174435.44	2103972.3
53384.21	2465561.13	320305.26	6	174435.44	2103972.3
53384.21	2465561.13	427073.68	8	174435.44	2103972.3
53384.21	2465561.13	533842.1	10	174435.44	2103972.3
27123.17	2504623.6	40684.75	1.5	40676.61	2454020.81
27123.17	2504623.6	54246.34	2	54242.39	2449365.27
27123.17	2504623.6	67807.92	2.5	67793.72	2345164.43
27123.17	2504623.6	81369.51	3	81368.79	2183157.73
27123.17	2504623.6	94931.09	3.5	94926.16	2089704.81
27123.17	2504623.6	108492.68	4	108489.42	1999334.2
27123.17	2504623.6	122054.26	4.5	122053.65	1888337.02
27123.17	2504623.6	135615.85	5	135614.98	1817223.35
27123.17	2504623.6	162739.02	6	137787.52	1753315.96
27123.17	2504623.6	216985.36	8	137787.52	1753315.96
27123.17	2504623.6	271231.7	10	137787.52	1753315.96
16049.22	2419809.9	24073.83	1.5	24064.84	2298771.17
16049.22	2419809.9	32098.44	2	32091.86	2304942.06
16049.22	2419809.9	40123.05	2.5	40121.33	2132236.07
16049.22	2419809.9	48147.66	3	48138.71	2029092.72
16049.22	2419809.9	56172.27	3.5	56165.05	1912620.69
16049.22	2419809.9	64196.88	4	64192.15	1842345.24
16049.22	2419809.9	72221.49	4.5	72221.19	1759422.81
16049.22	2419809.9	80246.1	5	80239.52	1734790.16
16049.22	2419809.9	96295.32	6	96293.75	1663516.34
16049.22	2419809.9	128393.76	8	128385.21	1579023.56
16049.22	2419809.9	160492.2	10	149562.85	1502838.23
12571.29	2552294.75	18856.93	1.5	18852.06	2497596.02
12571.29	2552294.75	25142.58	2	25139.94	2412960.54
12571.29	2552294.75	31428.22	2.5	31417.09	2260436.03
12571.29	2552294.75	37713.87	3	37702.57	2065731.99
12571.29	2552294.75	43999.51	3.5	43990.87	1995638.8
12571.29	2552294.75	50285.16	4	50275.78	1943277.57
12571.29	2552294.75	56570.8	4.5	56561.01	1857355.18
12571.29	2552294.75	62856.45	5	62849.36	1819940.77
12571.29	2552294.75	75427.74	6	75425.42	1696446.61
12571.29	2552294.75	100570.32	8	100566.47	1595816.57
12571.29	2552294.75	125712.9	10	125703.39	1544537.38
10689.09	2596805.3	16033.64	1.5	16027.03	2545170.78
10689.09	2596805.3	21378.18	2	21366.07	2522724.75
10689.09	2596805.3	26722.73	2.5	26719.26	2463373.88
10689.09	2596805.3	32067.27	3	32066.84	2293054.76
10689.09	2596805.3	37411.82	3.5	37407.42	2202748.64
10689.09	2596805.3	42756.36	4	42752.54	2131329.04
10689.09	2596805.3	48100.91	4.5	48088.83	2070999.17
10689.09	2596805.3	53445.45	5	53444.6	2007768.64
10689.09	2596805.3	64134.54	6	64121.99	1898403.77
10689.09	2596805.3	85512.72	8	85508.02	1729916.87
10689.09	2596805.3	106890.9	10	106888.77	1644020.55
7359.81	2262088.63	11039.72	1.5	11027.01	2214162.95
7359.81	2262088.63	14719.62	2	14709.8	2153703.11
7359.81	2262088.63	18399.53	2.5	18389.56	2062565.54
7359.81	2262088.63	22079.43	3	22074.95	2027655.81
7359.81	2262088.63	25759.34	3.5	25757.15	1994782.85
7359.81	2262088.63	29439.24	4	29438.51	1969157.09
7359.81	2262088.63	33119.15	4.5	33118.3	1927538.57
7359.81	2262088.63	36799.05	5	36790.34	1903336.43
7359.81	2262088.63	44158.86	6	44155.24	1823370.21
7359.81	2262088.63	58878.48	8	58874.64	1716522.39
7359.81	2262088.63	73598.1	10	73590.3	1657604.72
6364.34	2287505.66	9546.51	1.5	9542.48	2240983.08
6364.34	2287505.66	12728.68	2	12721.14	2185885.3
6364.34	2287505.66	15910.85	2.5	15902.07	2157776.18
6364.34	2287505.66	19093.02	3	19081.9	2163153.76
6364.34	2287505.66	22275.19	3.5	22269.88	2112649.06
6364.34	2287505.66	25457.36	4	25454.27	2008056.16
6364.34	2287505.66	28639.53	4.5	28632.01	1958967.77
6364.34	2287505.66	31821.7	5	31816.22	1939565.09
6364.34	2287505.66	38186.04	6	38181.35	1851976.62
6364.34	2287505.66	50914.72	8	50911.54	1783797.29
6364.34	2287505.66	63643.4	10	63643.29	1691274.1
