HEFTmakespan:	HEFTsumcost:	maxTime:	DMtestmakespan:	DMsumcost:	MaxTimeParameter:	
53384.21	2465561.13	80076.32	80076.10	2297518.70	1.5
53384.21	2465561.13	106768.42	106750.48	2185510.87	2.0
53384.21	2465561.13	133460.53	130741.39	2103972.30	2.5
53384.21	2465561.13	160152.63	131280.79	2103972.30	3.0
53384.21	2465561.13	186844.74	130741.39	2103972.30	3.5
53384.21	2465561.13	213536.84	131018.44	2103972.30	4.0
53384.21	2465561.13	240228.95	130744.38	2103972.30	4.5
53384.21	2465561.13	266921.05	131011.93	2103972.30	5.0
53384.21	2465561.13	320305.26	129886.79	2103972.30	6.0
53384.21	2465561.13	427073.68	128961.67	2103972.30	8.0
53384.21	2465561.13	533842.10	128904.33	2103972.30	10.0
27123.17	2504623.60	40684.75	40681.36	2390513.29	1.5
27123.17	2504623.60	54246.34	54231.35	2281094.32	2.0
27123.17	2504623.60	67807.92	67794.88	2192049.37	2.5
27123.17	2504623.60	81369.51	81360.74	2010275.65	3.0
27123.17	2504623.60	94931.09	94919.29	2022074.12	3.5
27123.17	2504623.60	108492.68	108479.29	1913934.24	4.0
27123.17	2504623.60	122054.26	122052.39	1854865.69	4.5
27123.17	2504623.60	135615.85	135461.85	1753315.96	5.0
27123.17	2504623.60	162739.02	148233.22	1753315.96	6.0
27123.17	2504623.60	216985.36	146783.14	1753315.96	8.0
27123.17	2504623.60	271231.70	145778.21	1753315.96	10.0
16049.22	2419809.90	24073.83	24065.88	2325798.73	1.5
16049.22	2419809.90	32098.44	32089.21	2200631.00	2.0
16049.22	2419809.90	40123.05	40115.12	2136276.73	2.5
16049.22	2419809.90	48147.66	48147.04	2070747.63	3.0
16049.22	2419809.90	56172.27	56168.57	2016940.54	3.5
16049.22	2419809.90	64196.88	64194.44	1917946.57	4.0
16049.22	2419809.90	72221.49	72216.17	1844385.23	4.5
16049.22	2419809.90	80246.10	80235.60	1788672.68	5.0
16049.22	2419809.90	96295.32	96294.42	1677642.77	6.0
16049.22	2419809.90	128393.76	128385.38	1572674.43	8.0
16049.22	2419809.90	160492.20	158408.21	1502838.23	10.0
12571.29	2552294.75	18856.93	18846.79	2469331.02	1.5
12571.29	2552294.75	25142.58	25138.87	2380980.20	2.0
12571.29	2552294.75	31428.22	31415.86	2285549.44	2.5
12571.29	2552294.75	37713.87	37707.66	2254461.87	3.0
12571.29	2552294.75	43999.51	43993.75	2180499.17	3.5
12571.29	2552294.75	50285.16	50276.68	2136024.48	4.0
12571.29	2552294.75	56570.80	56564.83	2083536.61	4.5
12571.29	2552294.75	62856.45	62850.14	1995960.29	5.0
12571.29	2552294.75	75427.74	75423.29	1902611.00	6.0
12571.29	2552294.75	100570.32	100569.58	1663500.87	8.0
12571.29	2552294.75	125712.90	125707.41	1556358.62	10.0
10689.09	2596805.30	16033.64	16030.36	2542368.41	1.5
10689.09	2596805.30	21378.18	21369.80	2481252.66	2.0
10689.09	2596805.30	26722.73	26716.54	2419438.62	2.5
10689.09	2596805.30	32067.27	32065.64	2385557.79	3.0
10689.09	2596805.30	37411.82	37406.88	2342453.66	3.5
10689.09	2596805.30	42756.36	42749.46	2310416.03	4.0
10689.09	2596805.30	48100.91	48096.62	2258590.18	4.5
10689.09	2596805.30	53445.45	53435.06	2217842.97	5.0
10689.09	2596805.30	64134.54	64122.24	2145338.01	6.0
10689.09	2596805.30	85512.72	85506.65	1967235.38	8.0
10689.09	2596805.30	106890.90	106884.14	1761347.39	10.0
7359.81	2262088.63	11039.72	11036.37	2224484.62	1.5
7359.81	2262088.63	14719.62	14713.24	2177740.54	2.0
7359.81	2262088.63	18399.53	18388.79	2157648.12	2.5
7359.81	2262088.63	22079.43	22074.57	2117806.19	3.0
7359.81	2262088.63	25759.34	25754.25	2092124.57	3.5
7359.81	2262088.63	29439.24	29438.25	2072162.90	4.0
7359.81	2262088.63	33119.15	33119.10	2047510.35	4.5
7359.81	2262088.63	36799.05	36794.97	2035937.04	5.0
7359.81	2262088.63	44158.86	44150.96	1959290.29	6.0
7359.81	2262088.63	58878.48	58877.28	1872257.60	8.0
7359.81	2262088.63	73598.10	73591.83	1789394.49	10.0
6364.34	2287505.66	9546.51	9538.26	2253086.55	1.5
6364.34	2287505.66	12728.68	12715.77	2218377.04	2.0
6364.34	2287505.66	15910.85	15903.64	2198227.75	2.5
6364.34	2287505.66	19093.02	19088.72	2181201.44	3.0
6364.34	2287505.66	22275.19	22267.84	2152622.30	3.5
6364.34	2287505.66	25457.36	25446.75	2132877.35	4.0
6364.34	2287505.66	28639.53	28628.52	2095366.30	4.5
6364.34	2287505.66	31821.70	31819.70	2083357.26	5.0
6364.34	2287505.66	38186.04	38177.57	2032922.65	6.0
6364.34	2287505.66	50914.72	50907.20	1954996.39	8.0
6364.34	2287505.66	63643.40	63640.79	1895907.07	10.0
