HEFTmakespan:	HEFTsumcost:	maxTime:	EMetricmakespan:	EMetricsumcost:	MaxTimeParameter:	
53384.21	2465561.13	80076.32	80067.16	2288633.33	1.5
53384.21	2465561.13	106768.42	106750.43	2165093.05	2.0
53384.21	2465561.13	133460.53	130604.30	2103972.30	2.5
53384.21	2465561.13	160152.63	129687.23	2103972.30	3.0
53384.21	2465561.13	186844.74	128549.39	2103972.30	3.5
53384.21	2465561.13	213536.84	128759.92	2103972.30	4.0
53384.21	2465561.13	240228.95	128284.56	2103972.30	4.5
53384.21	2465561.13	266921.05	128570.61	2103972.30	5.0
53384.21	2465561.13	320305.26	123018.83	2103972.30	6.0
53384.21	2465561.13	427073.68	122948.85	2103972.30	8.0
53384.21	2465561.13	533842.10	175785.86	2103972.30	10.0
27123.17	2504623.60	40684.75	40682.25	2399592.61	1.5
27123.17	2504623.60	54246.34	54239.02	2274469.52	2.0
27123.17	2504623.60	67807.92	67801.91	2177770.33	2.5
27123.17	2504623.60	81369.51	81367.69	2098129.76	3.0
27123.17	2504623.60	94931.09	94921.52	2005025.85	3.5
27123.17	2504623.60	108492.68	108491.01	1910872.56	4.0
27123.17	2504623.60	122054.26	122053.09	1844951.08	4.5
27123.17	2504623.60	135615.85	135595.44	1753315.96	5.0
27123.17	2504623.60	162739.02	144907.85	1753315.96	6.0
27123.17	2504623.60	216985.36	143023.02	1753315.96	8.0
27123.17	2504623.60	271231.70	139845.65	1753315.96	10.0
16049.22	2419809.90	24073.83	24062.76	2326472.60	1.5
16049.22	2419809.90	32098.44	32090.23	2228345.15	2.0
16049.22	2419809.90	40123.05	40115.06	2145948.62	2.5
16049.22	2419809.90	48147.66	48146.60	2064386.98	3.0
16049.22	2419809.90	56172.27	56165.69	1981923.00	3.5
16049.22	2419809.90	64196.88	64184.79	1889562.29	4.0
16049.22	2419809.90	72221.49	72220.19	1844022.09	4.5
16049.22	2419809.90	80246.10	80239.89	1790619.43	5.0
16049.22	2419809.90	96295.32	96284.89	1676556.60	6.0
16049.22	2419809.90	128393.76	128389.62	1554472.18	8.0
16049.22	2419809.90	160492.20	157126.83	1502838.23	10.0
12571.29	2552294.75	18856.93	18855.48	2463399.35	1.5
12571.29	2552294.75	25142.58	25138.39	2383473.11	2.0
12571.29	2552294.75	31428.22	31420.83	2290735.51	2.5
12571.29	2552294.75	37713.87	37709.30	2229202.05	3.0
12571.29	2552294.75	43999.51	43994.76	2187836.73	3.5
12571.29	2552294.75	50285.16	50280.17	2114504.80	4.0
12571.29	2552294.75	56570.80	56567.09	2032424.45	4.5
12571.29	2552294.75	62856.45	62853.87	1974643.35	5.0
12571.29	2552294.75	75427.74	75417.50	1875962.45	6.0
12571.29	2552294.75	100570.32	100560.71	1684472.44	8.0
12571.29	2552294.75	125712.90	125700.98	1546407.51	10.0
10689.09	2596805.30	16033.64	16030.36	2542368.41	1.5
10689.09	2596805.30	21378.18	21375.05	2487124.90	2.0
10689.09	2596805.30	26722.73	26718.56	2426528.95	2.5
10689.09	2596805.30	32067.27	32055.43	2391592.28	3.0
10689.09	2596805.30	37411.82	37403.83	2332956.26	3.5
10689.09	2596805.30	42756.36	42747.28	2292910.33	4.0
10689.09	2596805.30	48100.91	48100.28	2241377.26	4.5
10689.09	2596805.30	53445.45	53437.09	2229084.67	5.0
10689.09	2596805.30	64134.54	64124.78	2142130.07	6.0
10689.09	2596805.30	85512.72	85506.19	1930395.61	8.0
10689.09	2596805.30	106890.90	106878.32	1765989.44	10.0
7359.81	2262088.63	11039.72	11033.07	2226538.32	1.5
7359.81	2262088.63	14719.62	14713.52	2175155.26	2.0
7359.81	2262088.63	18399.53	18397.44	2155826.88	2.5
7359.81	2262088.63	22079.43	22076.98	2109246.49	3.0
7359.81	2262088.63	25759.34	25756.66	2104794.57	3.5
7359.81	2262088.63	29439.24	29428.98	2077430.60	4.0
7359.81	2262088.63	33119.15	33115.83	2035123.38	4.5
7359.81	2262088.63	36799.05	36798.51	1998016.74	5.0
7359.81	2262088.63	44158.86	44157.98	1945735.77	6.0
7359.81	2262088.63	58878.48	58871.77	1839748.42	8.0
7359.81	2262088.63	73598.10	73595.77	1785421.25	10.0
6364.34	2287505.66	9546.51	9538.26	2253086.55	1.5
6364.34	2287505.66	12728.68	12719.32	2225237.06	2.0
6364.34	2287505.66	15910.85	15910.47	2200497.18	2.5
6364.34	2287505.66	19093.02	19090.65	2168479.26	3.0
6364.34	2287505.66	22275.19	22274.01	2145384.95	3.5
6364.34	2287505.66	25457.36	25455.87	2124710.62	4.0
6364.34	2287505.66	28639.53	28632.44	2100300.48	4.5
6364.34	2287505.66	31821.70	31817.15	2054590.47	5.0
6364.34	2287505.66	38186.04	38176.55	1997978.36	6.0
6364.34	2287505.66	50914.72	50907.59	1947627.47	8.0
6364.34	2287505.66	63643.40	63635.79	1868745.76	10.0
