HEFTmakespan:	HEFTsumcost:	maxTime:	Othermakespan:	Othersumcost:	MaxTimeParameter:	
53384.21	2465561.13	80076.32	80068.22	2393894.03	1.5
53384.21	2465561.13	106768.42	106757.50	2400600.60	2.0
53384.21	2465561.13	133460.53	133458.12	2246348.41	2.5
53384.21	2465561.13	160152.63	160151.34	2135735.45	3.0
53384.21	2465561.13	186844.74	174454.06	2103972.30	3.5
53384.21	2465561.13	213536.84	174454.06	2103972.30	4.0
53384.21	2465561.13	240228.95	174454.06	2103972.30	4.5
53384.21	2465561.13	266921.05	174454.06	2103972.30	5.0
53384.21	2465561.13	320305.26	174454.06	2103972.30	6.0
53384.21	2465561.13	427073.68	174454.06	2103972.30	8.0
53384.21	2465561.13	533842.10	174454.06	2103972.30	10.0
27123.17	2504623.60	40684.75	40676.61	2454020.81	1.5
27123.17	2504623.60	54246.34	54242.39	2449365.27	2.0
27123.17	2504623.60	67807.92	67793.72	2345164.43	2.5
27123.17	2504623.60	81369.51	81368.79	2183157.73	3.0
27123.17	2504623.60	94931.09	94926.16	2089704.81	3.5
27123.17	2504623.60	108492.68	108489.42	1999334.20	4.0
27123.17	2504623.60	122054.26	122053.65	1888337.02	4.5
27123.17	2504623.60	135615.85	135614.98	1817223.35	5.0
27123.17	2504623.60	162739.02	137803.04	1753315.96	6.0
27123.17	2504623.60	216985.36	137803.04	1753315.96	8.0
27123.17	2504623.60	271231.70	137803.04	1753315.96	10.0
16049.22	2419809.90	24073.83	24067.26	2292715.23	1.5
16049.22	2419809.90	32098.44	32095.67	2297151.25	2.0
16049.22	2419809.90	40123.05	40112.33	2172042.73	2.5
16049.22	2419809.90	48147.66	48138.35	2046002.77	3.0
16049.22	2419809.90	56172.27	56160.73	1929133.96	3.5
16049.22	2419809.90	64196.88	64193.78	1839608.43	4.0
16049.22	2419809.90	72221.49	72212.29	1759706.16	4.5
16049.22	2419809.90	80246.10	80243.58	1735208.61	5.0
16049.22	2419809.90	96295.32	96294.85	1662470.31	6.0
16049.22	2419809.90	128393.76	128385.21	1578765.57	8.0
16049.22	2419809.90	160492.20	149375.43	1502838.23	10.0
12571.29	2552294.75	18856.93	18852.06	2501514.15	1.5
12571.29	2552294.75	25142.58	25130.32	2447121.70	2.0
12571.29	2552294.75	31428.22	31416.53	2402144.76	2.5
12571.29	2552294.75	37713.87	37711.98	2253801.51	3.0
12571.29	2552294.75	43999.51	43997.83	2000373.18	3.5
12571.29	2552294.75	50285.16	50274.97	1960914.22	4.0
12571.29	2552294.75	56570.80	56560.54	1860932.54	4.5
12571.29	2552294.75	62856.45	62853.34	1811210.43	5.0
12571.29	2552294.75	75427.74	75421.39	1727285.16	6.0
12571.29	2552294.75	100570.32	100563.77	1594288.51	8.0
12571.29	2552294.75	125712.90	125701.57	1544878.78	10.0
10689.09	2596805.30	16033.64	16027.03	2545170.78	1.5
10689.09	2596805.30	21378.18	21366.07	2522800.86	2.0
10689.09	2596805.30	26722.73	26719.34	2463158.18	2.5
10689.09	2596805.30	32067.27	32066.84	2290155.43	3.0
10689.09	2596805.30	37411.82	37407.42	2202748.64	3.5
10689.09	2596805.30	42756.36	42750.09	2134949.03	4.0
10689.09	2596805.30	48100.91	48091.76	2038419.70	4.5
10689.09	2596805.30	53445.45	53435.31	2023946.99	5.0
10689.09	2596805.30	64134.54	64130.97	1878717.17	6.0
10689.09	2596805.30	85512.72	85504.69	1781316.94	8.0
10689.09	2596805.30	106890.90	106884.09	1679780.93	10.0
7359.81	2262088.63	11039.72	11032.76	2196156.15	1.5
7359.81	2262088.63	14719.62	14713.10	2173278.86	2.0
7359.81	2262088.63	18399.53	18396.16	2102280.67	2.5
7359.81	2262088.63	22079.43	22070.36	2057263.60	3.0
7359.81	2262088.63	25759.34	25752.33	2056120.49	3.5
7359.81	2262088.63	29439.24	29437.46	1965152.37	4.0
7359.81	2262088.63	33119.15	33106.26	1931180.48	4.5
7359.81	2262088.63	36799.05	36793.54	1891671.58	5.0
7359.81	2262088.63	44158.86	44153.50	1860344.34	6.0
7359.81	2262088.63	58878.48	58876.25	1787082.04	8.0
7359.81	2262088.63	73598.10	73587.73	1685558.74	10.0
6364.34	2287505.66	9546.51	9544.33	2236003.40	1.5
6364.34	2287505.66	12728.68	12717.27	2226014.78	2.0
6364.34	2287505.66	15910.85	15908.78	2210013.18	2.5
6364.34	2287505.66	19093.02	19083.85	2168928.16	3.0
6364.34	2287505.66	22275.19	22263.76	2056682.27	3.5
6364.34	2287505.66	25457.36	25448.22	1990783.60	4.0
6364.34	2287505.66	28639.53	28634.36	1974484.51	4.5
6364.34	2287505.66	31821.70	31812.97	1908995.91	5.0
6364.34	2287505.66	38186.04	38175.79	1875000.14	6.0
6364.34	2287505.66	50914.72	50903.54	1807344.89	8.0
6364.34	2287505.66	63643.40	63634.95	1739254.42	10.0
