HEFTmakespan:	HEFTsumcost:	maxTime:	MaxTimeParameter:	CFMAXtestmakespan:	CFMAXsumcost:
270.59	10482.36	351.77	1.3	349.99	10262.17
270.59	10482.36	405.89	1.5	397.82	9773.29
270.59	10482.36	432.94	1.6	432.42	9419.81
270.59	10482.36	460	1.7	457.46	9256.92
270.59	10482.36	487.06	1.8	482.1	9025.09
270.59	10482.36	541.18	2	541.14	8633.5
270.59	10482.36	622.36	2.3	618.56	8133.11
270.59	10482.36	676.48	2.5	667.96	7832.88
270.59	10482.36	757.65	2.8	756.14	7682.75
270.59	10482.36	811.77	3	801.98	7244.44
270.59	10482.36	892.95	3.3	882.55	6525.53
270.59	10482.36	947.07	3.5	944.86	6238.23
270.59	10482.36	1352.95	5	1349.92	4416.41
149.1	10928.84	193.83	1.3	190.38	10663.79
149.1	10928.84	223.65	1.5	214.72	10317.89
149.1	10928.84	238.56	1.6	237.12	10028.42
149.1	10928.84	253.47	1.7	253.16	9827.17
149.1	10928.84	268.38	1.8	263.67	9649.56
149.1	10928.84	298.2	2	297.04	9348.36
149.1	10928.84	342.93	2.3	341.24	8985.92
149.1	10928.84	372.75	2.5	370.41	8809.48
149.1	10928.84	417.48	2.8	417.3	8326.59
149.1	10928.84	447.3	3	444.98	7951.84
149.1	10928.84	492.03	3.3	490.78	7476.6
149.1	10928.84	521.85	3.5	519	7125.05
149.1	10928.84	745.5	5	739.36	5368.27
95.24	9741.36	123.81	1.3	120.41	9357.68
95.24	9741.36	142.86	1.5	141.32	9348.26
95.24	9741.36	152.38	1.6	150.43	9156.52
95.24	9741.36	161.91	1.7	159.54	8980.44
95.24	9741.36	171.43	1.8	165.9	8976.16
95.24	9741.36	190.48	2	184.11	8625.03
95.24	9741.36	219.05	2.3	211.43	8168.8
95.24	9741.36	238.1	2.5	238.09	7877.77
95.24	9741.36	266.67	2.8	266.08	7370.87
95.24	9741.36	285.72	3	284.3	7161.91
95.24	9741.36	314.29	3.3	311.62	6865.99
95.24	9741.36	333.34	3.5	333.11	6675.41
95.24	9741.36	476.2	5	474.64	5648.05
81.45	10331.58	105.89	1.3	105.62	9909.83
81.45	10331.58	122.18	1.5	118.55	9693.88
81.45	10331.58	130.32	1.6	127.63	9693.88
81.45	10331.58	138.47	1.7	136.4	9516.96
81.45	10331.58	146.61	1.8	145.25	9342.29
81.45	10331.58	162.9	2	158.97	9026.66
81.45	10331.58	187.33	2.3	186.58	8882.96
81.45	10331.58	203.62	2.5	201.4	8597.67
81.45	10331.58	228.06	2.8	228.04	8196.42
81.45	10331.58	244.35	3	237.63	7930.94
81.45	10331.58	268.78	3.3	264.47	7803.53
81.45	10331.58	285.07	3.5	281.98	7675.57
81.45	10331.58	407.25	5	404.32	6248.6
74.06	10332.93	96.28	1.3	96.23	10143.84
74.06	10332.93	111.09	1.5	105.46	9983.16
74.06	10332.93	118.5	1.6	113.12	9818.86
74.06	10332.93	125.9	1.7	125.16	9675.37
74.06	10332.93	133.31	1.8	132.82	9535.7
74.06	10332.93	148.12	2	143.15	9531.88
74.06	10332.93	170.34	2.3	169.9	9246.85
74.06	10332.93	185.15	2.5	179.07	9245.35
74.06	10332.93	207.37	2.8	205.39	8821.29
74.06	10332.93	222.18	3	221.89	8551.59
74.06	10332.93	244.4	3.3	237.21	8294.78
74.06	10332.93	259.21	3.5	252.53	8040.02
74.06	10332.93	370.3	5	368.81	6852.05
74.06	9095.04	96.28	1.3	91.8	8656
74.06	9095.04	111.09	1.5	108.56	8520.2
74.06	9095.04	118.5	1.6	117.4	8386.19
74.06	9095.04	125.9	1.7	125.78	8396.79
74.06	9095.04	133.31	1.8	126.26	8208.31
74.06	9095.04	148.12	2	144.12	8012.9
74.06	9095.04	170.34	2.3	169.99	7672.91
74.06	9095.04	185.15	2.5	184.97	7464.27
74.06	9095.04	207.37	2.8	206.21	7265.23
74.06	9095.04	222.18	3	215.35	7179.03
74.06	9095.04	244.4	3.3	242.12	7093.02
74.06	9095.04	259.21	3.5	258.96	6903.57
74.06	9095.04	370.3	5	370.28	6042.82
74.06	8625.93	96.28	1.3	93.93	8256.48
74.06	8625.93	111.09	1.5	104.12	8256.48
74.06	8625.93	118.5	1.6	111.78	8114.5
74.06	8625.93	125.9	1.7	121.91	8114.5
74.06	8625.93	133.31	1.8	130.78	7972.82
74.06	8625.93	148.12	2	146.1	7719.44
74.06	8625.93	170.34	2.3	165.25	7482.54
74.06	8625.93	185.15	2.5	183.09	7385.76
74.06	8625.93	207.37	2.8	200.53	7291.19
74.06	8625.93	222.18	3	218.71	7119.42
74.06	8625.93	244.4	3.3	244.26	6948.01
74.06	8625.93	259.21	3.5	251.92	6863.08
74.06	8625.93	370.3	5	368.91	5844.84
