HEFTmakespan:	HEFTsumcost:	maxTime:	MaxTimeParameter:	CFMAXtestmakespan:	CFMAXsumcost:	DMtestmakespan:	DMsumcost:	EMetricmakespan:	EMetricsumcost:	Othermakespan:	Othersumcost:		HEFTmakespan:	HEFTsumcost:	CFMAXtestmakespan:	CFMAXsumcost:	DMtestmakespan:	DMsumcost:	EMetricmakespan:	EMetricsumcost:	Othermakespan:	Othersumcost:
270.59	10482.36	351.77	1.3	349.99	10262.17	345.74	9921.42	347.87	9915.29	349.99	10322.45	5	270.59	10482.36	667.9153846	8034.163846	666.8869231	7842.911538	665.4907692	7876.158462	669.1192308	8383.720769
270.59	10482.36	405.89	1.5	397.82	9773.29	398.08	9530.04	398.08	9530.04	404.47	9996.31	10	149.1	10928.84	367.6276923	8759.918462	367.2038462	8710.192308	366.4492308	8737.71	368.1146154	8879.705385
270.59	10482.36	432.94	1.6	432.42	9419.81	423.38	9335.26	423.38	9335.26	430.36	9669.36	15	95.24	9741.36	233.9215385	8016.376154	232.8530769	7849.630769	234.0584615	7823.589231	233.3361538	8142.244615
270.59	10482.36	460	1.7	457.46	9256.92	448.67	9199.59	448.67	9199.59	457.46	9256.92	20	81.45	10331.58	199.7569231	8655.322308	197.8792308	8707.36	198.0738462	8671.142308	199.7369231	8838.303077
270.59	10482.36	487.06	1.8	482.1	9025.09	486.24	9006.9	486.24	9006.9	482.1	9025.09	25	74.06	10332.93	133.11375	9647.62625	131.86375	9654.2525	132.18625	9638.71	127.2257143	9804.998571
270.59	10482.36	541.18	2	541.14	8633.5	540.05	8461.58	540.05	8461.58	540.14	8698.94	30										
270.59	10482.36	622.36	2.3	618.56	8133.11	618.06	7966.39	614.75	7962.93	621.62	8088.56	35										
270.59	10482.36	676.48	2.5	667.96	7832.88	668.14	7665.26	664.89	7669.62	671.42	7937.81											
270.59	10482.36	757.65	2.8	756.14	7682.75	755.78	7158.95	755.6	7221.63	757.62	7574.17											
270.59	10482.36	811.77	3	801.98	7244.44	805.86	6860.02	802.19	6965.6	806.72	7490.07											
270.59	10482.36	892.95	3.3	882.55	6525.53	884.32	6480.97	880.95	6627.02	886.91	7220.25											
270.59	10482.36	947.07	3.5	944.86	6238.23	946.92	6120.91	944.35	6269.23	940.03	7110.4											
270.59	10482.36	1352.95	5	1349.92	4416.41	1348.29	4250.56	1344.36	4225.37	1349.71	6598.04		5									
149.1	10928.84	193.83	1.3	190.38	10663.79	191.49	10610.8	191.49	10610.8	189.56	10711.98											
149.1	10928.84	223.65	1.5	214.72	10317.89	223.33	10214.97	223.33	10214.97	223.4	10374.12											
149.1	10928.84	238.56	1.6	237.12	10028.42	234.18	10095.76	235.05	10146.7	233.2	10230.2											
149.1	10928.84	253.47	1.7	253.16	9827.17	244.49	10041.34	245.36	10107.59	253.44	9984.82											
149.1	10928.84	268.38	1.8	263.67	9649.56	265.99	9735.12	265.99	9735.12	263.96	9835.81											
149.1	10928.84	298.2	2	297.04	9348.36	288.67	9514.24	297.3	9531.26	296.37	9604.53											
149.1	10928.84	342.93	2.3	341.24	8985.92	340.46	9023	342.75	8703.13	340.91	9253.92											
149.1	10928.84	372.75	2.5	370.41	8809.48	371.54	8612.36	363.41	8528.48	372.57	8989.1											
149.1	10928.84	417.48	2.8	417.3	8326.59	415.52	8071.45	408.83	8197.31	413.13	8610.78											
149.1	10928.84	447.3	3	444.98	7951.84	446.46	7710.89	444.06	7756.15	444.42	8153											
149.1	10928.84	492.03	3.3	490.78	7476.6	485.88	7375.4	484.59	7644.33	487.64	7330.59											
149.1	10928.84	521.85	3.5	519	7125.05	520.58	6982.12	517.52	7189.09	521.68	7063.51											
149.1	10928.84	745.5	5	739.36	5368.27	745.06	5245.05	744.16	5225.3	745.21	5293.81		10									
95.24	9741.36	123.81	1.3	120.41	9357.68	122.56	9471.43	122.56	9471.43	123.65	9437.18											
95.24	9741.36	142.86	1.5	141.32	9348.26	140.78	9095.22	140.78	9095.22	141.69	9130.7											
95.24	9741.36	152.38	1.6	150.43	9156.52	149.89	8900.11	149.89	8900.11	151.01	8947.54											
95.24	9741.36	161.91	1.7	159.54	8980.44	158.99	8723.12	158.99	8723.12	161.43	8737.13											
95.24	9741.36	171.43	1.8	165.9	8976.16	168.1	8582.55	169.84	8539.62	169.09	8634.4											
95.24	9741.36	190.48	2	184.11	8625.03	186.32	8307.1	188.35	8264.17	183.84	8625.3											
95.24	9741.36	219.05	2.3	211.43	8168.8	213.64	7861.75	216.11	7818.83	214.48	8293.21											
95.24	9741.36	238.1	2.5	238.09	7877.77	234.62	7602.98	234.62	7602.98	237.46	8001.41											
95.24	9741.36	266.67	2.8	266.08	7370.87	262.38	7276.33	265.5	7314.86	260.44	7789.27											
95.24	9741.36	285.72	3	284.3	7161.91	281.53	7093.97	284.01	7042.79	284.24	7627.25											
95.24	9741.36	314.29	3.3	311.62	6865.99	309.29	6925.33	311.77	6763.99	306.86	7534.45											
95.24	9741.36	333.34	3.5	333.11	6675.41	327.8	6649.78	330.28	6651.74	329.84	7373.72											
95.24	9741.36	476.2	5	474.64	5648.05	471.19	5555.53	470.06	5517.8	469.34	5717.62		15									
81.45	10331.58	105.89	1.3	105.62	9909.83	99.13	10082.5	99.13	10082.5	105.12	9955.56											
81.45	10331.58	122.18	1.5	118.55	9693.88	116.8	9798.31	116.8	9798.31	120.71	9655.28											
81.45	10331.58	130.32	1.6	127.63	9693.88	125.64	9622.13	127.42	9518.47	127.1	9650.23											
81.45	10331.58	138.47	1.7	136.4	9516.96	134.48	9447.47	135.27	9364.82	135.69	9507.82											
81.45	10331.58	146.61	1.8	145.25	9342.29	145.21	9288.2	144.11	9222.26	142.5	9397.36											
81.45	10331.58	162.9	2	158.97	9026.66	162.88	9113.65	161.79	9048.14	157.78	9287.04											
81.45	10331.58	187.33	2.3	186.58	8882.96	180.56	8948.18	179.46	8891.5	187.23	8900.78											
81.45	10331.58	203.62	2.5	201.4	8597.67	198.24	8600.38	199.46	8638.7	201.03	8682.37											
81.45	10331.58	228.06	2.8	228.04	8196.42	226.24	8227.82	222.01	8365.28	226.57	8489.66											
81.45	10331.58	244.35	3	237.63	7930.94	243.93	8090.5	239.69	8141.64	239.77	8294.75											
81.45	10331.58	268.78	3.3	264.47	7803.53	261.6	7981.33	266.21	7905.39	268.52	8047.57											
81.45	10331.58	285.07	3.5	281.98	7675.57	279.28	7703.7	282.08	7647.13	284.72	7960.73											
81.45	10331.58	407.25	5	404.32	6248.6	398.44	6291.51	401.53	6100.71	399.84	7068.79		20									
74.06	10332.93	96.28	1.3	96.23	10143.84	94.23	10060.56	94.23	10060.56	94.54	10095.14											
74.06	10332.93	111.09	1.5	105.46	9983.16	103.06	9931.74	103.06	9931.74	108.65	9973.56											
74.06	10332.93	118.5	1.6	113.12	9818.86	111.9	9856.76	111.9	9856.76	116.07	9927.69											
74.06	10332.93	125.9	1.7	125.16	9675.37	120.74	9791.62	120.74	9791.62	123.77	9817.46											
74.06	10332.93	133.31	1.8	132.82	9535.7	129.58	9735.81	129.58	9735.81	131.43	9722.12											
74.06	10332.93	148.12	2	143.15	9531.88	147.26	9528.16	147.26	9528.16	146.67	9611.89											
74.06	10332.93	170.34	2.3	169.9	9246.85	164.93	9256.68	166.73	9181.21	169.45	9487.13											
74.06	10332.93	185.15	2.5	179.07	9245.35	183.21	9072.69	183.99	9023.82													
