HEFTmakespan:	HEFTsumcost:	maxTime:	CFMAXtestmakespan:	CFMAXsumcost:	MaxTimeParameter:	
93.15	2202.14	102.47	93.15	2202.14	1.1
93.15	2202.14	121.09	119.81	1897.25	1.3
93.15	2202.14	139.72	139.71	1725.93	1.5
93.15	2202.14	149.04	145.41	1801.78	1.6
93.15	2202.14	158.35	157.91	1708.73	1.7
93.15	2202.14	167.67	162.80	1619.13	1.8
93.15	2202.14	186.30	177.93	1708.44	2.0
93.15	2202.14	214.24	213.94	1510.03	2.3
93.15	2202.14	232.87	228.30	1469.74	2.5
93.15	2202.14	465.75	447.35	747.11	5.0
77.70	1815.65	85.47	77.70	1815.65	1.1
77.70	1815.65	101.01	100.33	1587.79	1.3
77.70	1815.65	116.55	115.50	1495.86	1.5
77.70	1815.65	124.32	121.17	1495.17	1.6
77.70	1815.65	132.09	130.28	1403.24	1.7
77.70	1815.65	139.86	139.39	1338.72	1.8
77.70	1815.65	155.40	152.18	1337.61	2.0
77.70	1815.65	178.71	175.37	1221.25	2.3
77.70	1815.65	194.25	193.00	1220.12	2.5
77.70	1815.65	388.50	377.89	622.72	5.0
66.59	1511.15	73.25	66.59	1511.15	1.1
66.59	1511.15	86.57	79.51	1431.94	1.3
66.59	1511.15	99.89	96.35	1313.35	1.5
66.59	1511.15	106.54	103.54	1366.01	1.6
66.59	1511.15	113.20	111.35	1311.04	1.7
66.59	1511.15	119.86	119.16	1257.83	1.8
66.59	1511.15	133.18	126.63	1256.08	2.0
66.59	1511.15	153.16	150.25	1202.28	2.3
66.59	1511.15	166.48	161.64	1149.43	2.5
66.59	1511.15	332.95	329.26	551.69	5.0
66.59	1537.21	73.25	66.59	1537.21	1.1
66.59	1537.21	86.57	85.92	1357.14	1.3
66.59	1537.21	99.89	96.05	1281.33	1.5
66.59	1537.21	106.54	105.27	1228.49	1.6
66.59	1537.21	113.20	112.96	1209.97	1.7
66.59	1537.21	119.86	118.57	1227.53	1.8
66.59	1537.21	133.18	127.78	1174.90	2.0
66.59	1537.21	153.16	145.91	1122.61	2.3
66.59	1537.21	166.48	164.20	1019.12	2.5
66.59	1537.21	332.95	311.65	533.59	5.0
66.59	1560.32	73.25	66.59	1560.32	1.1
66.59	1560.32	86.57	81.82	1478.26	1.3
66.59	1560.32	99.89	93.67	1401.02	1.5
66.59	1560.32	106.54	101.48	1329.26	1.6
66.59	1560.32	113.20	109.29	1268.82	1.7
66.59	1560.32	119.86	117.46	1265.01	1.8
66.59	1560.32	133.18	127.02	1206.46	2.0
66.59	1560.32	153.16	147.79	1142.09	2.3
66.59	1560.32	166.48	166.11	1034.41	2.5
66.59	1560.32	332.95	332.84	533.59	5.0
66.59	1497.42	73.25	66.59	1497.42	1.1
66.59	1497.42	86.57	85.92	1317.36	1.3
66.59	1497.42	99.89	98.90	1241.55	1.5
66.59	1497.42	106.54	98.90	1241.55	1.6
66.59	1497.42	113.20	108.12	1188.92	1.7
66.59	1497.42	119.86	117.19	1136.83	1.8
66.59	1497.42	133.18	126.24	1136.63	2.0
66.59	1497.42	153.16	144.53	1033.13	2.3
66.59	1497.42	166.48	162.96	931.15	2.5
66.59	1497.42	332.95	301.20	533.59	5.0
66.59	1527.56	73.25	66.59	1527.56	1.1
66.59	1527.56	86.57	82.22	1450.32	1.3
66.59	1527.56	99.89	97.84	1313.91	1.5
66.59	1527.56	106.54	105.13	1374.42	1.6
66.59	1527.56	113.20	112.94	1313.91	1.7
66.59	1527.56	119.86	112.94	1313.91	1.8
66.59	1527.56	133.18	128.56	1195.40	2.0
66.59	1527.56	153.16	153.03	1020.13	2.3
66.59	1527.56	166.48	160.84	971.10	2.5
66.59	1527.56	332.95	325.53	533.59	5.0
