HEFTmakespan:	HEFTsumcost:	maxTime:	DMtestmakespan:	DMsumcost:	MaxTimeParameter:	
93.15	2346.96	102.47	93.15	2346.96	1.1
93.15	2346.96	121.09	115.01	2177.31	1.3
93.15	2346.96	139.72	138.08	2119.47	1.5
93.15	2346.96	149.04	140.54	2152.92	1.6
93.15	2346.96	158.35	153.93	2149.32	1.7
93.15	2346.96	167.67	164.86	2104.41	1.8
93.15	2346.96	186.30	180.65	2104.41	2.0
93.15	2346.96	214.24	180.65	2104.41	2.3
93.15	2346.96	232.87	180.65	2104.41	2.5
93.15	2346.96	465.75	180.65	2104.41	5.0
77.70	2038.90	85.47	77.70	2038.90	1.1
77.70	2038.90	101.01	95.92	1936.15	1.3
77.70	2038.90	116.55	115.15	1864.72	1.5
77.70	2038.90	124.32	118.06	1833.86	1.6
77.70	2038.90	132.09	129.22	1804.76	1.7
77.70	2038.90	139.86	138.33	1784.15	1.8
77.70	2038.90	155.40	151.54	1782.21	2.0
77.70	2038.90	178.71	173.86	1775.74	2.3
77.70	2038.90	194.25	194.13	1754.03	2.5
77.70	2038.90	388.50	207.28	1754.03	5.0
66.59	1661.17	73.25	66.59	1661.17	1.1
66.59	1661.17	86.57	84.05	1621.90	1.3
66.59	1661.17	99.89	93.61	1617.65	1.5
66.59	1661.17	106.54	103.17	1589.93	1.6
66.59	1661.17	113.20	112.73	1562.21	1.7
66.59	1661.17	119.86	114.27	1562.21	1.8
66.59	1661.17	133.18	131.64	1547.05	2.0
66.59	1661.17	153.16	152.51	1544.93	2.3
66.59	1661.17	166.48	162.07	1544.37	2.5
66.59	1661.17	332.95	209.95	1502.98	5.0
66.59	1639.50	73.25	66.59	1639.50	1.1
66.59	1639.50	86.57	83.28	1570.71	1.3
66.59	1639.50	99.89	92.84	1558.79	1.5
66.59	1639.50	106.54	102.40	1547.24	1.6
66.59	1639.50	113.20	111.96	1535.78	1.7
66.59	1639.50	119.86	119.77	1524.05	1.8
66.59	1639.50	133.18	131.66	1530.79	2.0
66.59	1639.50	153.16	150.78	1529.40	2.3
66.59	1639.50	166.48	165.90	1517.67	2.5
66.59	1639.50	332.95	177.42	1502.98	5.0
66.59	1860.83	73.25	66.59	1860.83	1.1
66.59	1860.83	86.57	83.30	1749.96	1.3
66.59	1860.83	99.89	92.86	1717.44	1.5
66.59	1860.83	106.54	102.42	1669.80	1.6
66.59	1860.83	113.20	111.98	1658.06	1.7
66.59	1860.83	119.86	119.79	1648.26	1.8
66.59	1860.83	133.18	131.10	1634.96	2.0
66.59	1860.83	153.16	150.22	1617.38	2.3
66.59	1860.83	166.48	159.78	1612.58	2.5
66.59	1860.83	332.95	234.84	1502.98	5.0
66.59	1586.93	73.25	66.59	1586.93	1.1
66.59	1586.93	86.57	83.28	1512.22	1.3
66.59	1586.93	99.89	92.84	1504.18	1.5
66.59	1586.93	106.54	102.40	1502.98	1.6
66.59	1586.93	113.20	102.40	1502.98	1.7
66.59	1586.93	119.86	102.40	1502.98	1.8
66.59	1586.93	133.18	102.40	1502.98	2.0
66.59	1586.93	153.16	102.40	1502.98	2.3
66.59	1586.93	166.48	102.40	1502.98	2.5
66.59	1586.93	332.95	102.40	1502.98	5.0
66.59	1976.45	73.25	66.59	1976.45	1.1
66.59	1976.45	86.57	83.94	1882.03	1.3
66.59	1976.45	99.89	93.50	1835.80	1.5
66.59	1976.45	106.54	103.06	1789.70	1.6
66.59	1976.45	113.20	112.62	1744.03	1.7
66.59	1976.45	119.86	112.62	1744.03	1.8
66.59	1976.45	133.18	131.74	1683.42	2.0
66.59	1976.45	153.16	150.86	1673.23	2.3
66.59	1976.45	166.48	160.42	1670.09	2.5
66.59	1976.45	332.95	192.20	1502.98	5.0
