HEFTmakespan:	HEFTsumcost:	maxTime:	Othermakespan:	Othersumcost:	MaxTimeParameter:	
93.15	2202.14	102.47	93.15	2202.14	1.1
93.15	2202.14	121.09	119.81	1897.25	1.3
93.15	2202.14	139.72	139.71	1787.11	1.5
93.15	2202.14	149.04	145.41	1801.78	1.6
93.15	2202.14	158.35	157.30	1746.93	1.7
93.15	2202.14	167.67	162.47	1731.25	1.8
93.15	2202.14	186.30	180.47	1747.99	2.0
93.15	2202.14	214.24	207.35	1682.56	2.3
93.15	2202.14	232.87	231.95	1596.01	2.5
93.15	2202.14	465.75	455.50	1360.89	5.0
77.70	1815.65	85.47	77.70	1815.65	1.1
77.70	1815.65	101.01	100.33	1587.79	1.3
77.70	1815.65	116.55	115.50	1495.86	1.5
77.70	1815.65	124.32	121.17	1495.17	1.6
77.70	1815.65	132.09	130.28	1403.24	1.7
77.70	1815.65	139.86	139.39	1368.12	1.8
77.70	1815.65	155.40	152.18	1337.61	2.0
77.70	1815.65	178.71	170.40	1249.30	2.3
77.70	1815.65	194.25	188.62	1225.18	2.5
77.70	1815.65	388.50	384.67	967.23	5.0
66.59	1511.15	73.25	66.59	1511.15	1.1
66.59	1511.15	86.57	79.51	1431.94	1.3
66.59	1511.15	99.89	96.35	1376.97	1.5
66.59	1511.15	106.54	105.91	1323.76	1.6
66.59	1511.15	113.20	113.18	1338.40	1.7
66.59	1511.15	119.86	114.62	1322.01	1.8
66.59	1511.15	133.18	132.63	1288.31	2.0
66.59	1511.15	153.16	148.12	1238.18	2.3
66.59	1511.15	166.48	164.59	1172.14	2.5
66.59	1511.15	332.95	327.48	1028.02	5.0
66.59	1537.21	73.25	66.59	1537.21	1.1
66.59	1537.21	86.57	85.92	1394.00	1.3
66.59	1537.21	99.89	99.59	1339.70	1.5
66.59	1537.21	106.54	105.64	1320.44	1.6
66.59	1537.21	113.20	110.17	1267.54	1.7
66.59	1537.21	119.86	118.50	1235.63	1.8
66.59	1537.21	133.18	132.54	1225.05	2.0
66.59	1537.21	153.16	152.50	1257.65	2.3
66.59	1537.21	166.48	165.12	1181.84	2.5
66.59	1537.21	332.95	325.42	874.23	5.0
66.59	1560.32	73.25	66.59	1560.32	1.1
66.59	1560.32	86.57	82.21	1462.72	1.3
66.59	1560.32	99.89	98.02	1394.41	1.5
66.59	1560.32	106.54	105.83	1355.92	1.6
66.59	1560.32	113.20	108.46	1340.93	1.7
66.59	1560.32	119.86	118.02	1302.44	1.8
66.59	1560.32	133.18	129.83	1292.02	2.0
66.59	1560.32	153.16	145.45	1215.59	2.3
66.59	1560.32	166.48	163.01	1151.88	2.5
66.59	1560.32	332.95	330.47	824.94	5.0
66.59	1497.42	73.25	66.59	1497.42	1.1
66.59	1497.42	86.57	86.35	1381.31	1.3
66.59	1497.42	99.89	97.83	1379.74	1.5
66.59	1497.42	106.54	105.64	1356.04	1.6
66.59	1497.42	113.20	112.73	1337.23	1.7
66.59	1497.42	119.86	113.45	1333.02	1.8
66.59	1497.42	133.18	131.03	1261.41	2.0
66.59	1497.42	153.16	153.03	1206.03	2.3
66.59	1497.42	166.48	163.03	1184.58	2.5
66.59	1497.42	332.95	327.47	952.39	5.0
66.59	1527.56	73.25	66.59	1527.56	1.1
66.59	1527.56	86.57	86.34	1460.77	1.3
66.59	1527.56	99.89	97.83	1429.18	1.5
66.59	1527.56	106.54	105.64	1395.66	1.6
66.59	1527.56	113.20	107.34	1429.18	1.7
66.59	1527.56	119.86	115.15	1395.66	1.8
66.59	1527.56	133.18	126.76	1395.66	2.0
66.59	1527.56	153.16	150.19	1316.61	2.3
66.59	1527.56	166.48	165.81	1264.82	2.5
66.59	1527.56	332.95	324.11	976.48	5.0
