HEFTmakespan:	HEFTsumcost:	maxTime:	CFMAXtestmakespan:	CFMAXsumcost:	MaxTimeParameter:	
93.15	2888.68	102.47	93.15	2888.68	1.1
93.15	2888.68	121.09	120.83	2673.00	1.3
93.15	2888.68	139.72	138.73	2621.67	1.5
93.15	2888.68	149.04	138.82	2602.79	1.6
93.15	2888.68	158.35	157.64	2615.59	1.7
93.15	2888.68	167.67	167.47	2605.29	1.8
93.15	2888.68	186.30	180.36	2585.39	2.0
93.15	2888.68	214.24	209.55	2556.04	2.3
93.15	2888.68	232.87	232.82	2529.78	2.5
93.15	2888.68	465.75	423.44	2459.14	5.0
77.70	2463.70	85.47	77.70	2463.70	1.1
77.70	2463.70	101.01	98.77	2310.35	1.3
77.70	2463.70	116.55	112.36	2243.89	1.5
77.70	2463.70	124.32	118.02	2243.41	1.6
77.70	2463.70	132.09	127.13	2176.96	1.7
77.70	2463.70	139.86	136.24	2142.34	1.8
77.70	2463.70	155.40	154.46	2099.47	2.0
77.70	2463.70	178.71	175.63	2088.90	2.3
77.70	2463.70	194.25	192.74	2083.82	2.5
77.70	2463.70	388.50	352.27	2049.70	5.0
66.59	2021.88	73.25	66.59	2021.88	1.1
66.59	2021.88	86.57	85.35	1969.97	1.3
66.59	2021.88	99.89	93.37	1948.13	1.5
66.59	2021.88	106.54	102.93	1921.74	1.6
66.59	2021.88	113.20	109.64	1916.80	1.7
66.59	2021.88	119.86	117.45	1907.32	1.8
66.59	2021.88	133.18	130.67	1900.93	2.0
66.59	2021.88	153.16	148.63	1872.71	2.3
66.59	2021.88	166.48	163.63	1860.26	2.5
66.59	2021.88	332.95	324.43	1803.84	5.0
66.59	1975.27	73.25	66.59	1975.27	1.1
66.59	1975.27	86.57	85.17	1918.81	1.3
66.59	1975.27	99.89	99.59	1884.69	1.5
66.59	1975.27	106.54	105.64	1876.16	1.6
66.59	1975.27	113.20	108.48	1866.65	1.7
66.59	1975.27	119.86	117.58	1851.76	1.8
66.59	1975.27	133.18	130.39	1842.06	2.0
66.59	1975.27	153.16	148.63	1828.14	2.3
66.59	1975.27	166.48	165.24	1809.32	2.5
66.59	1975.27	332.95	290.55	1756.36	5.0
66.59	2034.04	73.25	66.59	2034.04	1.1
66.59	2034.04	86.57	82.21	1966.68	1.3
66.59	2034.04	99.89	97.09	1935.40	1.5
66.59	2034.04	106.54	106.08	1910.89	1.6
66.59	2034.04	113.20	106.08	1910.89	1.7
66.59	2034.04	119.86	115.64	1893.53	1.8
66.59	2034.04	133.18	126.54	1888.82	2.0
66.59	2034.04	153.16	153.11	1836.87	2.3
66.59	2034.04	166.48	162.23	1822.21	2.5
66.59	2034.04	332.95	299.72	1756.36	5.0
66.59	1915.37	73.25	66.59	1915.37	1.1
66.59	1915.37	86.57	86.35	1860.96	1.3
66.59	1915.37	99.89	97.83	1845.14	1.5
66.59	1915.37	106.54	105.64	1833.50	1.6
66.59	1915.37	113.20	112.06	1824.00	1.7
66.59	1915.37	119.86	119.75	1815.46	1.8
66.59	1915.37	133.18	128.81	1805.14	2.0
66.59	1915.37	153.16	145.43	1786.54	2.3
66.59	1915.37	166.48	162.17	1772.99	2.5
66.59	1915.37	332.95	271.01	1756.36	5.0
66.59	1925.21	73.25	66.59	1925.21	1.1
66.59	1925.21	86.57	85.46	1888.14	1.3
66.59	1925.21	99.89	97.83	1857.01	1.5
66.59	1925.21	106.54	105.64	1843.29	1.6
66.59	1925.21	113.20	108.77	1842.45	1.7
66.59	1925.21	119.86	116.54	1828.98	1.8
66.59	1925.21	133.18	132.08	1802.27	2.0
66.59	1925.21	153.16	152.50	1772.48	2.3
66.59	1925.21	166.48	163.16	1768.33	2.5
66.59	1925.21	332.95	261.47	1756.33	5.0
