HEFTmakespan:	HEFTsumcost:	maxTime:	MaxTimeParameter:	CFMAXtestmakespan:	CFMAXsumcost:	DMtestmakespan:	DMsumcost:	EMetricmakespan:	EMetricsumcost:	Othermakespan:	Othersumcost:
53384.21	2209992.31	69399.47	1.3	69389.64	2148357.35	69087.21	2055791.8	69384.29	2054525.18	69392.03	2175202.01
53384.21	2209992.31	80076.32	1.5	80063.43	2085464.74	80031.4	1974385.19	79978.55	1979833.47	80062.05	2140056.04
53384.21	2209992.31	85414.74	1.6	85399.25	1987604.97	85097.43	1939230.74	84913.55	1937607.69	85399.3	2125304.86
53384.21	2209992.31	90753.16	1.7	90751.89	2145652.69	90572.66	1905999.83	90504.04	1900586.87	90751.69	2154145.28
53384.21	2209992.31	96091.58	1.8	96080.78	2145009.9	96030.59	1851568.26	95866.14	1853928.75	96080.78	2150911.04
53384.21	2209992.31	106768.42	2	106764.2	2113599.91	106573.87	1783839.91	106687.18	1784805.14	106751.23	2116615.58
53384.21	2209992.31	122783.68	2.3	122775.57	2038306.52	122585.17	1671001.28	122761.69	1677014.23	122775.57	2040124.73
53384.21	2209992.31	133460.53	2.5	133453.49	1929226.85	133326.6	1607350.51	133239.65	1605429.89	133451.67	1979299.41
53384.21	2209992.31	149475.79	2.8	149468.6	1812299.63	149349.41	1506219.21	149379.54	1494309.22	149458.13	1816839.2
53384.21	2209992.31	160152.63	3	160145.32	1746313.3	159612.85	1432919.11	159671.8	1422230.03	160144.43	1744772.51
53384.21	2209992.31	176167.89	3.3	176163.89	1641787.14	176118.01	1352426.04	176098.33	1321146.39	176150.45	1659373.09
53384.21	2209992.31	186844.74	3.5	186834.69	1582494.15	186829.95	1292240.92	186403.9	1256672.27	186835.51	1380030.1
53384.21	2209992.31	266921.05	5	266920.34	1140275.45						
