HEFTmakespan:	HEFTsumcost:	maxTime:	CFMAXtestmakespan:	CFMAXsumcost:	MaxTimeParameter:	
2681.99	110454.58	3486.59	3478.07	109141.27	1.3
2681.99	110454.58	4022.99	4014.30	109308.86	1.5
2681.99	110454.58	4291.18	4281.75	108842.01	1.6
2681.99	110454.58	4559.38	4550.67	109775.57	1.7
2681.99	110454.58	4827.58	4823.87	105846.03	1.8
2681.99	110454.58	5363.98	5356.61	101097.35	2.0
2681.99	110454.58	6168.58	6165.18	94227.23	2.3
2681.99	110454.58	6704.98	6697.92	90265.48	2.5
2681.99	110454.58	13409.95	13398.08	59306.03	5.0
1369.61	116313.69	1780.49	1776.93	113898.48	1.3
1369.61	116313.69	2054.42	2043.84	113464.32	1.5
1369.61	116313.69	2191.38	2191.08	115230.34	1.6
1369.61	116313.69	2328.34	2327.89	114284.79	1.7
1369.61	116313.69	2465.30	2455.55	111879.09	1.8
1369.61	116313.69	2739.22	2734.91	107894.98	2.0
1369.61	116313.69	3150.10	3148.25	102325.71	2.3
1369.61	116313.69	3424.03	3416.23	98787.20	2.5
1369.61	116313.69	6848.05	6846.31	67211.10	5.0
817.72	104915.13	1063.04	1062.74	103547.31	1.3
817.72	104915.13	1226.58	1226.26	101663.75	1.5
817.72	104915.13	1308.35	1304.20	104493.38	1.6
817.72	104915.13	1390.12	1387.31	104441.69	1.7
817.72	104915.13	1471.90	1466.61	103331.53	1.8
817.72	104915.13	1635.44	1632.60	103066.28	2.0
817.72	104915.13	1880.76	1879.38	100038.71	2.3
817.72	104915.13	2044.30	2036.37	94407.18	2.5
817.72	104915.13	4088.60	4080.30	67644.96	5.0
641.17	111357.18	833.52	829.58	109934.52	1.3
641.17	111357.18	961.75	955.58	109207.98	1.5
641.17	111357.18	1025.87	1017.63	110226.55	1.6
641.17	111357.18	1089.99	1081.84	110371.36	1.7
641.17	111357.18	1154.11	1146.12	109607.08	1.8
641.17	111357.18	1282.34	1282.25	107838.73	2.0
641.17	111357.18	1474.69	1474.64	104018.51	2.3
641.17	111357.18	1602.92	1597.05	100047.73	2.5
641.17	111357.18	3205.85	3197.87	77099.50	5.0
548.31	113584.70	712.80	711.13	113140.88	1.3
548.31	113584.70	822.46	818.37	111583.73	1.5
548.31	113584.70	877.30	875.27	110676.60	1.6
548.31	113584.70	932.13	926.36	113202.23	1.7
548.31	113584.70	986.96	986.79	112519.50	1.8
548.31	113584.70	1096.62	1087.95	112730.38	2.0
548.31	113584.70	1261.11	1257.64	111721.75	2.3
548.31	113584.70	1370.77	1364.37	109734.82	2.5
548.31	113584.70	2741.55	2733.76	88805.60	5.0
380.60	97138.62	494.78	491.22	96884.14	1.3
380.60	97138.62	570.90	565.09	95657.94	1.5
380.60	97138.62	608.96	608.08	96238.21	1.6
380.60	97138.62	647.02	639.86	96793.95	1.7
380.60	97138.62	685.08	685.00	96188.15	1.8
380.60	97138.62	761.20	755.34	95178.38	2.0
380.60	97138.62	875.38	875.03	92520.74	2.3
380.60	97138.62	951.50	944.75	91249.74	2.5
380.60	97138.62	1903.00	1899.88	78863.87	5.0
332.16	96646.04	431.81	429.84	96350.58	1.3
332.16	96646.04	498.24	494.28	95499.41	1.5
332.16	96646.04	531.46	525.62	95106.70	1.6
332.16	96646.04	564.67	563.66	95588.82	1.7
332.16	96646.04	597.89	597.72	94922.11	1.8
332.16	96646.04	664.32	663.99	96058.67	2.0
332.16	96646.04	763.97	755.69	93906.66	2.3
332.16	96646.04	830.40	824.71	92531.79	2.5
332.16	96646.04	1660.80	1660.02	80177.82	5.0
