HEFTmakespan:	HEFTsumcost:	maxTime:	EMetricmakespan:	EMetricsumcost:	MaxTimeParameter:	
270.59	10482.36	351.77	347.87	9915.29	1.3
270.59	10482.36	405.89	398.08	9530.04	1.5
270.59	10482.36	432.94	423.38	9335.26	1.6
270.59	10482.36	460.00	448.67	9199.59	1.7
270.59	10482.36	487.06	486.24	9006.90	1.8
270.59	10482.36	541.18	540.05	8461.58	2.0
270.59	10482.36	622.36	614.75	7962.93	2.3
270.59	10482.36	676.48	664.89	7669.62	2.5
270.59	10482.36	757.65	755.60	7221.63	2.8
270.59	10482.36	811.77	802.19	6965.60	3.0
270.59	10482.36	892.95	880.95	6627.02	3.3
270.59	10482.36	947.07	944.35	6269.23	3.5
270.59	10482.36	1352.95	1344.36	4225.37	5.0
149.10	10928.84	193.83	191.49	10610.80	1.3
149.10	10928.84	223.65	223.33	10214.97	1.5
149.10	10928.84	238.56	235.05	10146.70	1.6
149.10	10928.84	253.47	245.36	10107.59	1.7
149.10	10928.84	268.38	265.99	9735.12	1.8
149.10	10928.84	298.20	297.30	9531.26	2.0
149.10	10928.84	342.93	342.75	8703.13	2.3
149.10	10928.84	372.75	363.41	8528.48	2.5
149.10	10928.84	417.48	408.83	8197.31	2.8
149.10	10928.84	447.30	444.06	7756.15	3.0
149.10	10928.84	492.03	484.59	7644.33	3.3
149.10	10928.84	521.85	517.52	7189.09	3.5
149.10	10928.84	745.50	744.16	5225.30	5.0
95.24	9741.36	123.81	122.56	9471.43	1.3
95.24	9741.36	142.86	140.78	9095.22	1.5
95.24	9741.36	152.38	149.89	8900.11	1.6
95.24	9741.36	161.91	158.99	8723.12	1.7
95.24	9741.36	171.43	169.84	8539.62	1.8
95.24	9741.36	190.48	188.35	8264.17	2.0
95.24	9741.36	219.05	216.11	7818.83	2.3
95.24	9741.36	238.10	234.62	7602.98	2.5
95.24	9741.36	266.67	265.50	7314.86	2.8
95.24	9741.36	285.72	284.01	7042.79	3.0
95.24	9741.36	314.29	311.77	6763.99	3.3
95.24	9741.36	333.34	330.28	6651.74	3.5
95.24	9741.36	476.20	470.06	5517.80	5.0
81.45	10331.58	105.89	99.13	10082.50	1.3
81.45	10331.58	122.18	116.80	9798.31	1.5
81.45	10331.58	130.32	127.42	9518.47	1.6
81.45	10331.58	138.47	135.27	9364.82	1.7
81.45	10331.58	146.61	144.11	9222.26	1.8
81.45	10331.58	162.90	161.79	9048.14	2.0
81.45	10331.58	187.33	179.46	8891.50	2.3
81.45	10331.58	203.62	199.46	8638.70	2.5
81.45	10331.58	228.06	222.01	8365.28	2.8
81.45	10331.58	244.35	239.69	8141.64	3.0
81.45	10331.58	268.78	266.21	7905.39	3.3
81.45	10331.58	285.07	282.08	7647.13	3.5
81.45	10331.58	407.25	401.53	6100.71	5.0
74.06	10332.93	96.28	94.23	10060.56	1.3
74.06	10332.93	111.09	103.06	9931.74	1.5
74.06	10332.93	118.50	111.90	9856.76	1.6
74.06	10332.93	125.90	120.74	9791.62	1.7
74.06	10332.93	133.31	129.58	9735.81	1.8
74.06	10332.93	148.12	147.26	9528.16	2.0
74.06	10332.93	170.34	166.73	9181.21	2.3
74.06	10332.93	185.15	183.99	9023.82	2.5
