HEFTmakespan:	HEFTsumcost:	maxTime:	EMetricmakespan:	EMetricsumcost:	MaxTimeParameter:	
2681.99	123191.84	3486.59	3483.81	117857.40	1.3
2681.99	123191.84	4022.99	4011.71	114194.02	1.5
2681.99	123191.84	4291.18	4287.91	112491.92	1.6
2681.99	123191.84	4559.38	4553.43	111114.70	1.7
2681.99	123191.84	4827.58	4825.33	110252.60	1.8
2681.99	123191.84	5363.98	5354.13	108864.85	2.0
2681.99	123191.84	6168.58	6163.07	106815.23	2.3
2681.99	123191.84	6704.98	6698.45	105473.86	2.5
2681.99	123191.84	7509.57	6853.82	105139.10	2.8
2681.99	123191.84	8045.97	6868.56	105139.10	3.0
2681.99	123191.84	8850.57	6878.66	105139.10	3.3
2681.99	123191.84	9386.97	6888.95	105139.10	3.5
2681.99	123191.84	10191.56	6882.70	105139.10	3.8
2681.99	123191.84	10727.96	6903.20	105139.10	4.0
2681.99	123191.84	11532.56	6909.27	105139.10	4.3
2681.99	123191.84	12068.96	6909.27	105139.10	4.5
2681.99	123191.84	13409.95	6929.06	105139.10	5.0
1369.61	125001.31	1780.49	1770.94	121418.50	1.3
1369.61	125001.31	2054.42	2044.07	118412.54	1.5
1369.61	125001.31	2191.38	2182.64	116990.78	1.6
1369.61	125001.31	2328.34	2323.33	115729.24	1.7
1369.61	125001.31	2465.30	2461.45	114470.57	1.8
1369.61	125001.31	2739.22	2737.86	112016.24	2.0
1369.61	125001.31	3150.10	3143.28	108452.65	2.3
1369.61	125001.31	3424.03	3414.12	106206.13	2.5
1369.61	125001.31	3834.91	3825.12	102909.95	2.8
1369.61	125001.31	4108.83	4108.77	101255.99	3.0
1369.61	125001.31	4519.71	4515.82	99368.53	3.3
1369.61	125001.31	4793.64	4792.85	98107.92	3.5
1369.61	125001.31	5204.52	5193.18	96330.51	3.8
1369.61	125001.31	5478.44	5471.95	95081.73	4.0
1369.61	125001.31	5889.32	5884.68	93319.01	4.3
1369.61	125001.31	6163.25	6160.92	92077.89	4.5
1369.61	125001.31	6848.05	6842.41	89403.01	5.0
817.72	120703.12	1063.04	1061.37	115198.13	1.3
817.72	120703.12	1226.58	1220.69	111904.49	1.5
817.72	120703.12	1308.35	1300.35	110417.68	1.6
817.72	120703.12	1390.12	1380.01	109176.34	1.7
817.72	120703.12	1471.90	1471.05	107934.04	1.8
817.72	120703.12	1635.44	1630.37	105521.92	2.0
817.72	120703.12	1880.76	1880.73	102207.98	2.3
817.72	120703.12	2044.30	2040.05	100361.00	2.5
817.72	120703.12	2289.62	2279.03	97954.63	2.8
817.72	120703.12	2453.16	2449.73	96249.29	3.0
817.72	120703.12	2698.48	2688.71	93884.31	3.3
817.72	120703.12	2862.02	2859.41	92601.89	3.5
817.72	120703.12	3107.34	3098.39	91212.66	3.8
817.72	120703.12	3270.88	3269.09	90250.96	4.0
817.72	120703.12	3516.20	3508.07	88912.92	4.3
817.72	120703.12	3679.74	3678.77	87963.23	4.5
817.72	120703.12	4088.60	4087.55	86326.64	5.0
641.17	127479.56	833.52	829.15	123611.01	1.3
641.17	127479.56	961.75	958.12	120413.71	1.5
641.17	127479.56	1025.87	1017.28	119088.99	1.6
641.17	127479.56	1089.99	1086.61	117929.29	1.7
641.17	127479.56	1154.11	1145.77	117007.29	1.8
641.17	127479.56	1282.34	1278.07	114898.93	2.0
641.17	127479.56	1474.69	1469.16	111938.67	2.3
641.17	127479.56	1602.92	1597.65	110058.52	2.5
641.17	127479.56	1795.28	1794.85	107680.42	2.8
641.17	127479.56	1923.51	1923.03	106185.11	3.0
641.17	127479.56	2115.86	2110.41	104010.11	3.3
641.17	127479.56	2244.09	2240.91	102528.93	3.5
641.17	127479.56	2436.45	2428.78	100371.30	3.8
641.17	127479.56	2564.68	2556.96	98901.68	4.0
641.17	127479.56	2757.03	2756.61	96649.98	4.3
641.17	127479.56	2885.26	2879.58	95335.41	4.5
641.17	127479.56	3205.85	3196.65	92750.55	5.0
548.31	129795.06	712.80	711.72	128073.50	1.3
548.31	129795.06	822.46	813.42	126757.17	1.5
548.31	129795.06	877.30	869.92	126031.37	1.6
548.31	129795.06	932.13	926.42	125329.13	1.7
548.31	129795.06	986.96	982.92	124603.23	1.8
548.31	129795.06	1096.62	1095.92	123303.35	2.0
548.31	129795.06	1261.11	1254.12	121400.50	2.3
548.31	129795.06	1370.77	1367.12	120244.39	2.5
548.31	129795.06	1535.27	1525.32	118632.19	2.8
548.31	129795.06	1644.93	1638.32	117484.12	3.0
548.31	129795.06	1809.42	1807.82	115766.22	3.3
548.31	129795.06	1919.08	1909.52	114737.35	3.5
548.31	129795.06	2083.58	2079.02	113027.58	3.8
548.31	129795.06	2193.24	2192.02	111889.40	4.0
548.31	129795.06	2357.73	2350.22	110296.97	4.3
548.31	129795.06	2467.39	2463.22	109160.08	4.5
548.31	129795.06	2741.55	2734.42	106439.64	5.0
380.60	112852.44	494.78	491.37	110385.81	1.3
380.60	112852.44	570.90	570.25	108828.27	1.5
380.60	112852.44	608.96	600.19	108203.45	1.6
380.60	112852.44	647.02	639.63	107357.53	1.7
380.60	112852.44	685.08	679.07	106577.28	1.8
380.60	112852.44	761.20	758.26	105357.83	2.0
380.60	112852.44	875.38	866.72	103824.55	2.3
380.60	112852.44	951.50	945.91	102915.61	2.5
380.60	112852.44	1065.68	1064.54	101803.65	2.8
380.60	112852.44	1141.80	1133.56	101213.42	3.0
380.60	112852.44	1255.98	1252.50	100217.77	3.3
380.60	112852.44	1332.10	1331.38	99564.08	3.5
380.60	112852.44	1446.28	1442.13	98696.80	3.8
380.60	112852.44	1522.40	1521.01	98156.18	4.0
380.60	112852.44	1636.58	1629.47	97419.18	4.3
380.60	112852.44	1712.70	1704.23	96952.46	4.5
380.60	112852.44	1903.00	1901.51	95626.58	5.0
332.16	114193.90	431.81	422.74	112599.93	1.3
332.16	114193.90	498.24	491.76	110954.56	1.5
332.16	114193.90	531.46	531.20	110191.12	1.6
332.16	114193.90	564.67	560.78	109749.54	1.7
332.16	114193.90	597.89	590.36	109313.97	1.8
332.16	114193.90	664.32	659.38	108359.36	2.0
