HEFTmakespan:	HEFTsumcost:	maxTime:	Othermakespan:	Othersumcost:	MaxTimeParameter:	
2681.99	123191.84	3486.59	2681.99	123191.84	1.3
2681.99	123191.84	4022.99	3959.00	122970.36	1.5
2681.99	123191.84	4291.18	3959.00	122970.36	1.6
2681.99	123191.84	4559.38	4548.18	122763.66	1.7
2681.99	123191.84	4827.58	4654.10	122763.66	1.8
2681.99	123191.84	5363.98	4654.10	122763.66	2.0
2681.99	123191.84	6168.58	4654.10	122763.66	2.3
2681.99	123191.84	6704.98	4654.10	122763.66	2.5
2681.99	123191.84	7509.57	4654.10	122763.66	2.8
2681.99	123191.84	8045.97	4654.10	122763.66	3.0
2681.99	123191.84	8850.57	4654.10	122763.66	3.3
2681.99	123191.84	9386.97	4654.10	122763.66	3.5
2681.99	123191.84	10191.56	4654.10	122763.66	3.8
2681.99	123191.84	10727.96	4654.10	122763.66	4.0
2681.99	123191.84	11532.56	4654.10	122763.66	4.3
2681.99	123191.84	12068.96	4654.10	122763.66	4.5
2681.99	123191.84	13409.95	4654.10	122763.66	5.0
1369.61	125001.31	1780.49	1476.61	124867.33	1.3
1369.61	125001.31	2054.42	1476.61	124867.33	1.5
1369.61	125001.31	2191.38	1476.61	124867.33	1.6
1369.61	125001.31	2328.34	2278.81	124741.76	1.7
1369.61	125001.31	2465.30	2278.81	124741.76	1.8
1369.61	125001.31	2739.22	2278.81	124741.76	2.0
1369.61	125001.31	3150.10	2278.81	124741.76	2.3
1369.61	125001.31	3424.03	2278.81	124741.76	2.5
1369.61	125001.31	3834.91	2278.81	124741.76	2.8
1369.61	125001.31	4108.83	2278.81	124741.76	3.0
1369.61	125001.31	4519.71	2278.81	124741.76	3.3
1369.61	125001.31	4793.64	2278.81	124741.76	3.5
1369.61	125001.31	5204.52	2278.81	124741.76	3.8
1369.61	125001.31	5478.44	2278.81	124741.76	4.0
1369.61	125001.31	5889.32	2278.81	124741.76	4.3
1369.61	125001.31	6163.25	2278.81	124741.76	4.5
1369.61	125001.31	6848.05	2278.81	124741.76	5.0
817.72	120703.12	1063.04	967.83	120394.48	1.3
817.72	120703.12	1226.58	967.83	120394.48	1.5
817.72	120703.12	1308.35	967.83	120394.48	1.6
817.72	120703.12	1390.12	967.83	120394.48	1.7
817.72	120703.12	1471.90	967.83	120394.48	1.8
817.72	120703.12	1635.44	967.83	120394.48	2.0
817.72	120703.12	1880.76	967.83	120394.48	2.3
817.72	120703.12	2044.30	967.83	120394.48	2.5
817.72	120703.12	2289.62	967.83	120394.48	2.8
817.72	120703.12	2453.16	967.83	120394.48	3.0
817.72	120703.12	2698.48	967.83	120394.48	3.3
817.72	120703.12	2862.02	967.83	120394.48	3.5
817.72	120703.12	3107.34	967.83	120394.48	3.8
817.72	120703.12	3270.88	967.83	120394.48	4.0
817.72	120703.12	3516.20	967.83	120394.48	4.3
817.72	120703.12	3679.74	967.83	120394.48	4.5
817.72	120703.12	4088.60	967.83	120394.48	5.0
641.17	127479.56	833.52	766.28	127167.84	1.3
641.17	127479.56	961.75	766.28	127167.84	1.5
641.17	127479.56	1025.87	766.28	127167.84	1.6
641.17	127479.56	1089.99	766.28	127167.84	1.7
641.17	127479.56	1154.11	766.28	127167.84	1.8
641.17	127479.56	1282.34	766.28	127167.84	2.0
641.17	127479.56	1474.69	766.28	127167.84	2.3
641.17	127479.56	1602.92	766.28	127167.84	2.5
641.17	127479.56	1795.28	766.28	127167.84	2.8
641.17	127479.56	1923.51	766.28	127167.84	3.0
641.17	127479.56	2115.86	766.28	127167.84	3.3
641.17	127479.56	2244.09	766.28	127167.84	3.5
641.17	127479.56	2436.45	766.28	127167.84	3.8
641.17	127479.56	2564.68	766.28	127167.84	4.0
641.17	127479.56	2757.03	766.28	127167.84	4.3
641.17	127479.56	2885.26	766.28	127167.84	4.5
641.17	127479.56	3205.85	766.28	127167.84	5.0
548.31	129795.06	712.80	701.27	129647.03	1.3
548.31	129795.06	822.46	747.26	129645.37	1.5
548.31	129795.06	877.30	747.26	129645.37	1.6
548.31	129795.06	932.13	747.26	129645.37	1.7
548.31	129795.06	986.96	747.26	129645.37	1.8
548.31	129795.06	1096.62	747.26	129645.37	2.0
548.31	129795.06	1261.11	747.26	129645.37	2.3
548.31	129795.06	1370.77	747.26	129645.37	2.5
548.31	129795.06	1535.27	747.26	129645.37	2.8
548.31	129795.06	1644.93	747.26	129645.37	3.0
548.31	129795.06	1809.42	747.26	129645.37	3.3
548.31	129795.06	1919.08	747.26	129645.37	3.5
548.31	129795.06	2083.58	747.26	129645.37	3.8
548.31	129795.06	2193.24	747.26	129645.37	4.0
548.31	129795.06	2357.73	747.26	129645.37	4.3
548.31	129795.06	2467.39	747.26	129645.37	4.5
548.31	129795.06	2741.55	747.26	129645.37	5.0
380.60	112852.44	494.78	491.22	112545.55	1.3
380.60	112852.44	570.90	505.66	112545.55	1.5
380.60	112852.44	608.96	505.66	112545.55	1.6
380.60	112852.44	647.02	505.66	112545.55	1.7
380.60	112852.44	685.08	505.66	112545.55	1.8
380.60	112852.44	761.20	505.66	112545.55	2.0
380.60	112852.44	875.38	505.66	112545.55	2.3
380.60	112852.44	951.50	505.66	112545.55	2.5
380.60	112852.44	1065.68	505.66	112545.55	2.8
380.60	112852.44	1141.80	505.66	112545.55	3.0
380.60	112852.44	1255.98	505.66	112545.55	3.3
380.60	112852.44	1332.10	505.66	112545.55	3.5
380.60	112852.44	1446.28	505.66	112545.55	3.8
380.60	112852.44	1522.40	505.66	112545.55	4.0
380.60	112852.44	1636.58	505.66	112545.55	4.3
380.60	112852.44	1712.70	505.66	112545.55	4.5
380.60	112852.44	1903.00	505.66	112545.55	5.0
332.16	114193.90	431.81	428.07	113889.50	1.3
332.16	114193.90	498.24	428.07	113889.50	1.5
332.16	114193.90	531.46	428.07	113889.50	1.6
332.16	114193.90	564.67	428.07	113889.50	1.7
332.16	114193.90	597.89	428.07	113889.50	1.8
332.16	114193.90	664.32	428.07	113889.50	2.0
332.16	114193.90	763.97	428.07	113889.50	2.3
332.16	114193.90	830.40	428.07	113889.50	2.5
332.16	114193.90	930.05	428.07	113889.50	2.8
332.16	114193.90	996.48	428.07	113889.50	3.0
332.16	114193.90	1096.13	428.07	113889.50	3.3
332.16	114193.90	1162.56	428.07	113889.50	3.5
332.16	114193.90	1262.21	428.07	113889.50	3.8
332.16	114193.90	1328.64	428.07	113889.50	4.0
332.16	114193.90	1428.29	428.07	113889.50	4.3
332.16	114193.90	1494.72	428.07	113889.50	4.5
332.16	114193.90	1660.80	428.07	113889.50	5.0
