tcount: 	 cost:
1	2022046.4619425242
2	2022046.4619425242
3	2022046.4619425242
4	2022046.4619425242
5	2022046.4619425242
6	2022046.4619425242
7	2022046.4619425242
8	2022046.4619425242
9	2022046.4619425242
10	2022046.4619425242
11	2022046.4619425242
12	2022046.4619425242
13	2022046.4619425242
14	2022046.4619425242
15	2022046.4619425242
16	2022046.4619425242
17	2022046.4619425242
18	2022046.4619425242
19	2022046.4619425242
20	2022046.4619425242
21	2022046.4619425242
22	2022046.4619425242
23	2022046.4619425242
24	2022046.4619425242
25	2022046.4619425242
26	2022046.4619425242
27	2022046.4619425242
28	2022046.4619425242
29	2022046.4619425242
30	2022046.4619425242
31	2022046.4619425242
32	2022046.4619425242
33	2022046.4619425242
34	2022046.4619425242
35	2022046.4619425242
36	2022046.4619425242
37	2022046.4619425242
38	2022046.4619425242
39	2022046.4619425242
40	2022046.4619425242
41	2022046.4619425242
42	2022046.4619425242
43	2022046.4619425242
44	2022046.4619425242
45	2022046.4619425242
46	2022046.4619425242
47	2022046.4619425242
48	2022046.4619425242
49	2022046.4619425242
50	2022046.4619425242
51	2022046.4619425242
52	2022046.4619425242
53	2022046.4619425242
54	2022046.4619425242
55	2022046.4619425242
56	2022046.4619425242
57	2022046.4619425242
58	2022046.4619425242
59	2022046.4619425242
60	2022046.4619425242
61	2022046.4619425242
62	2022046.4619425242
63	2022046.4619425242
64	2022046.4619425242
65	2022046.4619425242
66	2022046.4619425242
67	2022046.4619425242
68	2022046.4619425242
69	2022046.4619425242
70	2022046.4619425242
71	2022046.4619425242
72	2022046.4619425242
73	2022046.4619425242
74	2022046.4619425242
75	2022046.4619425242
76	2022046.4619425242
77	2022046.4619425242
78	2022046.4619425242
79	2022046.4619425242
80	2022046.4619425242
81	2022046.4619425242
82	2022046.4619425242
83	2022046.4619425242
84	2022046.4619425242
85	2022046.4619425242
86	2022046.4619425242
87	2022046.4619425242
88	2022046.4619425242
89	2022046.4619425242
90	2022046.4619425242
91	2022046.4619425242
92	2022046.4619425242
93	2022046.4619425242
94	2022046.4619425242
95	2022046.4619425242
96	2022046.4619425242
97	2022046.4619425242
98	2022046.4619425242
99	2022046.4619425242
100	2022046.4619425242
101	2022046.4619425242
102	2022046.4619425242
103	2022046.4619425242
104	2022046.4619425242
105	2022046.4619425242
106	2022046.4619425242
107	2022046.4619425242
108	2022046.4619425242
109	2022046.4619425242
110	2022046.4619425242
111	2022046.4619425242
112	2022046.4619425242
113	2022046.4619425242
114	2022046.4619425242
115	2022046.4619425242
