tcount: 	 cost:
1.0	1949391.0006998829
2.0	1949391.0006998829
3.0	1949391.0006998829
4.0	1949391.0006998829
5.0	1949391.0006998829
6.0	1949391.0006998829
7.0	1949391.0006998829
8.0	1949391.0006998829
9.0	1949391.0006998829
10.0	1949391.0006998829
11.0	1949391.0006998829
12.0	1949391.0006998829
13.0	1949391.0006998829
14.0	1949391.0006998829
15.0	1949391.0006998829
16.0	1949391.0006998829
17.0	1949391.0006998829
18.0	1949391.0006998829
19.0	1949391.0006998829
20.0	1949391.0006998829
21.0	1949391.0006998829
22.0	1949391.0006998829
23.0	1949391.0006998829
24.0	1949391.0006998829
25.0	1949391.0006998829
26.0	1949391.0006998829
27.0	1949391.0006998829
28.0	1949391.0006998829
29.0	1949391.0006998829
30.0	1949391.0006998829
31.0	1949391.0006998829
32.0	1949391.0006998829
33.0	1949391.0006998829
34.0	1949391.0006998829
35.0	1949391.0006998829
36.0	1949391.0006998829
37.0	1949391.0006998829
38.0	1949391.0006998829
39.0	1949391.0006998829
40.0	1949391.0006998829
41.0	1949391.0006998829
42.0	1949391.0006998829
