tcount: 	 cost:
1	153264.53751539995
2	152960.68275839993
3	152779.75130399995
4	152631.94171799996
5	152448.26797079996
6	152270.17460999996
7	152123.13462239996
8	151938.17415299994
9	151759.57584299994
10	151613.18530379992
11	151281.31717139995
12	151094.67300599994
13	150949.06423979998
14	150766.17226559998
15	150583.92973979996
16	150438.45329819995
17	150250.11326219994
18	150104.90146979992
19	149801.86023659992
20	149644.03079579995
21	149498.95132799994
22	149341.78048559994
23	149196.94131779994
24	149038.12183019996
25	148893.41498699997
26	148591.66962599996
27	148432.74001379998
28	148288.1776698
29	148131.9957996
30	147987.5657802
31	147831.38391
32	147686.95389059998
33	147387.110724
34	147231.80770140002
35	147080.90214060002
36	146936.60444580004
37	146781.85097160004
38	146637.79357680006
39	146483.15022720007
40	146184.58180740004
41	146033.56612200005
42	145889.64105180008
43	145735.54725060007
44	145591.75450500008
45	145284.9952986001
46	145141.2025530001
47	144988.4270232001
48	144844.6342776001
49	144700.9738566001
50	144557.3134356001
51	144270.12491820013
52	144126.59682180014
53	143983.08090000012
54	143839.56497820013
55	143696.2893564001
56	143553.01373460013
57	143266.5948156001
58	143123.5838430001
59	142980.70519500008
60	142837.8265470001
61	142552.4662248001
62	142409.85222600013
63	142267.37055180012
64	142125.0090276001
65	141982.64750340013
66	141505.30538400012
67	141363.2085090001
68	141221.11163400012
69	141079.27940820012
70	140937.68748240013
71	140655.17742840017
72	140513.9946510002
73	140372.9441982002
74	140232.5310192002
75	139967.1185550002
76	139841.38209600022
77	139715.75576160025
78	139590.89922480023
79	139466.0426880002
80	139216.7679636002
81	139092.45990060017
82	138968.15183760016
83	138844.28319840017
84	138596.8762938002
85	138473.44815300018
86	138350.02001220017
87	138226.8099714002
88	137980.39203900017
89	137857.40332200017
90	137734.41460500017
91	137488.65742020018
92	137365.77882780015
93	137243.01036000016
94	137120.45999220017
95	136872.26994660016
96	136749.71957880017
97	136627.16921100017
98	136504.72896780018
99	136259.9586060002
100	136137.62956200016
101	136015.30051800018
102	135770.75255460013
103	135648.53363520015
104	135526.31471580014
105	135281.98700160015
106	135159.87820680012
107	135037.7694120001
108	134793.98802240015
109	134672.20745220015
110	134550.42688200015
111	134306.97586620014
112	134185.30542060014
113	134063.63497500014
114	133820.51433300014
115	133698.95401200015
116	133577.39369100015
117	133334.4932982001
118	133213.0431018001
119	133091.59290540015
120	132848.69358720013
121	132727.24446540012
122	132605.7953436001
123	132363.1152000001
124	132241.8841782001
125	132120.65315640008
126	131878.3012374001
127	131757.1803402001
128	131515.04867040008
129	131394.0378978001
130	131273.1372498001
131	131031.33595380008
132	130910.54543040009
133	130789.7549070001
134	130548.28398480012
135	130427.60358600011
136	130186.35291300013
137	130065.78263880013
138	129945.21236460013
139	129704.18086620013
140	129583.71964200013
141	129342.90731820013
142	129222.55621860013
143	129102.31524360013
144	128861.94341820014
145	128741.81256780014
146	128501.66099160013
147	128381.64026580013
148	128141.81691420011
149	128022.01428840013
150	127782.51916140012
151	127662.82666020012
152	127543.24428360013
153	127304.07953040014
154	127184.60835300013
155	126945.77612280013
156	126826.41507000013
157	126589.01123580015
158	126485.38752840014
159	126279.23523420012
160	126176.87549580012
161	125972.69749200011
162	125871.15605040011
163	125668.48231560011
164	125567.36219700011
165	125365.9402566001
166	125265.24146100009
167	125064.39751740008
168	124964.51701860008
169	124764.92486940007
170	124665.34554360008
171	124466.55951660009
172	124367.38933920009
173	124170.15627960008
174	124072.10557200007
175	123877.5206004001
176	123788.27614620009
177	123613.2576786001
178	123526.2805824001
179	123353.2870944001
180	123267.15391800011
181	123095.96505420012
182	122925.60689640012
183	122841.38191500012
184	122675.93784000013
185	122593.88363580013
186	122430.64222260013
187	122349.57516360014
188	122187.98251860014
189	122187.98251860014
190	122187.98251860014
