tcount: 	 cost:
1	148688.2524798001
2	148551.94934460009
3	148417.9620498001
4	148284.52537800008
5	148151.42015460005
6	147886.09070460006
7	147753.97767720005
8	147622.30622280005
9	147490.96514220003
10	147359.95443540005
11	147229.38530160006
12	146969.01898080006
13	146839.11166920007
14	146709.42460680008
15	146579.95779360007
16	146451.04267800009
17	146195.63841180006
18	146069.36951040005
19	145962.73072740005
20	145856.75376660007
21	145646.01229020004
22	145540.91740080007
23	145435.9326360001
24	145331.2782450001
25	145226.8451778001
26	145018.3094172001
27	144914.31684840008
28	144810.43440420006
29	144706.55303460007
30	144499.12066920006
31	144395.56967340005
32	144292.01867760005
33	144188.57780640005
34	143981.69606400005
35	143878.36531740008
36	143775.03457080008
37	143671.8139488001
38	143568.5933268001
39	143196.89716620013
40	143093.7866688001
41	142990.67617140012
42	142887.56567400013
43	142681.3468284001
44	142578.3475302001
45	142475.3482320001
46	142372.3489338001
47	142166.57058660008
48	142063.7915376001
49	141961.12261320007
50	141858.45368880007
51	141653.11584000013
52	141550.44691560013
53	141447.88811580013
54	141242.9907654001
55	141140.54209020012
56	141038.0934150001
57	140935.6447398001
58	140730.85751400012
59	140628.51896340013
60	140526.1804128001
61	140321.50438620013
62	140219.16691020015
63	140116.8294342002
64	139912.15448220016
65	139809.92713080015
66	139707.69977940017
67	139605.47242800018
68	139401.1278498002
69	139299.01062300015
70	139197.00352080018
71	138992.98931640017
72	138891.09233880017
73	138789.19536120017
74	138585.51153060017
75	138483.72467760017
76	138381.93782460017
77	138178.36411860018
78	138076.68739020015
79	137975.01066180016
80	137771.87745420015
81	137670.31085040016
82	137568.74424660017
83	137365.61318820016
84	137264.04765900015
85	137162.59225440014
86	136959.79156980012
87	136858.4462898001
88	136757.1010098001
89	136554.7408236001
90	136453.6157928001
91	136251.58598040006
92	136150.68119880007
93	136049.77641720008
94	135848.2983024001
95	135747.7249692001
96	135647.1516360001
97	135446.2252188001
98	135346.09238400008
99	135188.83423620008
100	135132.0468192001
101	135075.59729820007
102	134963.03400300007
103	134907.03035340007
104	134851.02777840008
105	134739.35837520007
106	134683.69047240008
107	134572.69363740005
108	134517.36255600004
109	134462.14374840003
110	134352.04188000006
111	134297.04869460006
112	134187.39377220004
113	134132.62298520005
114	134077.96447200005
115	133969.54563600005
116	133915.67196480004
117	133808.37156840006
118	133755.17046540006
119	133665.00497640006
120	133620.31519020005
121	133575.62540400008
122	133486.58050380007
123	133442.22538980006
124	133353.51731100006
125	133309.27554540007
126	133265.03377980005
127	133176.77372160004
128	133132.75435440004
129	133044.71776920004
130	133000.70055120008
131	132912.77623980006
132	132868.87022100008
133	132824.96527680007
134	132737.37671220006
135	132693.58296720005
136	132605.99762640003
137	132562.31508060003
138	132474.94998900004
139	132431.26851780002
140	132344.01570000002
141	132300.4443534
142	132213.3016602
143	132169.73138820002
144	132082.59084420002
145	132039.02164680004
146	131951.88325200003
147	131908.42417920002
148	131821.50603360005
149	131778.04696080007
150	131691.13096440004
151	131647.67296620004
152	131560.75804440005
153	131517.30112080005
154	131430.49739820007
155	131387.15167380005
156	131300.46022500005
157	131257.11450060003
158	131170.42412640003
159	131127.07947660005
160	131040.50030160004
161	130997.26577640005
162	130910.79672600004
163	130867.56220080005
164	130781.09315040006
165	130737.85862520007
166	130651.39172400007
167	130564.92482280008
168	130521.69137220008
169	130435.44472020007
170	130392.32139420007
171	130306.07474220007
172	130262.95249080006
173	130176.70798800007
174	130090.46348520007
175	130047.34230840007
176	129961.09995480005
177	129917.97877800005
178	129831.95667360006
179	129788.94562140005
180	129702.92459160004
181	129616.90463640001
182	129573.89573340002
183	129487.87792740001
184	129401.97024600003
185	129359.07146760004
186	129273.27391080004
187	129230.37513240005
188	129144.57972480005
189	129058.78431720004
190	129015.88768800005
191	128930.09442960005
192	128887.19780040006
193	128801.62479120005
194	128716.05178200007
195	128673.26635200006
196	128587.69549200006
197	128502.34488120006
198	128416.99641960007
199	128374.32218880006
200	128288.97372720005
201	128203.62741480004
202	128161.06438320005
203	128075.94046920005
204	127990.92882900004
205	127948.47807120005
206	127863.57870480005
207	127778.68148760006
208	127736.34300360006
209	127651.89058320007
210	127570.63620000008
211	127519.17686580008
212	127501.85241000008
213	127467.78787920008
214	127434.0520626001
215	127400.4136428001
216	127383.6005202001
217	127350.07167180009
218	127316.61587100009
219	127283.25746700009
220	127266.59043960008
221	127233.30508320009
222	127200.08059980007
223	127166.91698940007
224	127150.37170800006
225	127117.34201820007
226	127084.38537600006
227	127051.46525760007
228	127035.02954760006
229	127002.20682600008
230	126969.43280280007
231	126936.74400180006
232	126904.17694680007
233	126887.92385580007
234	126855.56376900007
235	126823.38630120008
236	126791.34275400008
237	126764.24209440008
238	126750.88655820009
239	126724.24853340008
240	126697.68355620006
241	126671.17945200007
242	126644.76057000007
243	126631.57547820006
244	126605.22964380006
245	126578.92033320008
246	126552.63537180008
247	126526.37475960008
248	126500.15067120008
249	126487.05080160008
250	126460.86323700009
251	126434.70002160007
252	126408.56115540006
253	126382.43446380006
254	126356.31994680007
255	126330.21760440007
256	126304.13961120008
257	126291.10061460009
258	126265.03479600008
259	126238.98115200008
260	126212.95185720008
261	126186.92256240008
262	126160.90544220008
263	126134.90049660008
264	126108.90772560007
265	126095.91742740008
