HEFTmakespan:	HEFTsumcost:	maxTime:	EMetricmakespan:	EMetricsumcost:	MaxTimeParameter:	
210.00	13440.79	231.00	230.00	12367.55	1.1
210.00	13440.79	273.00	271.38	8516.18	1.3
210.00	13440.79	315.00	306.45	7007.17	1.5
210.00	13440.79	336.00	330.51	6312.50	1.6
210.00	13440.79	357.00	355.34	5990.24	1.7
210.00	13440.79	378.00	363.23	6142.19	1.8
210.00	13440.79	420.00	419.99	5811.71	2.0
210.00	13440.79	483.00	474.08	4898.77	2.3
210.00	13440.79	525.00	518.93	4586.06	2.5
210.00	13440.79	1050.00	493.06	4586.06	5.0
182.00	16615.97	200.20	199.79	14922.27	1.1
182.00	16615.97	236.60	231.39	10864.14	1.3
182.00	16615.97	273.00	272.54	8988.07	1.5
182.00	16615.97	291.20	286.95	7016.20	1.6
182.00	16615.97	309.40	307.64	6607.39	1.7
182.00	16615.97	327.60	323.21	6604.23	1.8
182.00	16615.97	364.00	358.05	5589.81	2.0
182.00	16615.97	418.60	416.76	5286.63	2.3
182.00	16615.97	455.00	440.41	5149.39	2.5
182.00	16615.97	910.00	472.13	4586.06	5.0
185.00	16950.20	203.50	201.84	15471.42	1.1
185.00	16950.20	240.50	239.98	14199.24	1.3
185.00	16950.20	277.50	276.59	8627.69	1.5
185.00	16950.20	296.00	295.93	8158.86	1.6
185.00	16950.20	314.50	314.29	6711.30	1.7
185.00	16950.20	333.00	330.42	6709.68	1.8
185.00	16950.20	370.00	364.97	6005.96	2.0
185.00	16950.20	425.50	425.10	5135.38	2.3
185.00	16950.20	462.50	457.03	4647.29	2.5
185.00	16950.20	925.00	439.51	4347.08	5.0
