HEFTmakespan:	HEFTsumcost:	maxTime:	EMetricmakespan:	EMetricsumcost:	MaxTimeParameter:	
210.00	9243.72	231.00	223.43	8878.94	1.1
210.00	9243.72	273.00	272.45	6060.92	1.3
210.00	9243.72	315.00	304.79	5034.89	1.5
210.00	9243.72	336.00	333.87	5406.83	1.6
210.00	9243.72	357.00	354.27	4857.96	1.7
210.00	9243.72	378.00	369.87	4834.95	1.8
210.00	9243.72	420.00	419.81	4838.96	2.0
210.00	9243.72	483.00	482.83	4607.45	2.3
210.00	9243.72	525.00	502.92	4586.06	2.5
210.00	9243.72	1050.00	491.83	4586.06	5.0
182.00	10540.18	200.20	198.78	9650.19	1.1
182.00	10540.18	236.60	236.39	6725.64	1.3
182.00	10540.18	273.00	268.98	5572.76	1.5
182.00	10540.18	291.20	280.24	5329.18	1.6
182.00	10540.18	309.40	299.48	5068.88	1.7
182.00	10540.18	327.60	319.09	4929.25	1.8
182.00	10540.18	364.00	362.61	4824.65	2.0
182.00	10540.18	418.60	401.26	4683.52	2.3
182.00	10540.18	455.00	450.43	4638.38	2.5
182.00	10540.18	910.00	478.28	4586.06	5.0
185.00	10207.13	203.50	201.80	9284.46	1.1
185.00	10207.13	240.50	239.04	8294.80	1.3
185.00	10207.13	277.50	268.00	7964.21	1.5
185.00	10207.13	296.00	286.00	7899.14	1.6
185.00	10207.13	314.50	292.00	7899.14	1.7
185.00	10207.13	333.00	326.00	4078.17	1.8
185.00	10207.13	370.00	362.00	3749.59	2.0
185.00	10207.13	425.50	414.00	3529.68	2.3
185.00	10207.13	462.50	414.00	3529.68	2.5
185.00	10207.13	925.00	414.00	3529.68	5.0
