HEFTmakespan:	HEFTsumcost:	maxTime:	NEWtestmakespan:	newtestsumcost:	MaxTimeParameter:	
210.00	9243.72	231.00	227.54	8788.88	1.1
210.00	9243.72	273.00	271.35	7225.11	1.3
210.00	9243.72	315.00	312.81	5982.48	1.5
210.00	9243.72	336.00	336.00	5766.01	1.6
210.00	9243.72	357.00	356.04	5448.26	1.7
210.00	9243.72	378.00	377.87	5688.58	1.8
210.00	9243.72	420.00	411.01	5228.78	2.0
210.00	9243.72	483.00	473.82	5077.70	2.3
210.00	9243.72	525.00	511.75	4677.45	2.5
210.00	9243.72	1050.00	583.77	4586.06	5.0
182.00	10540.18	200.20	199.26	9990.43	1.1
182.00	10540.18	236.60	236.26	7529.03	1.3
182.00	10540.18	273.00	263.86	6747.12	1.5
182.00	10540.18	291.20	281.92	6453.93	1.6
182.00	10540.18	309.40	302.46	6057.03	1.7
182.00	10540.18	327.60	318.54	5406.03	1.8
182.00	10540.18	364.00	355.65	5193.48	2.0
182.00	10540.18	418.60	411.69	4891.79	2.3
182.00	10540.18	455.00	451.99	4784.69	2.5
182.00	10540.18	910.00	571.45	4586.06	5.0
185.00	10207.13	203.50	196.14	9473.79	1.1
185.00	10207.13	240.50	229.00	8313.31	1.3
185.00	10207.13	277.50	268.00	7964.21	1.5
185.00	10207.13	296.00	286.00	7899.14	1.6
185.00	10207.13	314.50	292.00	7899.14	1.7
185.00	10207.13	333.00	333.00	4468.38	1.8
185.00	10207.13	370.00	356.00	3817.68	2.0
185.00	10207.13	425.50	414.00	3529.68	2.3
185.00	10207.13	462.50	414.00	3529.68	2.5
185.00	10207.13	925.00	406.00	3529.68	5.0
