HEFTmakespan:	HEFTsumcost:	maxTime:	NEWtestmakespan:	newtestsumcost:	MaxTimeParameter:	
210.00	9243.72	231.00	227.54	8788.88	1.1
210.00	9243.72	273.00	271.76	7199.54	1.3
210.00	9243.72	315.00	312.87	5928.07	1.5
210.00	9243.72	336.00	333.37	6137.03	1.6
210.00	9243.72	357.00	355.35	5501.62	1.7
210.00	9243.72	378.00	376.06	5376.80	1.8
210.00	9243.72	420.00	407.65	4919.23	2.0
210.00	9243.72	483.00	474.05	4787.62	2.3
210.00	9243.72	525.00	511.75	4677.45	2.5
210.00	9243.72	1050.00	594.85	4586.06	5.0
182.00	10540.18	200.20	199.26	9990.43	1.1
182.00	10540.18	236.60	236.26	7529.03	1.3
182.00	10540.18	273.00	271.86	6676.05	1.5
182.00	10540.18	291.20	290.50	6485.92	1.6
182.00	10540.18	309.40	308.19	6013.39	1.7
182.00	10540.18	327.60	326.80	5434.08	1.8
182.00	10540.18	364.00	362.81	5091.27	2.0
182.00	10540.18	418.60	409.95	4887.31	2.3
182.00	10540.18	455.00	449.02	4819.56	2.5
182.00	10540.18	910.00	570.22	4586.06	5.0
185.00	10207.13	203.50	196.14	9473.79	1.1
185.00	10207.13	240.50	229.00	8313.31	1.3
185.00	10207.13	277.50	268.00	7964.21	1.5
185.00	10207.13	296.00	286.00	7899.14	1.6
185.00	10207.13	314.50	292.00	7899.14	1.7
185.00	10207.13	333.00	331.64	4111.58	1.8
185.00	10207.13	370.00	362.00	3749.59	2.0
185.00	10207.13	425.50	414.00	3529.68	2.3
185.00	10207.13	462.50	414.00	3529.68	2.5
185.00	10207.13	925.00	414.00	3529.68	5.0
