HEFTmakespan:	HEFTsumcost:	maxTime:	Othermakespan:	Othersumcost:	MaxTimeParameter:	
210.00	13440.79	231.00	210.00	13440.79	1.1
210.00	13440.79	273.00	210.00	13440.79	1.3
210.00	13440.79	315.00	291.00	12863.03	1.5
210.00	13440.79	336.00	291.00	12863.03	1.6
210.00	13440.79	357.00	291.00	12863.03	1.7
210.00	13440.79	378.00	291.00	12863.03	1.8
210.00	13440.79	420.00	291.00	12764.53	2.0
210.00	13440.79	483.00	291.00	12764.53	2.3
210.00	13440.79	525.00	291.00	12764.53	2.5
210.00	13440.79	1050.00	291.00	12764.53	5.0
182.00	16615.97	200.20	182.00	16615.97	1.1
182.00	16615.97	236.60	223.10	15573.70	1.3
182.00	16615.97	273.00	223.10	15573.70	1.5
182.00	16615.97	291.20	223.10	15573.70	1.6
182.00	16615.97	309.40	223.10	15573.70	1.7
182.00	16615.97	327.60	223.10	15573.70	1.8
182.00	16615.97	364.00	223.10	15573.70	2.0
182.00	16615.97	418.60	223.10	15573.70	2.3
182.00	16615.97	455.00	223.10	15573.70	2.5
182.00	16615.97	910.00	224.62	15461.13	5.0
185.00	16950.20	203.50	185.00	16950.20	1.1
185.00	16950.20	240.50	185.00	16950.20	1.3
185.00	16950.20	277.50	266.00	15279.72	1.5
185.00	16950.20	296.00	266.00	15279.72	1.6
185.00	16950.20	314.50	266.00	15279.72	1.7
185.00	16950.20	333.00	266.00	15279.72	1.8
185.00	16950.20	370.00	266.00	15279.72	2.0
185.00	16950.20	425.50	266.00	15279.72	2.3
185.00	16950.20	462.50	266.00	15279.72	2.5
185.00	16950.20	925.00	266.00	15188.25	5.0
