HEFTmakespan:	HEFTsumcost:	maxTime:	Othermakespan:	Othersumcost:	MaxTimeParameter:
210	9243.72	231	230	8893.29	1.1
210	9243.72	273	271.77	8478.83	1.3
210	9243.72	315	305.87	5507.19	1.5
210	9243.72	336	329.59	5176.37	1.6
210	9243.72	357	355.95	4957.24	1.7
210	9243.72	378	362.39	5028.9	1.8
210	9243.72	420	414.28	4692.76	2
210	9243.72	483	404.56	4634.42	2.3
210	9243.72	525	404.56	4634.42	2.5
210	9243.72	1050	428.59	4698.61	5
182	10540.18	200.2	193.49	9543.42	1.1
182	10540.18	236.6	228.87	7693.95	1.3
182	10540.18	273	269.75	7347.85	1.5
182	10540.18	291.2	278.87	6378.58	1.6
182	10540.18	309.4	306.09	6192.06	1.7
182	10540.18	327.6	326.86	5216.22	1.8
182	10540.18	364	363.92	5386.69	2
182	10540.18	418.6	393.87	4799.68	2.3
182	10540.18	455	411.95	4659.88	2.5
182	10540.18	910	425.65	4627.51	5
185	10207.13	203.5	201	9212.02	1.1
185	10207.13	240.5	230	8452.38	1.3
185	10207.13	277.5	265	5194.09	1.5
185	10207.13	296	288	5089.84	1.6
185	10207.13	314.5	313	4680.91	1.7
185	10207.13	333	329	4460.12	1.8
185	10207.13	370	357	4174.29	2
185	10207.13	425.5	382	3690.31	2.3
185	10207.13	462.5	383	3690.59	2.5
185	10207.13	925	410	3529.68	5
