HEFTmakespan:	HEFTsumcost:	maxTime:	makespan:	sumcost:	MaxTimeParameter:	
210.00	9221.00	231.00	230.85	8960.63	1.1
210.00	9221.00	273.00	266.73	7919.85	1.3
210.00	9221.00	315.00	309.72	5925.31	1.5
210.00	9221.00	336.00	335.42	5104.73	1.6
210.00	9221.00	357.00	355.51	4970.87	1.7
210.00	9221.00	378.00	370.88	4840.92	1.8
210.00	9221.00	420.00	412.49	4563.34	2.0
210.00	9221.00	483.00	412.49	4563.34	2.3
210.00	9221.00	525.00	412.49	4563.34	2.5
210.00	9221.00	1050.00	412.49	4563.34	5.0
182.00	10513.00	200.20	182.00	10513.00	1.1
182.00	10513.00	236.60	233.02	8747.64	1.3
182.00	10513.00	273.00	270.11	7714.10	1.5
182.00	10513.00	291.20	290.73	6991.02	1.6
182.00	10513.00	309.40	305.52	6693.40	1.7
182.00	10513.00	327.60	325.79	6314.19	1.8
182.00	10513.00	364.00	362.87	5623.57	2.0
182.00	10513.00	418.60	414.58	4558.87	2.3
182.00	10513.00	455.00	414.58	4558.87	2.5
182.00	10513.00	910.00	414.58	4558.87	5.0
185.00	10181.00	203.50	185.00	10181.00	1.1
185.00	10181.00	240.50	233.00	8193.99	1.3
185.00	10181.00	277.50	276.00	6085.83	1.5
185.00	10181.00	296.00	296.00	5422.57	1.6
185.00	10181.00	314.50	312.00	5014.77	1.7
185.00	10181.00	333.00	327.00	4630.83	1.8
185.00	10181.00	370.00	368.00	3780.75	2.0
185.00	10181.00	425.50	382.00	3503.55	2.3
185.00	10181.00	462.50	382.00	3503.55	2.5
185.00	10181.00	925.00	382.00	3503.55	5.0
