HEFTmakespan:	HEFTsumcost:	maxTime:	NEWTESTmakespan:	NEWTESTsumcost:	MaxTimeParameter:	
210.00	9243.72	231.00	223.43	8878.94	1.1
210.00	9243.72	273.00	270.89	6321.92	1.3
210.00	9243.72	315.00	313.79	5485.50	1.5
210.00	9243.72	336.00	331.22	5004.52	1.6
210.00	9243.72	357.00	352.22	4883.51	1.7
210.00	9243.72	378.00	372.30	4868.17	1.8
210.00	9243.72	420.00	409.96	4774.38	2.0
210.00	9243.72	483.00	472.98	4607.45	2.3
210.00	9243.72	525.00	493.06	4586.06	2.5
210.00	9243.72	1050.00	493.06	4586.06	5.0
182.00	10540.18	200.20	198.78	9650.19	1.1
182.00	10540.18	236.60	233.79	6702.07	1.3
182.00	10540.18	273.00	264.24	5711.33	1.5
182.00	10540.18	291.20	283.09	5745.94	1.6
182.00	10540.18	309.40	298.09	5444.12	1.7
182.00	10540.18	327.60	327.18	5691.33	1.8
182.00	10540.18	364.00	354.26	5354.82	2.0
182.00	10540.18	418.60	414.35	4809.99	2.3
182.00	10540.18	455.00	440.20	4650.25	2.5
182.00	10540.18	910.00	489.37	4586.06	5.0
185.00	10207.13	203.50	201.80	9284.46	1.1
185.00	10207.13	240.50	239.04	8294.80	1.3
185.00	10207.13	277.50	268.00	7964.21	1.5
185.00	10207.13	296.00	286.00	7899.14	1.6
185.00	10207.13	314.50	286.00	7899.14	1.7
185.00	10207.13	333.00	329.88	4375.33	1.8
185.00	10207.13	370.00	362.00	3749.59	2.0
185.00	10207.13	425.50	416.00	3529.68	2.3
185.00	10207.13	462.50	416.00	3529.68	2.5
185.00	10207.13	925.00	416.00	3529.68	5.0
