HEFTmakespan:	HEFTsumcost:	maxTime:	NEWTESTmakespan:	NEWTESTsumcost:	MaxTimeParameter:	
210.00	9243.72	231.00	230.00	8668.40	1.1
210.00	9243.72	273.00	272.91	5887.83	1.3
210.00	9243.72	315.00	303.79	5079.34	1.5
210.00	9243.72	336.00	327.87	5043.09	1.6
210.00	9243.72	357.00	348.87	4958.00	1.7
210.00	9243.72	378.00	366.87	4910.47	1.8
210.00	9243.72	420.00	417.81	4750.64	2.0
210.00	9243.72	483.00	481.98	4586.06	2.3
210.00	9243.72	525.00	481.98	4586.06	2.5
210.00	9243.72	1050.00	470.89	4586.06	5.0
182.00	10540.18	200.20	200.01	9688.68	1.1
182.00	10540.18	236.60	234.65	7573.18	1.3
182.00	10540.18	273.00	266.64	5831.28	1.5
182.00	10540.18	291.20	285.23	5295.89	1.6
182.00	10540.18	309.40	308.57	5349.64	1.7
182.00	10540.18	327.60	326.43	5278.70	1.8
182.00	10540.18	364.00	362.63	4979.99	2.0
182.00	10540.18	418.60	402.88	4727.68	2.3
182.00	10540.18	455.00	447.97	4638.38	2.5
182.00	10540.18	910.00	467.20	4586.06	5.0
185.00	10207.13	203.50	201.80	9284.46	1.1
185.00	10207.13	240.50	230.03	8389.96	1.3
185.00	10207.13	277.50	276.11	7983.68	1.5
185.00	10207.13	296.00	287.46	4473.32	1.6
185.00	10207.13	314.50	304.00	4306.12	1.7
185.00	10207.13	333.00	326.00	4089.42	1.8
185.00	10207.13	370.00	364.00	3764.43	2.0
185.00	10207.13	425.50	411.00	3529.68	2.3
185.00	10207.13	462.50	411.00	3529.68	2.5
185.00	10207.13	925.00	405.00	3529.68	5.0
