HEFTmakespan:	HEFTsumcost:	maxTime:	NEWTESTmakespan:	NEWTESTsumcost:	MaxTimeParameter:	
210.00	9243.72	231.00	230.00	8709.85	1.1
210.00	9243.72	273.00	272.35	5972.05	1.3
210.00	9243.72	315.00	313.93	5058.11	1.5
210.00	9243.72	336.00	335.43	5253.80	1.6
210.00	9243.72	357.00	352.01	4869.89	1.7
210.00	9243.72	378.00	374.39	4878.84	1.8
210.00	9243.72	420.00	412.27	4654.45	2.0
210.00	9243.72	483.00	469.66	4586.06	2.3
210.00	9243.72	525.00	480.75	4586.06	2.5
210.00	9243.72	1050.00	436.41	4586.06	5.0
182.00	10540.18	200.20	200.01	9563.74	1.1
182.00	10540.18	236.60	236.50	7699.95	1.3
182.00	10540.18	273.00	272.72	6441.85	1.5
182.00	10540.18	291.20	290.88	5573.16	1.6
182.00	10540.18	309.40	308.09	6127.80	1.7
182.00	10540.18	327.60	318.09	5349.99	1.8
182.00	10540.18	364.00	360.32	4865.42	2.0
182.00	10540.18	418.60	402.77	4739.54	2.3
182.00	10540.18	455.00	439.92	4628.85	2.5
182.00	10540.18	910.00	453.65	4586.06	5.0
185.00	10207.13	203.50	196.00	9473.79	1.1
185.00	10207.13	240.50	237.03	8257.06	1.3
185.00	10207.13	277.50	272.51	4948.05	1.5
185.00	10207.13	296.00	288.46	4454.74	1.6
185.00	10207.13	314.50	312.00	4354.95	1.7
185.00	10207.13	333.00	326.00	4089.42	1.8
185.00	10207.13	370.00	364.00	3764.43	2.0
185.00	10207.13	425.50	411.00	3529.68	2.3
185.00	10207.13	462.50	411.00	3529.68	2.5
185.00	10207.13	925.00	411.00	3529.68	5.0
