HEFTmakespan:	HEFTsumcost:	maxTime:	Othermakespan:	Othersumcost:	MaxTimeParameter:	
2681.99	110454.58	3486.59	3480.29	109441.82	1.3
2681.99	110454.58	4022.99	4021.42	110095.60	1.5
2681.99	110454.58	6704.98	6695.29	91152.37	2.5
2681.99	110454.58	13409.95	13407.94	73006.18	5.0
1369.61	116313.69	1780.49	1778.89	114216.49	1.3
1369.61	116313.69	2054.42	2053.06	113811.08	1.5
1369.61	116313.69	3424.03	3419.29	102624.54	2.5
1369.61	116313.69	6848.05	6840.21	64337.96	5.0
817.72	104915.13	1063.04	1061.62	103871.31	1.3
817.72	104915.13	1226.58	1226.06	102092.44	1.5
817.72	104915.13	2044.30	2043.94	94279.89	2.5
817.72	104915.13	4088.60	4080.96	78184.86	5.0
641.17	111357.18	833.52	824.15	110061.43	1.3
641.17	111357.18	961.75	958.19	109539.07	1.5
641.17	111357.18	1602.92	1597.87	101086.78	2.5
641.17	111357.18	3205.85	3198.51	85519.05	5.0
548.31	113584.70	712.80	711.13	113277.41	1.3
548.31	113584.70	822.46	815.54	112325.11	1.5
548.31	113584.70	1370.77	1361.78	107225.33	2.5
548.31	113584.70	2741.55	2741.51	92957.24	5.0
380.60	97138.62	494.78	491.22	96927.09	1.3
