HEFTmakespan:	HEFTsumcost:	maxTime:	DMtestmakespan:	DMsumcost:	MaxTimeParameter:	
270.59	10482.36	351.77	345.74	9921.42	1.3
270.59	10482.36	405.89	398.08	9530.04	1.5
270.59	10482.36	432.94	423.38	9335.26	1.6
270.59	10482.36	460.00	448.67	9199.59	1.7
270.59	10482.36	487.06	486.24	9006.90	1.8
270.59	10482.36	541.18	540.05	8461.58	2.0
270.59	10482.36	622.36	618.06	7966.39	2.3
270.59	10482.36	676.48	668.14	7665.26	2.5
270.59	10482.36	757.65	755.78	7158.95	2.8
270.59	10482.36	811.77	805.86	6860.02	3.0
270.59	10482.36	892.95	884.32	6480.97	3.3
270.59	10482.36	947.07	946.92	6120.91	3.5
270.59	10482.36	1352.95	1348.29	4250.56	5.0
149.10	10928.84	193.83	191.49	10610.80	1.3
149.10	10928.84	223.65	223.33	10214.97	1.5
149.10	10928.84	238.56	234.18	10095.76	1.6
149.10	10928.84	253.47	244.49	10041.34	1.7
149.10	10928.84	268.38	265.99	9735.12	1.8
149.10	10928.84	298.20	288.67	9514.24	2.0
149.10	10928.84	342.93	340.46	9023.00	2.3
149.10	10928.84	372.75	371.54	8612.36	2.5
149.10	10928.84	417.48	415.52	8071.45	2.8
149.10	10928.84	447.30	446.46	7710.89	3.0
149.10	10928.84	492.03	485.88	7375.40	3.3
149.10	10928.84	521.85	520.58	6982.12	3.5
149.10	10928.84	745.50	745.06	5245.05	5.0
95.24	9741.36	123.81	122.56	9471.43	1.3
95.24	9741.36	142.86	140.78	9095.22	1.5
95.24	9741.36	152.38	149.89	8900.11	1.6
95.24	9741.36	161.91	158.99	8723.12	1.7
95.24	9741.36	171.43	168.10	8582.55	1.8
95.24	9741.36	190.48	186.32	8307.10	2.0
95.24	9741.36	219.05	213.64	7861.75	2.3
95.24	9741.36	238.10	234.62	7602.98	2.5
95.24	9741.36	266.67	262.38	7276.33	2.8
95.24	9741.36	285.72	281.53	7093.97	3.0
95.24	9741.36	314.29	309.29	6925.33	3.3
95.24	9741.36	333.34	327.80	6649.78	3.5
95.24	9741.36	476.20	471.19	5555.53	5.0
81.45	10331.58	105.89	99.13	10082.50	1.3
81.45	10331.58	122.18	116.80	9798.31	1.5
81.45	10331.58	130.32	125.64	9622.13	1.6
81.45	10331.58	138.47	134.48	9447.47	1.7
81.45	10331.58	146.61	145.21	9288.20	1.8
81.45	10331.58	162.90	162.88	9113.65	2.0
81.45	10331.58	187.33	180.56	8948.18	2.3
81.45	10331.58	203.62	198.24	8600.38	2.5
81.45	10331.58	228.06	226.24	8227.82	2.8
81.45	10331.58	244.35	243.93	8090.50	3.0
81.45	10331.58	268.78	261.60	7981.33	3.3
81.45	10331.58	285.07	279.28	7703.70	3.5
81.45	10331.58	407.25	398.44	6291.51	5.0
74.06	10332.93	96.28	94.23	10060.56	1.3
74.06	10332.93	111.09	103.06	9931.74	1.5
74.06	10332.93	118.50	111.90	9856.76	1.6
74.06	10332.93	125.90	120.74	9791.62	1.7
74.06	10332.93	133.31	129.58	9735.81	1.8
74.06	10332.93	148.12	147.26	9528.16	2.0
74.06	10332.93	170.34	164.93	9256.68	2.3
74.06	10332.93	185.15	183.21	9072.69	2.5
