HEFTmakespan:	HEFTsumcost:	maxTime:	Othermakespan:	Othersumcost:	MaxTimeParameter:	
270.59	10482.36	351.77	349.99	10322.45	1.3
270.59	10482.36	405.89	404.47	9996.31	1.5
270.59	10482.36	432.94	430.36	9669.36	1.6
270.59	10482.36	460.00	457.46	9256.92	1.7
270.59	10482.36	487.06	482.10	9025.09	1.8
270.59	10482.36	541.18	540.14	8698.94	2.0
270.59	10482.36	622.36	621.62	8088.56	2.3
270.59	10482.36	676.48	671.42	7937.81	2.5
270.59	10482.36	757.65	757.62	7574.17	2.8
270.59	10482.36	811.77	806.72	7490.07	3.0
270.59	10482.36	892.95	886.91	7220.25	3.3
270.59	10482.36	947.07	940.03	7110.40	3.5
270.59	10482.36	1352.95	1349.71	6598.04	5.0
149.10	10928.84	193.83	189.56	10711.98	1.3
149.10	10928.84	223.65	223.40	10374.12	1.5
149.10	10928.84	238.56	233.20	10230.20	1.6
149.10	10928.84	253.47	253.44	9984.82	1.7
149.10	10928.84	268.38	263.96	9835.81	1.8
149.10	10928.84	298.20	296.37	9604.53	2.0
149.10	10928.84	342.93	340.91	9253.92	2.3
149.10	10928.84	372.75	372.57	8989.10	2.5
149.10	10928.84	417.48	413.13	8610.78	2.8
149.10	10928.84	447.30	444.42	8153.00	3.0
149.10	10928.84	492.03	487.64	7330.59	3.3
149.10	10928.84	521.85	521.68	7063.51	3.5
149.10	10928.84	745.50	745.21	5293.81	5.0
95.24	9741.36	123.81	123.65	9437.18	1.3
95.24	9741.36	142.86	141.69	9130.70	1.5
95.24	9741.36	152.38	151.01	8947.54	1.6
95.24	9741.36	161.91	161.43	8737.13	1.7
95.24	9741.36	171.43	169.09	8634.40	1.8
95.24	9741.36	190.48	183.84	8625.30	2.0
95.24	9741.36	219.05	214.48	8293.21	2.3
95.24	9741.36	238.10	237.46	8001.41	2.5
95.24	9741.36	266.67	260.44	7789.27	2.8
95.24	9741.36	285.72	284.24	7627.25	3.0
95.24	9741.36	314.29	306.86	7534.45	3.3
95.24	9741.36	333.34	329.84	7373.72	3.5
95.24	9741.36	476.20	469.34	5717.62	5.0
81.45	10331.58	105.89	105.12	9955.56	1.3
81.45	10331.58	122.18	120.71	9655.28	1.5
81.45	10331.58	130.32	127.10	9650.23	1.6
81.45	10331.58	138.47	135.69	9507.82	1.7
81.45	10331.58	146.61	142.50	9397.36	1.8
81.45	10331.58	162.90	157.78	9287.04	2.0
81.45	10331.58	187.33	187.23	8900.78	2.3
81.45	10331.58	203.62	201.03	8682.37	2.5
81.45	10331.58	228.06	226.57	8489.66	2.8
81.45	10331.58	244.35	239.77	8294.75	3.0
81.45	10331.58	268.78	268.52	8047.57	3.3
81.45	10331.58	285.07	284.72	7960.73	3.5
81.45	10331.58	407.25	399.84	7068.79	5.0
74.06	10332.93	96.28	94.54	10095.14	1.3
74.06	10332.93	111.09	108.65	9973.56	1.5
74.06	10332.93	118.50	116.07	9927.69	1.6
74.06	10332.93	125.90	123.77	9817.46	1.7
74.06	10332.93	133.31	131.43	9722.12	1.8
74.06	10332.93	148.12	146.67	9611.89	2.0
74.06	10332.93	170.34	169.45	9487.13	2.3
