HEFTmakespan:	HEFTsumcost:	maxTime:	DMtestmakespan:	DMsumcost:	MaxTimeParameter:	
53384.21	2209992.31	69399.47	69087.21	2055791.80	1.3
53384.21	2209992.31	80076.32	80031.40	1974385.19	1.5
53384.21	2209992.31	85414.74	85097.43	1939230.74	1.6
53384.21	2209992.31	90753.16	90572.66	1905999.83	1.7
53384.21	2209992.31	96091.58	96030.59	1851568.26	1.8
53384.21	2209992.31	106768.42	106573.87	1783839.91	2.0
53384.21	2209992.31	122783.68	122585.17	1671001.28	2.3
53384.21	2209992.31	133460.53	133326.60	1607350.51	2.5
53384.21	2209992.31	149475.79	149349.41	1506219.21	2.8
53384.21	2209992.31	160152.63	159612.85	1432919.11	3.0
53384.21	2209992.31	176167.89	176118.01	1352426.04	3.3
53384.21	2209992.31	186844.74	186829.95	1292240.92	3.5
