HEFTmakespan:	HEFTsumcost:	maxTime:	EMetricmakespan:	EMetricsumcost:	MaxTimeParameter:	
53384.21	2209992.31	69399.47	69384.29	2054525.18	1.3
53384.21	2209992.31	80076.32	79978.55	1979833.47	1.5
53384.21	2209992.31	85414.74	84913.55	1937607.69	1.6
53384.21	2209992.31	90753.16	90504.04	1900586.87	1.7
53384.21	2209992.31	96091.58	95866.14	1853928.75	1.8
53384.21	2209992.31	106768.42	106687.18	1784805.14	2.0
53384.21	2209992.31	122783.68	122761.69	1677014.23	2.3
53384.21	2209992.31	133460.53	133239.65	1605429.89	2.5
53384.21	2209992.31	149475.79	149379.54	1494309.22	2.8
53384.21	2209992.31	160152.63	159671.80	1422230.03	3.0
53384.21	2209992.31	176167.89	176098.33	1321146.39	3.3
53384.21	2209992.31	186844.74	186403.90	1256672.27	3.5
