HEFTmakespan:	HEFTsumcost:	maxTime:	Othermakespan:	Othersumcost:	MaxTimeParameter:	
53384.21	2209992.31	69399.47	69392.03	2175202.01	1.3
53384.21	2209992.31	80076.32	80062.05	2140056.04	1.5
53384.21	2209992.31	85414.74	85399.30	2125304.86	1.6
53384.21	2209992.31	90753.16	90751.69	2154145.28	1.7
53384.21	2209992.31	96091.58	96080.78	2150911.04	1.8
53384.21	2209992.31	106768.42	106751.23	2116615.58	2.0
53384.21	2209992.31	122783.68	122775.57	2040124.73	2.3
53384.21	2209992.31	133460.53	133451.67	1979299.41	2.5
53384.21	2209992.31	149475.79	149458.13	1816839.20	2.8
53384.21	2209992.31	160152.63	160144.43	1744772.51	3.0
53384.21	2209992.31	176167.89	176150.45	1659373.09	3.3
53384.21	2209992.31	186844.74	186835.51	1380030.10	3.5
