HEFTmakespan:	HEFTsumcost:	maxTime:	MaxTimeParameter:	CFMAXtestmakespan:	CFMAXsumcost:	DMtestmakespan:	DMsumcost:	EMetricmakespan:	EMetricsumcost:	Othermakespan:	Othersumcost:
93.15	2888.68	102.47	1.1	93.15	2888.68	93.15	2888.68	93.15	2888.68	93.15	2888.68
93.15	2888.68	121.09	1.3	120.83	2673	118.09	2672.91	118.09	2672.91	118.77	2675.16
93.15	2888.68	139.72	1.5	138.73	2621.67	129.82	2659.81	129.82	2659.81	133.5	2625.36
93.15	2888.68	149.04	1.6	138.82	2602.79	141.73	2605.37	141.73	2605.37	148.87	2594.91
93.15	2888.68	158.35	1.7	157.64	2615.59	153.65	2589.69	153.65	2589.69	149.7	2593.37
93.15	2888.68	167.67	1.8	167.47	2605.29	165.56	2572.92	165.56	2572.92	160.58	2589.12
93.15	2888.68	186.3	2	180.36	2585.39	177.47	2556.61	180.97	2556.61	180.42	2562.92
93.15	2888.68	214.24	2.3	209.55	2556.04	213.22	2516.76	204.8	2529.69	212.99	2524.12
93.15	2888.68	232.87	2.5	232.82	2529.78	225.13	2511.99	228.63	2503.87	224.9	2511.15
93.15	2888.68	465.75	5	423.44	2459.14	415.33	2459.14	430.23	2459.14	464.38	2479.53
77.7	2463.7	85.47	1.1	77.7	2463.7	77.7	2463.7	77.7	2463.7	77.7	2463.7
77.7	2463.7	101.01	1.3	98.77	2310.35	97.34	2386.13	97.34	2386.13	97.21	2312.21
77.7	2463.7	116.55	1.5	112.36	2243.89	109.89	2275.73	109.89	2275.73	114.87	2246.22
77.7	2463.7	124.32	1.6	118.02	2243.41	121.05	2209.27	121.05	2209.27	123.98	2180.71
77.7	2463.7	132.09	1.7	127.13	2176.96	130.16	2208.07	130.16	2208.07	123.98	2180.71
77.7	2463.7	139.86	1.8	136.24	2142.34	139.27	2187.47	139.27	2187.47	133.09	2146.36
77.7	2463.7	155.4	2	154.46	2099.47	148.38	2186.52	148.38	2186.52	151.48	2122.04
77.7	2463.7	178.71	2.3	175.63	2088.9	176.77	2107.21	176.77	2107.21	169.7	2095.43
77.7	2463.7	194.25	2.5	192.74	2083.82	186.39	2103.3	194.23	2102.31	187.92	2087.8
77.7	2463.7	388.5	5	352.27	2049.7	323.27	2049.7	319.98	2049.7	385.24	2067.07
66.59	2021.88	73.25	1.1	66.59	2021.88	66.59	2021.88	66.59	2021.88	66.59	2021.88
66.59	2021.88	86.57	1.3	85.35	1969.97	86.52	2015.08	86.52	2015.08	85.87	1956.18
66.59	2021.88	99.89	1.5	93.37	1948.13	95.34	1942.47	95.34	1942.47	99.32	1943.46
66.59	2021.88	106.54	1.6	102.93	1921.74	103.67	1941.33	103.67	1941.33	106.53	1920.13
66.59	2021.88	113.2	1.7	109.64	1916.8	112.13	1910	110.23	1933.72	106.53	1920.13
66.59	2021.88	119.86	1.8	117.45	1907.32	112.13	1910	119.38	1913.4	114.34	1913.24
66.59	2021.88	133.18	2	130.67	1900.93	129.41	1890.43	127.74	1900.76	125.95	1905.7
66.59	2021.88	153.16	2.3	148.63	1872.71	152.96	1886.9	152.63	1862.1	150.94	1869
66.59	2021.88	166.48	2.5	163.63	1860.26	160.67	1849.95	162.81	1869.86	164.19	1857.66
66.59	2021.88	332.95	5	324.43	1803.84	286.34	1803.84	296.73	1803.84	327.47	1825.48
66.59	1975.27	73.25	1.1	66.59	1975.27	66.59	1975.27	66.59	1975.27	66.59	1975.27
66.59	1975.27	86.57	1.3	85.17	1918.81	85.78	1918.81	85.78	1918.81	85.17	1920.63
66.59	1975.27	99.89	1.5	99.59	1884.69	94.15	1901.21	94.15	1901.21	99.59	1888.13
66.59	1975.27	106.54	1.6	105.64	1876.16	102.52	1883.85	102.52	1883.85	105.64	1880.39
66.59	1975.27	113.2	1.7	108.48	1866.65	110.89	1866.65	110.89	1866.65	108.48	1870.88
66.59	1975.27	119.86	1.8	117.58	1851.76	119.27	1851.76	119.27	1851.76	116.25	1856.82
66.59	1975.27	133.18	2	130.39	1842.06	127.51	1842.39	127.51	1842.39	131.79	1847.77
66.59	1975.27	153.16	2.3	148.63	1828.14	152.63	1809.54	152.63	1809.54	152.5	1853.39
66.59	1975.27	166.48	2.5	165.24	1809.32	161	1804.23	161	1804.23	163.05	1835.24
66.59	1975.27	332.95	5	290.55	1756.36	307.9	1756.36	307.9	1756.36	332.47	1769.53
66.59	2034.04	73.25	1.1	66.59	2034.04	66.59	2034.04	66.59	2034.04	66.59	2034.04
66.59	2034.04	86.57	1.3	82.21	1966.68	85.77	1965.84	85.77	1965.84	86.34	1967.14
66.59	2034.04	99.89	1.5	97.09	1935.4	94.14	1948.49	94.14	1948.49	97.25	1944.36
66.59	2034.04	106.54	1.6	106.08	1910.89	102.51	1935.22	102.51	1935.22	103.5	1913.77
66.59	2034.04	113.2	1.7	106.08	1910.89	110.88	1926.33	110.88	1926.33	106.81	1916.42
66.59	2034.04	119.86	1.8	115.64	1893.53	119.26	1901.82	119.26	1901.82	114.62	1892.73
66.59	2034.04	133.18	2	126.54	1888.82	127.74	1884.73	127.74	1884.73	131.57	1859.89
66.59	2034.04	153.16	2.3	153.11	1836.87	152.73	1854.81	146.94	1863.7	146.69	1846.04
66.59	2034.04	166.48	2.5	162.23	1822.21	161.1	1841.09	163.68	1841.09	162.31	1823.82
66.59	2034.04	332.95	5	299.72	1756.36	281.69	1756.36	271.24	1756.36	330.84	1770.37
66.59	1915.37	73.25	1.1	66.59	1915.37	66.59	1915.37	66.59	1915.37	66.59	1915.37
66.59	1915.37	86.57	1.3	86.35	1860.96	85.78	1860.69	85.78	1860.69	86.35	1862.05
66.59	1915.37	99.89	1.5	97.83	1845.14	94.15	1847.61	94.15	1847.61	97.83	1856.52
66.59	1915.37	106.54	1.6	105.64	1833.5	102.52	1835.63	102.52	1835.63	105.64	1845.6
66.59	1915.37	113.2	1.7	112.06	1824	110.89	1824	110.89	1824	112.73	1836.93
66.59	1915.37	119.86	1.8	119.75	1815.46	119.14	1814.63	119.14	1814.63	113.45	1834.99
66.59	1915.37	133.18	2	128.81	1805.14	127.51	1805.18	127.51	1805.18	129.34	1816.86
66.59	1915.37	153.16	2.3	145.43	1786.54	152.63	1777.34	152.63	1777.34	152.18	1791.33
66.59	1915.37	166.48	2.5	162.17	1772.99	161	1772.99	161	1772.99	160.55	1782.92
66.59	1915.37	332.95	5	271.01	1756.36	269.84	1756.36	271.03	1756.36	330.34	1769.26
66.59	1925.21	73.25	1.1	66.59	1925.21	66.59	1925.21	66.59	1925.21	66.59	1925.21
66.59	1925.21	86.57	1.3	85.46	1888.14	86.2	1888.14	86.2	1888.14	86.34	1891.69
66.59	1925.21	99.89	1.5	97.83	1857.01	94.71	1870.93	94.71	1870.93	97.83	1873.64
66.59	1925.21	106.54	1.6	105.64	1843.29	103.22	1856.17	103.22	1856.17	105.64	1857.47
66.59	1925.21	113.2	1.7	108.77	1842.45	111.74	1842.45	111.74	1842.45	107.34	1873.64
66.59	1925.21	119.86	1.8	116.54	1828.98	119.85	1841.69	119.85	1841.69	115.15	1857.47
66.59	1925.21	133.18	2	132.08	1802.27	128.76	1815.58	128.76	1815.58	126.76	1857.47
66.59	1925.21	153.16	2.3	152.5	1772.48	145.79	1788.99	145.79	1788.99	150.19	1819.35
66.59	1925.21	166.48	2.5	163.16	1768.33	162.81	1771.64	162.81	1771.64	165.81	1794.37
66.59	1925.21	332.95	5	261.47	1756.33	273.35	1756.33	267.41	1756.33	331.28	1770.9
