HEFTmakespan:	HEFTsumcost:	maxTime:	DMtestmakespan:	DMsumcost:	MaxTimeParameter:	
93.15	2888.68	102.47	93.15	2888.68	1.1
93.15	2888.68	121.09	118.09	2672.91	1.3
93.15	2888.68	139.72	129.82	2659.81	1.5
93.15	2888.68	149.04	141.73	2605.37	1.6
93.15	2888.68	158.35	153.65	2589.69	1.7
93.15	2888.68	167.67	165.56	2572.92	1.8
93.15	2888.68	186.30	177.47	2556.61	2.0
93.15	2888.68	214.24	213.22	2516.76	2.3
93.15	2888.68	232.87	225.13	2511.99	2.5
93.15	2888.68	465.75	415.33	2459.14	5.0
77.70	2463.70	85.47	77.70	2463.70	1.1
77.70	2463.70	101.01	97.34	2386.13	1.3
77.70	2463.70	116.55	109.89	2275.73	1.5
77.70	2463.70	124.32	121.05	2209.27	1.6
77.70	2463.70	132.09	130.16	2208.07	1.7
77.70	2463.70	139.86	139.27	2187.47	1.8
77.70	2463.70	155.40	148.38	2186.52	2.0
77.70	2463.70	178.71	176.77	2107.21	2.3
77.70	2463.70	194.25	186.39	2103.30	2.5
77.70	2463.70	388.50	323.27	2049.70	5.0
66.59	2021.88	73.25	66.59	2021.88	1.1
66.59	2021.88	86.57	86.52	2015.08	1.3
66.59	2021.88	99.89	95.34	1942.47	1.5
66.59	2021.88	106.54	103.67	1941.33	1.6
66.59	2021.88	113.20	112.13	1910.00	1.7
66.59	2021.88	119.86	112.13	1910.00	1.8
66.59	2021.88	133.18	129.41	1890.43	2.0
66.59	2021.88	153.16	152.96	1886.90	2.3
66.59	2021.88	166.48	160.67	1849.95	2.5
66.59	2021.88	332.95	286.34	1803.84	5.0
66.59	1975.27	73.25	66.59	1975.27	1.1
66.59	1975.27	86.57	85.78	1918.81	1.3
66.59	1975.27	99.89	94.15	1901.21	1.5
66.59	1975.27	106.54	102.52	1883.85	1.6
66.59	1975.27	113.20	110.89	1866.65	1.7
66.59	1975.27	119.86	119.27	1851.76	1.8
66.59	1975.27	133.18	127.51	1842.39	2.0
66.59	1975.27	153.16	152.63	1809.54	2.3
66.59	1975.27	166.48	161.00	1804.23	2.5
66.59	1975.27	332.95	307.90	1756.36	5.0
66.59	2034.04	73.25	66.59	2034.04	1.1
66.59	2034.04	86.57	85.77	1965.84	1.3
66.59	2034.04	99.89	94.14	1948.49	1.5
66.59	2034.04	106.54	102.51	1935.22	1.6
66.59	2034.04	113.20	110.88	1926.33	1.7
66.59	2034.04	119.86	119.26	1901.82	1.8
66.59	2034.04	133.18	127.74	1884.73	2.0
66.59	2034.04	153.16	152.73	1854.81	2.3
66.59	2034.04	166.48	161.10	1841.09	2.5
66.59	2034.04	332.95	281.69	1756.36	5.0
66.59	1915.37	73.25	66.59	1915.37	1.1
66.59	1915.37	86.57	85.78	1860.69	1.3
66.59	1915.37	99.89	94.15	1847.61	1.5
66.59	1915.37	106.54	102.52	1835.63	1.6
66.59	1915.37	113.20	110.89	1824.00	1.7
66.59	1915.37	119.86	119.14	1814.63	1.8
66.59	1915.37	133.18	127.51	1805.18	2.0
66.59	1915.37	153.16	152.63	1777.34	2.3
66.59	1915.37	166.48	161.00	1772.99	2.5
66.59	1915.37	332.95	269.84	1756.36	5.0
66.59	1925.21	73.25	66.59	1925.21	1.1
66.59	1925.21	86.57	86.20	1888.14	1.3
66.59	1925.21	99.89	94.71	1870.93	1.5
66.59	1925.21	106.54	103.22	1856.17	1.6
66.59	1925.21	113.20	111.74	1842.45	1.7
66.59	1925.21	119.86	119.85	1841.69	1.8
66.59	1925.21	133.18	128.76	1815.58	2.0
66.59	1925.21	153.16	145.79	1788.99	2.3
66.59	1925.21	166.48	162.81	1771.64	2.5
66.59	1925.21	332.95	273.35	1756.33	5.0
