HEFTmakespan:	HEFTsumcost:	maxTime:	Othermakespan:	Othersumcost:	MaxTimeParameter:	
93.15	2888.68	102.47	93.15	2888.68	1.1
93.15	2888.68	121.09	118.77	2675.16	1.3
93.15	2888.68	139.72	133.50	2625.36	1.5
93.15	2888.68	149.04	148.87	2594.91	1.6
93.15	2888.68	158.35	149.70	2593.37	1.7
93.15	2888.68	167.67	160.58	2589.12	1.8
93.15	2888.68	186.30	180.42	2562.92	2.0
93.15	2888.68	214.24	212.99	2524.12	2.3
93.15	2888.68	232.87	224.90	2511.15	2.5
93.15	2888.68	465.75	464.38	2479.53	5.0
77.70	2463.70	85.47	77.70	2463.70	1.1
77.70	2463.70	101.01	97.21	2312.21	1.3
77.70	2463.70	116.55	114.87	2246.22	1.5
77.70	2463.70	124.32	123.98	2180.71	1.6
77.70	2463.70	132.09	123.98	2180.71	1.7
77.70	2463.70	139.86	133.09	2146.36	1.8
77.70	2463.70	155.40	151.48	2122.04	2.0
77.70	2463.70	178.71	169.70	2095.43	2.3
77.70	2463.70	194.25	187.92	2087.80	2.5
77.70	2463.70	388.50	385.24	2067.07	5.0
66.59	2021.88	73.25	66.59	2021.88	1.1
66.59	2021.88	86.57	85.87	1956.18	1.3
66.59	2021.88	99.89	99.32	1943.46	1.5
66.59	2021.88	106.54	106.53	1920.13	1.6
66.59	2021.88	113.20	106.53	1920.13	1.7
66.59	2021.88	119.86	114.34	1913.24	1.8
66.59	2021.88	133.18	125.95	1905.70	2.0
66.59	2021.88	153.16	150.94	1869.00	2.3
66.59	2021.88	166.48	164.19	1857.66	2.5
66.59	2021.88	332.95	327.47	1825.48	5.0
66.59	1975.27	73.25	66.59	1975.27	1.1
66.59	1975.27	86.57	85.17	1920.63	1.3
66.59	1975.27	99.89	99.59	1888.13	1.5
66.59	1975.27	106.54	105.64	1880.39	1.6
66.59	1975.27	113.20	108.48	1870.88	1.7
66.59	1975.27	119.86	116.25	1856.82	1.8
66.59	1975.27	133.18	131.79	1847.77	2.0
66.59	1975.27	153.16	152.50	1853.39	2.3
66.59	1975.27	166.48	163.05	1835.24	2.5
66.59	1975.27	332.95	332.47	1769.53	5.0
66.59	2034.04	73.25	66.59	2034.04	1.1
66.59	2034.04	86.57	86.34	1967.14	1.3
66.59	2034.04	99.89	97.25	1944.36	1.5
66.59	2034.04	106.54	103.50	1913.77	1.6
66.59	2034.04	113.20	106.81	1916.42	1.7
66.59	2034.04	119.86	114.62	1892.73	1.8
66.59	2034.04	133.18	131.57	1859.89	2.0
66.59	2034.04	153.16	146.69	1846.04	2.3
66.59	2034.04	166.48	162.31	1823.82	2.5
66.59	2034.04	332.95	330.84	1770.37	5.0
66.59	1915.37	73.25	66.59	1915.37	1.1
66.59	1915.37	86.57	86.35	1862.05	1.3
66.59	1915.37	99.89	97.83	1856.52	1.5
66.59	1915.37	106.54	105.64	1845.60	1.6
66.59	1915.37	113.20	112.73	1836.93	1.7
66.59	1915.37	119.86	113.45	1834.99	1.8
66.59	1915.37	133.18	129.34	1816.86	2.0
66.59	1915.37	153.16	152.18	1791.33	2.3
66.59	1915.37	166.48	160.55	1782.92	2.5
66.59	1915.37	332.95	330.34	1769.26	5.0
66.59	1925.21	73.25	66.59	1925.21	1.1
66.59	1925.21	86.57	86.34	1891.69	1.3
66.59	1925.21	99.89	97.83	1873.64	1.5
66.59	1925.21	106.54	105.64	1857.47	1.6
66.59	1925.21	113.20	107.34	1873.64	1.7
66.59	1925.21	119.86	115.15	1857.47	1.8
66.59	1925.21	133.18	126.76	1857.47	2.0
66.59	1925.21	153.16	150.19	1819.35	2.3
66.59	1925.21	166.48	165.81	1794.37	2.5
66.59	1925.21	332.95	331.28	1770.90	5.0
