HEFTmakespan:	HEFTsumcost:	maxTime:	MaxTimeParameter:	CFMAXtestmakespan:	CFMAXsumcost:	DMtestmakespan:	DMsumcost:	EMetricmakespan:	EMetricsumcost:		HEFTmakespan:	HEFTsumcost:	CFMAXtestmakespan:	CFMAXsumcost:	DMtestmakespan:	DMsumcost:	EMetricmakespan:	EMetricsumcost:
2681.99	123191.84	3486.59	1.3	3482.05	122409.03	3480.69	117880.22	3483.81	117857.4	5	2681.99	123191.84	6887.58	112138.5935	5922.014706	107825.1653	5964.784118	107842.1459
2681.99	123191.84	4022.99	1.5	4014.86	122632.08	4022.4	114108.73	4011.71	114194.02	10	1369.61	125001.31	3934.321176	110122.0606	3934.218824	104810.7982	3933.728824	104797.1288
2681.99	123191.84	4291.18	1.6	4290.89	120686.69	4284.79	112491.92	4287.91	112491.92	15	817.72	120703.12	2346.866471	104269.1029	2347.31	99355.23176	2347.257059	99298.71235
2681.99	123191.84	4559.38	1.7	4548.18	122763.66	4547.18	111114.7	4553.43	111114.7	20	641.17	127479.56	1839.395882	115512.4206	1839.250588	108218.6047	1839.387647	108197.6412
2681.99	123191.84	4827.58	1.8	4814.16	122427.97	4826.5	110208.71	4825.33	110252.6	25	548.31	129795.06	1572.002941	122274.3612	1571.849412	118422.1288	1571.849412	118422.1288
2681.99	123191.84	5363.98	2	5352.58	118771.98	5351.28	108828.9	5354.13	108864.85	30	380.6	112852.44	1090.202353	105562.1241	1089.959412	102523.5959	1090.101765	102535.3206
2681.99	123191.84	6168.58	2.3	6167.37	113705.59	6162.28	106759.33	6163.07	106815.23	35	332.16	114193.9	950.9947059	107996.9535	950.1982353	105058.0453	950.7458824	105058.8324
2681.99	123191.84	6704.98	2.5	6692.15	110948.65	6700.29	105383.4	6698.45	105473.86									
2681.99	123191.84	7509.57	2.8	7506.94	108669.79	6800.16	105139.1	6853.82	105139.1									
2681.99	123191.84	8045.97	3	8045.53	107277.05	6796.96	105139.1	6868.56	105139.1									
2681.99	123191.84	8850.57	3.3	8846.51	105229	6797.82	105139.1	6878.66	105139.1									
2681.99	123191.84	9386.97	3.5	8887.94	105139.1	6804.18	105139.1	6888.95	105139.1									
2681.99	123191.84	10191.56	3.8	8887.94	105139.1	6807.27	105139.1	6882.7	105139.1									
2681.99	123191.84	10727.96	4	8887.94	105139.1	6807.27	105139.1	6903.2	105139.1									
2681.99	123191.84	11532.56	4.3	8887.94	105139.1	6823.02	105139.1	6909.27	105139.1									
2681.99	123191.84	12068.96	4.5	8887.94	105139.1	6825.61	105139.1	6909.27	105139.1									
2681.99	123191.84	13409.95	5	8887.94	105139.1	6836.55	105139.1	6929.06	105139.1									
1369.61	125001.31	1780.49	1.3	1772.76	124136.35	1770.94	121418.5	1770.94	121418.5									
1369.61	125001.31	2054.42	1.5	2052.88	123078.28	2049.45	118734	2044.07	118412.54									
1369.61	125001.31	2191.38	1.6	2190.09	121828.83	2187.57	117500.55	2182.64	116990.78									
1369.61	125001.31	2328.34	1.7	2317.53	124136.11	2325.69	115976.6	2323.33	115729.24									
1369.61	125001.31	2465.3	1.8	2455.65	122397.48	2461.45	114470.57	2461.45	114470.57									
1369.61	125001.31	2739.22	2	2735.62	119032.32	2737.69	112016.24	2737.86	112016.24									
1369.61	125001.31	3150.1	2.3	3147.12	115651.67	3140.73	108452.65	3143.28	108452.65									
1369.61	125001.31	3424.03	2.5	3421.54	113537.31	3416.97	106023.36	3414.12	106206.13									
1369.61	125001.31	3834.91	2.8	3833.04	110349.95	3831.31	102830.48	3825.12	102909.95									
1369.61	125001.31	4108.83	3	4107.33	108226.93	4098.61	101308.19	4108.77	101255.99									
1369.61	125001.31	4519.71	3.3	4518.83	105208.63	4512.97	99356.15	4515.82	99368.53									
1369.61	125001.31	4793.64	3.5	4793.25	103250.58	4789.21	98095.54	4792.85	98107.92									
1369.61	125001.31	5204.52	3.8	5193.24	100397.13	5203.57	96213.9	5193.18	96330.51									
1369.61	125001.31	5478.44	4	5467.66	98667.24	5468.3	95017.32	5471.95	95081.73									
1369.61	125001.31	5889.32	4.3	5879.16	96051.21	5885.23	93151.4	5884.68	93319.01									
1369.61	125001.31	6163.25	4.5	6153.58	94614.27	6161.47	91910.56	6160.92	92077.89									
1369.61	125001.31	6848.05	5	6844.18	91510.74	6840.56	89307.56	6842.41	89403.01									
817.72	120703.12	1063.04	1.3	1058.01	119260.76	1061.37	115198.13	1061.37	115198.13									
817.72	120703.12	1226.58	1.5	1220.13	116524.47	1220.69	111904.49	1220.69	111904.49									
817.72	120703.12	1308.35	1.6	1305.16	118416.39	1300.35	110417.68	1300.35	110417.68									
817.72	120703.12	1390.12	1.7	1387.88	118413.68	1380.01	109176.34	1380.01	109176.34									
817.72	120703.12	1471.9	1.8	1468.17	118169.44	1471.05	107934.04	1471.05	107934.04									
817.72	120703.12	1635.44	2	1630.09	114603.7	1630.37	105788.72	1630.37	105521.92									
817.72	120703.12	1880.76	2.3	1876.59	109293.59	1880.73	102464.67	1880.73	102207.98									
817.72	120703.12	2044.3	2.5	2044.21	106669.31	2040.05	100553.84	2040.05	100361									
817.72	120703.12	2289.62	2.8	2280.85	103029.01	2279.03	98144.32	2279.03	97954.63									
817.72	120703.12	2453.16	3	2448.47	100671.09	2449.73	96437.88	2449.73	96249.29									
817.72	120703.12	2698.48	3.3	2694.97	97806.05	2688.71	93960.73	2688.71	93884.31									
817.72	120703.12	2862.02	3.5	2852.73	95988.54	2859.41	92646.34	2859.41	92601.89									
817.72	120703.12	3107.34	3.8	3099.23	93329.36	3098.39	91212.66	3098.39	91212.66									
817.72	120703.12	3270.88	4	3262.71	92184.52	3269.09	90250.96	3269.09	90250.96									
817.72	120703.12	3516.2	4.3	3513.07	90763.32	3508.07	88912.92	3508.07	88912.92									
817.72	120703.12	3679.74	4.5	3672.39	89867.32	3678.77	87963.23	3678.77	87963.23									
817.72	120703.12	4088.6	5	4082.07	87584.2	4088.45	86071.99	4087.55	86326.64									
641.17	127479.56	833.52	1.3	826.51	126047.59	829.15	123611.01	829.15	123611.01									
641.17	127479.56	961.75	1.5	959.78	125929.77	958.12	120413.71	958.12	120413.71									
641.17	127479.56	1025.87	1.6	1023.28	124944.42	1017.28	119088.99	1017.28	119088.99									
641.17	127479.56	1089.99	1.7	1086.95	125448.62	1086.3	117929.29	1086.61	117929.29									
641.17	127479.56	1154.11	1.8	1147.95	125446.78	1145.46	117007.29	1145.77	117007.29									
641.17	127479.56	1282.34	2	1280.27	122959.63	1273.95	115023.88	1278.07	114898.93									
641.17	127479.56	1474.69	2.3	1466.21	119529.93	1471.15	112023.13	1469.16	111938.67									
641.17	127479.56	1602.92	2.5	1600.98	117791.09	1599.33	110136.97	1597.65	110058.52									
641.17	127479.56	1795.28	2.8	1786.92	115462.43	1786.67	107848.68	1794.85	107680.42									
641.17	127479.56	1923.51	3	1914.2	113948.58	1915.16	106352.26	1923.03	106185.11									
641.17	127479.56	2115.86	3.3	2110	111627.53	2112.36	104061.76	2110.41	104010.11									
641.17	127479.56	2244.09	3.5	2237.28	110164.71	2240.54	102580.22	2240.91	102528.93									
641.17	127479.56	2436.45	3.8	2433.08	108040.93	2432.31	100335.91	2428.78	100371.3									
641.17	127479.56	2564.68	4	2560.26	106770.97	2563.93	98788.77	2556.96	98901.68									
641.17	127479.56	2757.03	4.3	2756.16	105020	2751.27	96649.98	2756.61	96649.98									
641.17	127479.56	2885.26	4.5	2883.34	103764.83	2879.45	95249.25	2879.58	95335.41									
641.17	127479.56	3205.85	5	3196.56	100813.34	3204.83	92615.18	3196.65	92750.55									
548.31	129795.06	712.8	1.3	711.13	129499.01	711.72	128073.5	711.72	128073.5									
548.31	129795.06	822.46	1.5	815.54	128758.79	813.42	126757.17	813.42	126757.17									
548.31	129795.06	877.3	1.6	872.44	128023.01	869.92	126031.37	869.92	126031.37									
548.31	129795.06	932.13	1.7	929.34	127293.69	926.42	125329.13	926.42	125329.13									
548.31	129795.06	986.96	1.8	983.89	128915.79	982.92	124603.23	982.92	124603.23									
548.31	129795.06	1096.62	2	1091.31	129048.17	1095.92	123303.35	1095.92	123303.35									
548.31	129795.06	1261.11	2.3	1257.61	127217.86	1254.12	121400.5	1254.12	121400.5									
548.31	129795.06	1370.77	2.5	1363.37	125681.55	1367.12	120244.39	1367.12	120244.39									
548.31	129795.06	1535.27	2.8	1532.24	123163.98	1525.32	118632.19	1525.32	118632.19									
548.31	129795.06	1644.93	3	1635.67	122002.73	1638.32	117484.12	1638.32	117484.12									
548.31	129795.06	1809.42	3.3	1799.15	119975.5	1807.82	115766.22	1807.82	115766.22									
548.31	129795.06	1919.08	3.5	1914.47	118769.66	1909.52	114737.35	1909.52	114737.35									
548.31	129795.06	2083.58	3.8	2078.35	117000.99	2079.02	113027.58	2079.02	113027.58									
548.31	129795.06	2193.24	4	2183.81	115862.85	2192.02	111889.4	2192.02	111889.4									
548.31	129795.06	2357.73	4.3	2355.94	114096.88	2350.22	110296.97	2350.22	110296.97									
548.31	129795.06	2467.39	4.5	2458.36	113072.35	2463.22	109160.08	2463.22	109160.08									
548.31	129795.06	2741.55	5	2741.43	110281.33	2734.42	106439.64	2734.42	106439.64									
380.6	112852.44	494.78	1.3	491.22	112545.55	491.37	110385.81	491.37	110385.81									
380.6	112852.44	570.9	1.5	565.18	111537.26	570.25	108828.27	570.25	108828.27									
380.6	112852.44	608.96	1.6	605.02	111301.37	600.19	108203.45	600.19	108203.45									
380.6	112852.44	647.02	1.7	640.78	111994.95	639.63	107357.53	639.63	107357.53									
380.6	112852.44	685.08	1.8	682.14	111516.36	679.07	106577.28	679.07	106577.28									
380.6	112852.44	761.2	2	759.21	110565.12	757.95	105357.83	758.26	105357.83									
380.6	112852.44	875.38	2.3	867.67	108058.18	866.41	103824.55	866.72	103824.55									
380.6	112852.44	951.5	2.5	946.55	106745.66	945.6	102915.61	945.91	102915.61									
380.6	112852.44	1065.68	2.8	1064.87	104918.4	1063.92	101803.65	1064.54	101803.65									
380.6	112852.44	1141.8	3	1133.89	103953.91	1132.94	101213.42	1133.56	101213.42									
380.6	112852.44	1255.98	3.3	1252.21	102593.6	1251.26	100217.77	1252.5	100217.77									
380.6	112852.44	1332.1	3.5	1331.09	101903.32	1330.14	99564.08	1331.38	99564.08									
380.6	112852.44	1446.28	3.8	1439.55	100977.05	1438.91	98696.8	1442.13	98696.8									
380.6	112852.44	1522.4	4	1518.43	100314.64	1517.79	98156.18	1521.01	98156.18									
380.6	112852.44	1636.58	4.3	1626.89	99416.89	1636.11	97352.45	1629.47	97419.18									
380.6	112852.44	1712.7	4.5	1705.77	98779.88	1705.13	96885.95	1704.23	96952.46									
380.6	112852.44	1903	5	1902.97	97433.97	1902.64	95560.5	1901.51	95626.58									
332.16	114193.9	431.81	1.3	428.07	113889.5	422.74	112599.93	422.74	112599.93									
332.16	114193.9	498.24	1.5	497.9	112877.55	491.76	110954.56	491.76	110954.56									
332.16	114193.9	531.46	1.6	528.34	112642.92	531.2	110191.12	531.2	110191.12									
332.16	114193.9	564.67	1.7	560.11	113423.61	560.78	109749.54	560.78	109749.54									
332.16	114193.9	597.89	1.8	596.62	113756.33	590.36	109313.97	590.36	109313.97									
332.16	114193.9	664.32	2	654.94	113060.1	659.38	108359.36	659.38	108359.36									
332.16	114193.9	763.97	2.3	762.88	110627.21	758.56	107079.72	758.56	107079.72									
332.16	114193.9	830.4	2.5	822.04	109312.74	827.58	106274.83	827.58	106274.83									
332.16	114193.9	930.05	2.8	923.19	107997.61	926.18	105131.38	926.18	105131.38									
332.16	114193.9	996.48	3	992.21	107094.39	995.2	104333.32	995.2	104333.32									
332.16	114193.9	1096.13	3.3	1090.81	105937.91	1093.8	103198.92	1093.8	103198.92									
