HEFTmakespan:	HEFTsumcost:	maxTime:	DMtestmakespan:	DMsumcost:	MaxTimeParameter:	
2681.99	123191.84	3486.59	3480.69	117880.22	1.3
2681.99	123191.84	4022.99	4022.40	114108.73	1.5
2681.99	123191.84	4291.18	4284.79	112491.92	1.6
2681.99	123191.84	4559.38	4547.18	111114.70	1.7
2681.99	123191.84	4827.58	4826.50	110208.71	1.8
2681.99	123191.84	5363.98	5351.28	108828.90	2.0
2681.99	123191.84	6168.58	6162.28	106759.33	2.3
2681.99	123191.84	6704.98	6700.29	105383.40	2.5
2681.99	123191.84	7509.57	6800.16	105139.10	2.8
2681.99	123191.84	8045.97	6796.96	105139.10	3.0
2681.99	123191.84	8850.57	6797.82	105139.10	3.3
2681.99	123191.84	9386.97	6804.18	105139.10	3.5
2681.99	123191.84	10191.56	6807.27	105139.10	3.8
2681.99	123191.84	10727.96	6807.27	105139.10	4.0
2681.99	123191.84	11532.56	6823.02	105139.10	4.3
2681.99	123191.84	12068.96	6825.61	105139.10	4.5
2681.99	123191.84	13409.95	6836.55	105139.10	5.0
1369.61	125001.31	1780.49	1770.94	121418.50	1.3
1369.61	125001.31	2054.42	2049.45	118734.00	1.5
1369.61	125001.31	2191.38	2187.57	117500.55	1.6
1369.61	125001.31	2328.34	2325.69	115976.60	1.7
1369.61	125001.31	2465.30	2461.45	114470.57	1.8
1369.61	125001.31	2739.22	2737.69	112016.24	2.0
1369.61	125001.31	3150.10	3140.73	108452.65	2.3
1369.61	125001.31	3424.03	3416.97	106023.36	2.5
1369.61	125001.31	3834.91	3831.31	102830.48	2.8
1369.61	125001.31	4108.83	4098.61	101308.19	3.0
1369.61	125001.31	4519.71	4512.97	99356.15	3.3
1369.61	125001.31	4793.64	4789.21	98095.54	3.5
1369.61	125001.31	5204.52	5203.57	96213.90	3.8
1369.61	125001.31	5478.44	5468.30	95017.32	4.0
1369.61	125001.31	5889.32	5885.23	93151.40	4.3
1369.61	125001.31	6163.25	6161.47	91910.56	4.5
1369.61	125001.31	6848.05	6840.56	89307.56	5.0
817.72	120703.12	1063.04	1061.37	115198.13	1.3
817.72	120703.12	1226.58	1220.69	111904.49	1.5
817.72	120703.12	1308.35	1300.35	110417.68	1.6
817.72	120703.12	1390.12	1380.01	109176.34	1.7
817.72	120703.12	1471.90	1471.05	107934.04	1.8
817.72	120703.12	1635.44	1630.37	105788.72	2.0
817.72	120703.12	1880.76	1880.73	102464.67	2.3
817.72	120703.12	2044.30	2040.05	100553.84	2.5
817.72	120703.12	2289.62	2279.03	98144.32	2.8
817.72	120703.12	2453.16	2449.73	96437.88	3.0
817.72	120703.12	2698.48	2688.71	93960.73	3.3
817.72	120703.12	2862.02	2859.41	92646.34	3.5
817.72	120703.12	3107.34	3098.39	91212.66	3.8
817.72	120703.12	3270.88	3269.09	90250.96	4.0
817.72	120703.12	3516.20	3508.07	88912.92	4.3
817.72	120703.12	3679.74	3678.77	87963.23	4.5
817.72	120703.12	4088.60	4088.45	86071.99	5.0
641.17	127479.56	833.52	829.15	123611.01	1.3
641.17	127479.56	961.75	958.12	120413.71	1.5
641.17	127479.56	1025.87	1017.28	119088.99	1.6
641.17	127479.56	1089.99	1086.30	117929.29	1.7
641.17	127479.56	1154.11	1145.46	117007.29	1.8
641.17	127479.56	1282.34	1273.95	115023.88	2.0
641.17	127479.56	1474.69	1471.15	112023.13	2.3
641.17	127479.56	1602.92	1599.33	110136.97	2.5
641.17	127479.56	1795.28	1786.67	107848.68	2.8
641.17	127479.56	1923.51	1915.16	106352.26	3.0
641.17	127479.56	2115.86	2112.36	104061.76	3.3
641.17	127479.56	2244.09	2240.54	102580.22	3.5
641.17	127479.56	2436.45	2432.31	100335.91	3.8
641.17	127479.56	2564.68	2563.93	98788.77	4.0
641.17	127479.56	2757.03	2751.27	96649.98	4.3
641.17	127479.56	2885.26	2879.45	95249.25	4.5
641.17	127479.56	3205.85	3204.83	92615.18	5.0
548.31	129795.06	712.80	711.72	128073.50	1.3
548.31	129795.06	822.46	813.42	126757.17	1.5
548.31	129795.06	877.30	869.92	126031.37	1.6
548.31	129795.06	932.13	926.42	125329.13	1.7
548.31	129795.06	986.96	982.92	124603.23	1.8
548.31	129795.06	1096.62	1095.92	123303.35	2.0
548.31	129795.06	1261.11	1254.12	121400.50	2.3
548.31	129795.06	1370.77	1367.12	120244.39	2.5
548.31	129795.06	1535.27	1525.32	118632.19	2.8
548.31	129795.06	1644.93	1638.32	117484.12	3.0
548.31	129795.06	1809.42	1807.82	115766.22	3.3
548.31	129795.06	1919.08	1909.52	114737.35	3.5
