tcount: 	 cost:
1	138712.47734999997
2	138712.47734999997
3	138712.47734999997
4	138712.47734999997
5	138712.47734999997
6	138712.47734999997
7	138712.47734999997
8	138712.47734999997
9	138712.47734999997
10	138712.47734999997
11	138712.47734999997
12	138712.47734999997
13	138712.47734999997
14	138712.47734999997
15	138712.47734999997
16	138712.47734999997
17	138712.47734999997
18	138712.47734999997
19	138712.47734999997
20	138712.47734999997
21	138712.47734999997
22	138712.47734999997
23	138712.47734999997
24	138712.47734999997
25	138712.47734999997
26	138712.47734999997
27	138712.47734999997
28	138712.47734999997
29	138712.47734999997
30	138712.47734999997
31	138712.47734999997
32	138712.47734999997
33	138712.47734999997
34	138712.47734999997
35	138712.47734999997
36	138712.47734999997
37	138712.47734999997
38	138712.47734999997
39	138712.47734999997
40	138712.47734999997
41	138712.47734999997
42	138712.47734999997
43	138712.47734999997
44	138712.47734999997
45	138712.47734999997
46	138712.47734999997
47	138712.47734999997
48	138712.47734999997
49	138712.47734999997
50	138712.47734999997
51	138712.47734999997
52	138712.47734999997
53	138712.47734999997
54	138712.47734999997
55	138712.47734999997
56	138712.47734999997
57	138712.47734999997
58	138712.47734999997
59	138712.47734999997
60	138712.47734999997
61	138712.47734999997
62	138712.47734999997
63	138712.47734999997
64	138712.47734999997
65	138712.47734999997
66	138712.47734999997
67	138712.47734999997
68	138712.47734999997
69	138712.47734999997
70	138712.47734999997
71	138712.47734999997
72	138712.47734999997
73	138712.47734999997
74	138712.47734999997
75	138712.47734999997
76	138712.47734999997
77	138712.47734999997
78	138712.47734999997
79	138712.47734999997
80	138712.47734999997
81	138712.47734999997
82	138712.47734999997
83	138712.47734999997
84	138712.47734999997
85	138712.47734999997
86	138712.47734999997
87	138712.47734999997
88	138712.47734999997
89	138712.47734999997
90	138712.47734999997
91	138712.47734999997
92	138712.47734999997
93	138712.47734999997
94	138712.47734999997
95	138712.47734999997
96	138712.47734999997
97	138712.47734999997
98	138712.47734999997
99	138712.47734999997
100	138712.47734999997
101	138712.47734999997
102	138712.47734999997
103	138712.47734999997
104	138712.47734999997
105	138712.47734999997
106	138712.47734999997
107	138712.47734999997
108	138712.47734999997
109	138712.47734999997
110	138712.47734999997
111	138712.47734999997
112	138712.47734999997
113	138712.47734999997
114	138712.47734999997
115	138712.47734999997
116	138712.47734999997
117	138712.47734999997
118	138712.47734999997
119	138712.47734999997
120	138712.47734999997
121	138712.47734999997
122	138712.47734999997
123	138712.47734999997
124	138712.47734999997
125	138712.47734999997
126	138712.47734999997
127	138712.47734999997
128	138712.47734999997
129	138712.47734999997
130	138712.47734999997
131	138712.47734999997
132	138712.47734999997
133	138712.47734999997
134	138712.47734999997
135	138712.47734999997
136	138712.47734999997
137	138712.47734999997
138	138712.47734999997
139	138712.47734999997
140	138712.47734999997
141	138712.47734999997
142	138712.47734999997
143	138712.47734999997
144	138712.47734999997
145	138712.47734999997
146	138712.47734999997
147	138712.47734999997
148	138712.47734999997
149	138712.47734999997
150	138712.47734999997
151	138712.47734999997
152	138712.47734999997
153	138712.47734999997
154	138712.47734999997
155	138712.47734999997
156	138712.47734999997
157	138712.47734999997
158	138712.47734999997
159	138712.47734999997
160	138712.47734999997
161	138712.47734999997
162	138712.47734999997
163	138712.47734999997
164	138712.47734999997
165	138712.47734999997
166	138712.47734999997
167	138712.47734999997
168	138712.47734999997
169	138712.47734999997
170	138712.47734999997
171	138712.47734999997
172	138712.47734999997
173	138712.47734999997
174	138712.47734999997
175	138712.47734999997
176	138712.47734999997
177	138712.47734999997
178	138712.47734999997
179	138712.47734999997
180	138712.47734999997
181	138712.47734999997
182	138712.47734999997
183	138712.47734999997
184	138712.47734999997
185	138712.47734999997
186	138712.47734999997
187	138712.47734999997
188	138712.47734999997
189	138712.47734999997
190	138712.47734999997
191	138712.47734999997
192	138712.47734999997
193	138712.47734999997
194	138712.47734999997
195	138712.47734999997
196	138712.47734999997
197	138712.47734999997
198	138712.47734999997
199	138712.47734999997
200	138712.47734999997
201	138712.47734999997
202	138712.47734999997
203	138712.47734999997
204	138712.47734999997
205	138712.47734999997
206	138712.47734999997
207	138712.47734999997
208	138712.47734999997
209	138712.47734999997
210	138712.47734999997
211	138712.47734999997
212	138712.47734999997
213	138712.47734999997
214	138712.47734999997
215	138712.47734999997
216	138712.47734999997
217	138712.47734999997
218	138712.47734999997
219	138712.47734999997
220	138712.47734999997
221	138712.47734999997
222	138712.47734999997
223	138712.47734999997
224	138712.47734999997
225	138712.47734999997
226	138712.47734999997
227	138712.47734999997
228	138712.47734999997
229	138712.47734999997
230	138712.47734999997
231	138712.47734999997
232	138712.47734999997
233	138712.47734999997
234	138712.47734999997
235	138712.47734999997
236	138712.47734999997
237	138712.47734999997
238	138712.47734999997
239	138712.47734999997
240	138712.47734999997
241	138712.47734999997
242	138712.47734999997
243	138712.47734999997
244	138712.47734999997
245	138712.47734999997
246	138712.47734999997
247	138712.47734999997
248	138712.47734999997
249	138712.47734999997
250	138712.47734999997
251	138712.47734999997
252	138712.47734999997
253	138712.47734999997
254	138712.47734999997
255	138712.47734999997
256	138712.47734999997
257	138712.47734999997
258	138712.47734999997
259	138712.47734999997
260	138712.47734999997
261	138712.47734999997
262	138712.47734999997
263	138712.47734999997
264	138712.47734999997
265	138712.47734999997
266	138712.47734999997
267	138712.47734999997
268	138712.47734999997
269	138712.47734999997
270	138712.47734999997
271	138712.47734999997
272	138712.47734999997
273	138712.47734999997
274	138712.47734999997
275	138712.47734999997
276	138712.47734999997
277	138712.47734999997
278	138712.47734999997
279	138712.47734999997
280	138712.47734999997
281	138712.47734999997
282	138712.47734999997
283	138712.47734999997
284	138712.47734999997
