tcount: 	 cost:
1.0	2691289.7460053377
2.0	2691289.7460053377
3.0	2691289.7460053377
4.0	2691289.7460053377
5.0	2691289.7460053377
6.0	2691289.7460053377
7.0	2691289.7460053377
8.0	2691289.7460053377
9.0	2691289.7460053377
10.0	2691289.7460053377
11.0	2691289.7460053377
12.0	2691289.7460053377
13.0	2691289.7460053377
14.0	2691289.7460053377
15.0	2691289.7460053377
16.0	2691289.7460053377
17.0	2691289.7460053377
18.0	2691289.7460053377
19.0	2691289.7460053377
20.0	2691289.7460053377
21.0	2691289.7460053377
22.0	2691289.7460053377
23.0	2691289.7460053377
24.0	2691289.7460053377
25.0	2691289.7460053377
26.0	2691289.7460053377
