tcount: 	 cost:
1	124804.68000000004
2	124547.53080000004
3	124419.18720000004
4	124162.59240000004
5	123905.62800000006
6	123775.52880000006
7	123518.56440000006
8	123262.33920000006
9	123002.69520000006
10	122872.13400000006
11	122610.82680000005
12	122348.22600000004
13	122084.51640000004
14	121820.16000000003
15	121687.47360000004
16	121422.00840000005
17	121154.88000000005
18	120913.90080000003
19	120807.73320000005
20	120596.41440000005
21	120386.29680000004
22	120176.36400000006
23	119967.17040000005
24	119758.16160000005
25	119654.02680000005
26	119290.34040000006
27	119082.34800000006
28	118874.72520000004
29	118667.37960000006
30	118460.21880000006
31	118253.15040000007
32	118046.35920000006
33	117839.75280000007
34	117736.44960000008
35	117529.8432000001
36	117323.4216000001
37	117117.36960000011
38	116911.31760000011
39	116705.35800000011
40	116499.49080000013
41	116293.80840000014
42	116088.12600000015
43	115882.44360000016
44	115676.94600000014
45	115471.44840000015
46	115265.95080000017
47	115060.54560000017
48	114855.23280000016
49	114650.10480000015
50	114445.16160000015
51	114240.40320000015
52	113933.26560000012
53	113728.69200000011
54	113524.11840000011
55	113319.5448000001
56	113115.1560000001
57	112910.7672000001
58	112706.37840000012
59	112399.98000000013
60	112195.77600000011
61	111991.57200000012
62	111787.36800000012
63	111583.16400000012
64	111276.85800000012
65	111073.02360000015
66	110869.18920000015
67	110665.35480000016
68	110359.78800000016
69	110156.13840000016
70	109952.67360000015
71	109647.66120000015
72	109444.38120000015
73	109241.19360000014
74	108936.55080000014
75	108733.64040000013
76	108429.27480000014
77	108226.45680000015
78	108023.73120000014
79	107719.73520000014
80	107517.19440000014
81	107213.47560000014
82	107011.11960000015
83	106707.86280000015
84	106505.78400000016
85	106202.89680000013
86	105900.19440000014
87	105698.76240000014
88	105396.70680000013
89	105195.55200000013
90	104893.95840000015
91	104592.64200000014
92	104391.85680000014
93	104091.27960000015
94	103792.73520000014
95	103586.31360000014
96	103450.20840000013
97	103246.83600000014
98	103044.48000000014
99	102842.86320000015
100	102642.17040000015
101	102441.84720000016
102	102242.17080000017
103	102043.51080000015
104	101911.28640000014
105	101713.36560000012
106	101515.90680000011
107	101320.5732000001
108	101126.9028000001
109	100908.9312000001
110	100747.41600000008
