tcount: 	 cost:
1	2102441.9115161086
2	2102304.513115573
3	2102210.581950466
4	2102139.866392316
5	2102074.771870234
6	2101836.7708837125
7	2101502.817724442
8	2101184.3307157154
9	2100892.3218053477
10	2100643.9235152416
11	2100403.1557917353
12	2100178.751818809
13	2100020.5377930705
14	2099877.330187661
15	2099739.466457347
16	2099674.2724783937
17	2099368.9814269687
18	2099074.169019116
19	2098836.9218773856
20	2098595.231908218
21	2098368.314146427
22	2098203.8744077506
23	2098033.208956136
24	2097893.24120444
25	2097747.2255200073
26	2097599.146866308
27	2097460.220347844
28	2097320.929035898
29	2097155.947589953
30	2097058.9113720676
31	2096963.0056300675
32	2096874.070127006
33	2096784.7717932535
34	2096694.992189184
35	2096603.7192785388
36	2096511.7626903248
37	2096419.240864168
38	2096326.3981911333
39	2096233.3950946596
40	2096139.9451998693
41	2096046.453321266
42	2095952.843003037
43	2095859.0302775558
44	2095765.1755682616
45	2095670.595197586
46	2095575.6519962198
47	2095492.1467255342
48	2095408.1790047737
49	2095322.8899980846
50	2095236.5439626526
51	2095149.2730270706
52	2095082.9865553398
53	2095015.058290155
54	2094945.9770136457
55	2094876.4069550068
56	2094806.466553864
57	2094665.642659319
58	2094594.5912306649
59	2094523.421362385
60	2094451.881151601
61	2094380.1730055653
62	2094308.3464199037
63	2094236.4358666162
64	2094170.9932454857
65	2094027.1514581332
66	2093685.1667626062
67	2093456.29766192
68	2093216.6579444804
69	2093047.7832966247
70	2092901.2518698755
71	2092570.4363317785
72	2092324.6211213511
73	2091867.667325272
74	2091707.3946380327
75	2091543.892401453
76	2091409.4497004782
77	2091272.7148226106
78	2091131.5966635502
79	2091068.043722969
80	2090971.5307592133
81	2090876.224727156
82	2090781.6863402934
83	2090690.455413461
84	2090627.2008434928
85	2090533.7089648894
86	2090361.2811512111
87	2090278.5025877864
88	2090193.940288358
89	2090125.7676321082
90	2090054.1434536986
91	2089981.6181668425
92	2089915.4793476148
93	2087050.799953591
94	2086119.7841839825
95	2085780.340187659
96	2085715.8921352387
97	2085382.4974044426
98	2085316.656955828
99	2085167.512345495
100	2085031.475462295
101	2084729.921447617
102	2084430.3034554604
103	2084268.8598803817
104	2084123.6732733308
105	2083776.905640382
106	2083540.682656424
107	2083159.7283298757
108	2083015.3708002067
109	2082873.7873113677
110	2082735.3921869786
111	2082602.7102688218
112	2082505.0668291808
113	2082408.3514581732
114	2082311.8804782305
115	2082215.9747362304
116	2082121.394365555
117	2082027.4632004478
118	2081842.9847860772
119	2081757.5636507953
120	2081675.3796660383
121	2081602.8543791822
122	2081530.7339068297
123	2081459.235679859
124	2081387.9398601402
125	2081248.059057855
126	2081181.0738849295
127	2081114.8853372664
128	2081051.1832113788
129	2080988.3264688947
130	2080925.6189117173
131	2074825.960444809
132	2072903.7414749444
133	2057734.006501386
134	2056552.7572442936
135	2056219.9979289635
136	2055976.379268037
137	2055740.5312507255
138	2055508.2109445576
139	2055115.1964409812
140	2054964.309708259
141	2054819.53785497
142	2054676.9576422775
143	2054535.4501754441
144	2054395.228203941
145	2054160.7001938622
