HEFTmakespan:	HEFTsumcost:	maxTime:	CFMaxmakespan:	CFMaxsumcost:		1	1	0.01	0.01	0.1	0.1	0	0
210	9243.72	231	230	8818.32	1.1	223.43	8878.94	229.48	8751.04	230	8709.85	230	8818.32
210	9243.72	273	268.28	6685.35	1.3	272.45	6182.34	271.28	6436.7	270.27	5808.28	270.6	6608.55
210	9243.72	315	314.35	5720.92	1.5	311.19	4998.43	308.95	5168.42	308.18	5118.53	314.35	5515.16
210	9243.72	336	333.35	5551.55	1.6	333.87	5406.83	333.27	4934.04	328.94	5395.92	333.35	5515.86
210	9243.72	357	345.47	4916.23	1.7	354.27	4857.96	354.14	4761.52	356.19	4917.18	352.35	4841.27
210	9243.72	378	374.56	4753.03	1.8	375.59	4937.24	363.47	4699.1	375.26	4844.2	367.42	4682.33
210	9243.72	420	417.56	4588.4	2	412.3	4710.69	409.56	4649.76	413.29	4663.86	409.56	4649.76
210	9243.72	483	426.56	4586.06	2.3	482.83	4607.45	426.56	4586.06	470.89	4586.06	426.56	4586.06
210	9243.72	525	426.56	4586.06	2.5	502.92	4586.06	426.56	4586.06	470.89	4586.06	426.56	4586.06
210	9243.72	1050	426.56	4586.06	5	481.98	4586.06	426.56	4586.06	437.64	4586.06	426.56	4586.06
182	10540.18	200.2	199.09	9516.95	1.1	198.78	9650.19	197.56	9424.18	200.01	9563.74	199.09	9516.95
182	10540.18	236.6	234.29	8044.84	1.3	236.39	6725.64	227	7984.91	236.5	7681.7	234.29	7969.87
182	10540.18	273	270.49	6764.8	1.5	271.67	5820.24	266.78	6489.66	269.76	6537	270.49	6614.88
182	10540.18	291.2	286.92	6186.45	1.6	281.09	5791.84	290.51	6127.99	290.61	5634.56	285.49	6354.8
182	10540.18	309.4	306.49	6093.32	1.7	299.09	5598.91	308.52	5582.34	307.09	6211.98	306.49	5918.41
182	10540.18	327.6	325.49	5739.17	1.8	325.18	5289.35	327.09	5716.33	325.93	5120.31	325.49	5639.22
182	10540.18	364	356.92	4940.03	2	353.03	4974.72	362.44	5257.55	360.32	4975.98	361.23	4872.09
182	10540.18	418.6	418.58	4692.38	2.3	401.26	4683.52	414.12	4682.53	406.46	4715.8	403.63	4650.17
182	10540.18	455	443.8	4586.06	2.5	439.35	4619.33	451.19	4586.06	440.12	4651.61	432.72	4586.06
182	10540.18	910	443.8	4586.06	5	490.6	4586.06	443.8	4586.06	457.35	4586.06	432.72	4586.06
185	10207.13	203.5	201.05	9209.74	1.1	201.8	9284.46	201.05	9209.74	201.8	9284.46	201.05	9209.74
185	10207.13	240.5	229.03	8349.85	1.3	239.04	8294.8	229.03	8349.85	235.03	8257.06	229.03	8349.85
185	10207.13	277.5	270	4925.97	1.5	268	7964.21	270	4840.39	270	4948.05	270	4847.42
185	10207.13	296	285	4538.19	1.6	286	7899.14	295.04	4538.19	285	4732.02	285	4538.19
185	10207.13	314.5	305	4285.93	1.7	292	7899.14	305	4330.46	312	4354.95	305	4285.93
185	10207.13	333	324	4134.3	1.8	333	4381.49	324	4132.86	320	4182.21	324	4134.3
185	10207.13	370	365	3845.4	2	356	3817.68	365	3845.4	359	3845.4	365	3845.4
185	10207.13	425.5	417	3529.68	2.3	414	3529.68	411	3529.68	405	3529.68	417	3529.68
185	10207.13	462.5	417	3529.68	2.5	414	3529.68	411	3529.68	405	3529.68	417	3529.68
185	10207.13	925	417	3529.68	5	406	3529.68	411	3529.68	405	3529.68	417	3529.68
