HEFTmakespan:	HEFTsumcost:	maxTime:	CFMaxmakespan:	CFMaxsumcost:	MaxTimeParameter:	
210.00	13440.79	231.00	230.88	12677.24	1.1
210.00	13440.79	273.00	269.76	8762.36	1.3
210.00	13440.79	315.00	314.97	7354.16	1.5
210.00	13440.79	336.00	335.70	6597.86	1.6
210.00	13440.79	357.00	354.26	6320.32	1.7
210.00	13440.79	378.00	376.60	5463.15	1.8
210.00	13440.79	420.00	412.74	4882.07	2.0
210.00	13440.79	483.00	455.74	4663.69	2.3
210.00	13440.79	525.00	464.74	4586.06	2.5
210.00	13440.79	1050.00	464.74	4586.06	5.0
182.00	16615.97	200.20	197.95	14952.60	1.1
182.00	16615.97	236.60	233.52	10673.89	1.3
182.00	16615.97	273.00	270.34	7993.73	1.5
182.00	16615.97	291.20	287.17	8083.58	1.6
182.00	16615.97	309.40	301.29	7472.60	1.7
182.00	16615.97	327.60	318.49	6642.01	1.8
182.00	16615.97	364.00	361.58	5738.75	2.0
182.00	16615.97	418.60	413.55	5007.32	2.3
182.00	16615.97	455.00	436.51	4907.05	2.5
182.00	16615.97	910.00	463.51	4586.06	5.0
185.00	16950.20	203.50	202.72	15893.03	1.1
185.00	16950.20	240.50	237.62	14113.26	1.3
185.00	16950.20	277.50	276.97	9553.24	1.5
185.00	16950.20	296.00	294.35	8037.07	1.6
185.00	16950.20	314.50	314.32	6614.92	1.7
185.00	16950.20	333.00	328.57	6603.90	1.8
185.00	16950.20	370.00	364.57	5900.78	2.0
185.00	16950.20	425.50	424.73	4847.32	2.3
185.00	16950.20	462.50	459.91	4376.26	2.5
185.00	16950.20	925.00	439.51	4347.08	5.0
