HEFTmakespan:	HEFTsumcost:	maxTime:	CSFS-Maxmakespan:	CSFS-Maxsumcost:	MaxTimeParameter:	
374.80	9463.61	412.28	766.51	13584.03	1.1
374.80	9463.61	487.24	766.51	13584.03	1.3
374.80	9463.61	562.20	766.51	13584.03	1.5
374.80	9463.61	599.68	766.51	13584.03	1.6
374.80	9463.61	637.16	766.51	13584.03	1.7
374.80	9463.61	674.64	766.51	13584.03	1.8
374.80	9463.61	749.60	766.51	13584.03	2.0
374.80	9463.61	862.04	766.51	13584.03	2.3
374.80	9463.61	937.00	766.51	13584.03	2.5
374.80	9463.61	1874.00	766.51	13584.03	5.0
317.60	11143.44	349.36	778.84	15995.26	1.1
317.60	11143.44	412.88	778.84	15995.26	1.3
317.60	11143.44	476.40	778.84	15995.26	1.5
317.60	11143.44	508.16	778.84	15995.26	1.6
317.60	11143.44	539.92	778.84	15995.26	1.7
317.60	11143.44	571.68	778.84	15995.26	1.8
317.60	11143.44	635.20	778.84	15995.26	2.0
317.60	11143.44	730.48	778.84	15995.26	2.3
317.60	11143.44	794.00	778.84	15995.26	2.5
317.60	11143.44	1588.00	778.84	15995.26	5.0
323.00	11891.88	355.30	815.22	17069.56	1.1
323.00	11891.88	419.90	815.22	17069.56	1.3
323.00	11891.88	484.50	815.22	17069.56	1.5
323.00	11891.88	516.80	815.22	17069.56	1.6
323.00	11891.88	549.10	815.22	17069.56	1.7
323.00	11891.88	581.40	815.22	17069.56	1.8
323.00	11891.88	646.00	815.22	17069.56	2.0
323.00	11891.88	742.90	815.22	17069.56	2.3
323.00	11891.88	807.50	815.22	17069.56	2.5
323.00	11891.88	1615.00	815.22	17069.56	5.0
