HEFTmakespan:	HEFTsumcost:	maxTime:	EMetricmakespan:	EMetricsumcost:	MaxTimeParameter:	
210.00	9243.72	231.00	230.00	8709.85	1.1
210.00	9243.72	273.00	272.35	5865.73	1.3
210.00	9243.72	315.00	309.93	5079.99	1.5
210.00	9243.72	336.00	335.35	5181.26	1.6
210.00	9243.72	357.00	356.05	4863.93	1.7
210.00	9243.72	378.00	374.39	4816.36	1.8
210.00	9243.72	420.00	412.27	4654.45	2.0
210.00	9243.72	483.00	469.66	4586.06	2.3
210.00	9243.72	525.00	480.75	4586.06	2.5
210.00	9243.72	1050.00	436.41	4586.06	5.0
182.00	10540.18	200.20	200.01	9563.74	1.1
182.00	10540.18	236.60	232.22	7513.72	1.3
182.00	10540.18	273.00	272.80	6312.75	1.5
182.00	10540.18	291.20	290.72	5526.75	1.6
182.00	10540.18	309.40	307.09	6194.22	1.7
182.00	10540.18	327.60	324.69	5134.42	1.8
182.00	10540.18	364.00	360.32	4865.42	2.0
182.00	10540.18	418.60	416.83	4715.80	2.3
182.00	10540.18	455.00	438.12	4628.85	2.5
182.00	10540.18	910.00	453.65	4586.06	5.0
185.00	10207.13	203.50	201.80	9284.46	1.1
185.00	10207.13	240.50	235.03	8257.06	1.3
185.00	10207.13	277.50	270.00	4948.05	1.5
185.00	10207.13	296.00	288.00	4454.74	1.6
185.00	10207.13	314.50	312.00	4354.95	1.7
185.00	10207.13	333.00	326.00	4089.42	1.8
185.00	10207.13	370.00	364.00	3764.43	2.0
185.00	10207.13	425.50	411.00	3529.68	2.3
185.00	10207.13	462.50	411.00	3529.68	2.5
185.00	10207.13	925.00	411.00	3529.68	5.0
