HEFTmakespan:	HEFTsumcost:	maxTime:	NEWtestmakespan:	newtestsumcost:	NEWtestmakespan:	newtestsumcost:	CFMAXtestmakespan:	CFMAXsumcost:	NEWtestmakespan:	newtestsumcost:
210	9243.72	231	226.43	8878.94	230	8709.85	230	8818.32	226.43	8878.94
210	9243.72	273	271.01	6259.07	272.35	5972.05	271.4	6961.41	272.35	6319.56
210	9243.72	315	313.22	5096.53	313.93	5058.11	314.35	5785.5	313.22	5107.03
210	9243.72	336	333.87	5502.61	335.43	5253.8	333.35	5564.68	333.87	5496.29
210	9243.72	357	354.27	4847.06	352.01	4869.89	345.47	4929.37	354.27	4847.06
210	9243.72	378	369.87	4834.95	374.39	4878.84	374.56	4753.03	370.87	4959.33
210	9243.72	420	419.81	4838.96	412.27	4654.45	417.56	4588.4	415.3	4710.69
210	9243.72	483	482.83	4607.45	469.66	4586.06	426.56	4586.06	482.83	4607.45
210	9243.72	525	502.92	4586.06	480.75	4586.06	426.56	4586.06	502.92	4586.06
210	9243.72	1050	491.83	4586.06	436.41	4586.06	426.56	4586.06	481.98	4586.06
182	10540.18	200.2	199.94	9650.19	200.01	9563.74	199.09	9516.95	199.94	9650.19
182	10540.18	236.6	236.39	6920.85	236.5	7699.95	235.39	8471.25	236.39	6920.85
182	10540.18	273	265.24	5823.38	272.72	6441.85	270.49	6902.62	265.24	5935.83
182	10540.18	291.2	289.67	5399.74	290.88	5573.16	287.49	6524.92	284.09	5925.57
182	10540.18	309.4	307.53	5268.83	308.09	6127.8	299.49	6167.92	299.09	5598.91
182	10540.18	327.6	326.69	5254.93	318.09	5349.99	325.49	5739.17	319.18	5202.73
182	10540.18	364	362.61	4824.65	360.32	4865.42	356.92	4940.03	352.03	5044.66
182	10540.18	418.6	403.06	4683.52	402.77	4739.54	418.58	4692.38	403.06	4683.52
182	10540.18	455	450.43	4638.38	439.92	4628.85	443.8	4586.06	439.35	4619.33
182	10540.18	910	478.28	4586.06	453.65	4586.06	443.8	4586.06	490.6	4586.06
185	10207.13	203.5	196	9473.79	196	9473.79	201.05	9312.19	196	9473.79
185	10207.13	240.5	239.04	8294.8	237.03	8257.06	231.03	8349.85	239.04	8294.8
185	10207.13	277.5	268	7964.21	272.51	4948.05	270	4925.97	268	7964.21
185	10207.13	296	286	7899.14	288.46	4454.74	289.46	4538.19	286	7899.14
185	10207.13	314.5	292	7899.14	312	4354.95	305	4285.93	292	7899.14
185	10207.13	333	326	4078.17	326	4089.42	324	4134.3	333	4468.38
185	10207.13	370	362	3749.59	364	3764.43	365	3845.4	356	3817.68
185	10207.13	425.5	414	3529.68	411	3529.68	417	3529.68	414	3529.68
185	10207.13	462.5	414	3529.68	411	3529.68	417	3529.68	414	3529.68
185	10207.13	925	414	3529.68	411	3529.68	417	3529.68	406	3529.68
