HEFTmakespan:	HEFTsumcost:	maxTime:	Othermakespan:	Othersumcost:	MaxTimeParameter:	
210.00	9243.72	231.00	210.00	9243.72	1.1
210.00	9243.72	273.00	210.00	9243.72	1.3
210.00	9243.72	315.00	299.85	8858.86	1.5
210.00	9243.72	336.00	299.85	8858.86	1.6
210.00	9243.72	357.00	299.85	8858.86	1.7
210.00	9243.72	378.00	299.85	8858.86	1.8
210.00	9243.72	420.00	299.85	8858.86	2.0
210.00	9243.72	483.00	299.85	8858.86	2.3
210.00	9243.72	525.00	299.85	8858.86	2.5
210.00	9243.72	1050.00	299.85	8858.86	5.0
182.00	10540.18	200.20	182.00	10540.18	1.1
182.00	10540.18	236.60	233.85	8952.10	1.3
182.00	10540.18	273.00	271.71	8312.13	1.5
182.00	10540.18	291.20	279.71	8194.40	1.6
182.00	10540.18	309.40	297.56	8085.30	1.7
182.00	10540.18	327.60	297.56	8085.30	1.8
182.00	10540.18	364.00	297.56	8085.30	2.0
182.00	10540.18	418.60	297.56	8085.30	2.3
182.00	10540.18	455.00	297.56	8085.30	2.5
182.00	10540.18	910.00	297.56	8085.30	5.0
185.00	10207.13	203.50	185.00	10207.13	1.1
185.00	10207.13	240.50	185.00	10207.13	1.3
185.00	10207.13	277.50	255.00	7665.36	1.5
185.00	10207.13	296.00	255.00	7665.36	1.6
185.00	10207.13	314.50	255.00	7665.36	1.7
185.00	10207.13	333.00	255.00	7665.36	1.8
185.00	10207.13	370.00	255.00	7665.36	2.0
185.00	10207.13	425.50	255.00	7665.36	2.3
185.00	10207.13	462.50	255.00	7665.36	2.5
185.00	10207.13	925.00	255.00	7665.36	5.0
