HEFTmakespan:	HEFTsumcost:	maxTime:	Othermakespan:	Othersumcost:	MaxTimeParameter:	
210.00	9243.72	231.00	224.10	9215.55	1.1
210.00	9243.72	273.00	270.67	9031.55	1.3
210.00	9243.72	315.00	291.02	8604.31	1.5
210.00	9243.72	336.00	291.02	8604.31	1.6
210.00	9243.72	357.00	291.02	8604.31	1.7
210.00	9243.72	378.00	291.02	8604.31	1.8
210.00	9243.72	420.00	298.02	8483.84	2.0
210.00	9243.72	483.00	312.85	8428.69	2.3
210.00	9243.72	525.00	312.85	8428.69	2.5
210.00	9243.72	1050.00	299.85	8770.06	5.0
182.00	10540.18	200.20	199.11	10264.91	1.1
182.00	10540.18	236.60	236.08	9303.01	1.3
182.00	10540.18	273.00	271.30	8912.16	1.5
182.00	10540.18	291.20	271.30	8912.16	1.6
182.00	10540.18	309.40	271.30	8912.16	1.7
182.00	10540.18	327.60	276.09	8349.30	1.8
182.00	10540.18	364.00	276.09	8349.30	2.0
182.00	10540.18	418.60	276.09	8349.30	2.3
182.00	10540.18	455.00	276.09	8349.30	2.5
182.00	10540.18	910.00	276.09	8349.30	5.0
185.00	10207.13	203.50	185.00	10207.13	1.1
185.00	10207.13	240.50	224.00	10022.33	1.3
185.00	10207.13	277.50	260.00	8513.53	1.5
185.00	10207.13	296.00	260.00	8513.53	1.6
185.00	10207.13	314.50	260.00	8513.53	1.7
185.00	10207.13	333.00	260.00	8513.53	1.8
185.00	10207.13	370.00	260.00	8513.53	2.0
185.00	10207.13	425.50	260.00	8513.53	2.3
185.00	10207.13	462.50	260.00	8513.53	2.5
185.00	10207.13	925.00	260.00	8513.53	5.0
