HEFTmakespan:	HEFTsumcost:	maxTime:	NEWTESTmakespan:	NEWTESTsumcost:	MaxTimeParameter:	
210.00	9243.72	231.00	230.39	8898.35	1.1
210.00	9243.72	273.00	272.33	7076.13	1.3
210.00	9243.72	315.00	307.64	6186.62	1.5
210.00	9243.72	336.00	333.87	5716.53	1.6
210.00	9243.72	357.00	356.73	5402.17	1.7
210.00	9243.72	378.00	375.73	5201.51	1.8
210.00	9243.72	420.00	415.58	4918.92	2.0
210.00	9243.72	483.00	482.83	4649.96	2.3
210.00	9243.72	525.00	481.98	4586.06	2.5
210.00	9243.72	1050.00	491.83	4586.06	5.0
182.00	10540.18	200.20	200.01	9902.97	1.1
182.00	10540.18	236.60	236.00	8042.68	1.3
182.00	10540.18	273.00	272.86	7326.06	1.5
182.00	10540.18	291.20	291.09	6906.44	1.6
182.00	10540.18	309.40	306.72	6538.98	1.7
182.00	10540.18	327.60	325.18	6142.56	1.8
182.00	10540.18	364.00	357.80	5576.65	2.0
182.00	10540.18	418.60	413.35	4981.39	2.3
182.00	10540.18	455.00	441.43	4820.76	2.5
182.00	10540.18	910.00	477.05	4586.06	5.0
185.00	10207.13	203.50	198.00	9678.68	1.1
185.00	10207.13	240.50	239.00	8741.21	1.3
185.00	10207.13	277.50	271.00	8176.34	1.5
185.00	10207.13	296.00	291.00	7899.14	1.6
185.00	10207.13	314.50	291.00	7899.14	1.7
185.00	10207.13	333.00	333.00	5013.03	1.8
185.00	10207.13	370.00	370.00	4121.22	2.0
185.00	10207.13	425.50	406.00	3529.68	2.3
185.00	10207.13	462.50	406.00	3529.68	2.5
185.00	10207.13	925.00	405.00	3529.68	5.0
