HEFTmakespan:	HEFTsumcost:	maxTime:	OTHERtestmakespan:	OTHERtestsumcost:	MaxTimeParameter:	
210.00	9243.72	231.00	230.10	9028.67	1.1
210.00	9243.72	273.00	260.32	7034.44	1.3
210.00	9243.72	315.00	311.26	6791.20	1.5
210.00	9243.72	336.00	326.59	6218.67	1.6
210.00	9243.72	357.00	348.71	6296.73	1.7
210.00	9243.72	378.00	372.47	5955.08	1.8
210.00	9243.72	420.00	414.19	5330.32	2.0
210.00	9243.72	483.00	480.55	4839.43	2.3
210.00	9243.72	525.00	518.50	4680.56	2.5
210.00	9243.72	1050.00	518.50	4586.06	5.0
182.00	10540.18	200.20	197.91	9987.52	1.1
182.00	10540.18	236.60	235.80	8608.43	1.3
182.00	10540.18	273.00	269.45	7244.09	1.5
182.00	10540.18	291.20	289.97	6949.66	1.6
182.00	10540.18	309.40	307.37	6448.66	1.7
182.00	10540.18	327.60	316.24	6081.36	1.8
182.00	10540.18	364.00	357.38	5773.62	2.0
182.00	10540.18	418.60	397.45	5021.42	2.3
182.00	10540.18	455.00	444.42	5007.03	2.5
182.00	10540.18	910.00	560.37	4586.06	5.0
185.00	10207.13	203.50	202.00	9825.30	1.1
185.00	10207.13	240.50	239.50	8839.13	1.3
185.00	10207.13	277.50	270.02	6076.34	1.5
185.00	10207.13	296.00	290.67	5146.66	1.6
185.00	10207.13	314.50	310.63	4637.31	1.7
185.00	10207.13	333.00	331.97	4728.23	1.8
185.00	10207.13	370.00	358.00	3916.59	2.0
185.00	10207.13	425.50	402.00	3529.68	2.3
185.00	10207.13	462.50	402.00	3529.68	2.5
185.00	10207.13	925.00	402.00	3529.68	5.0
